comparison,subset,coverage,n_genes,n_changed,n_small_to_large,n_redundancy,frequency
gm12878_vs_h1esc,all,0.999,10647,7932,1454,1438,0.18129097327281896
gm12878_vs_h1esc,measured_only,1.0,10633,7918,1446,1435,0.18123263450366253
h1esc_vs_gm12878,all,1.0,10647,7932,313,1010,0.12733232476046394
h1esc_vs_gm12878,measured_only,1.0,10647,7932,313,1010,0.12733232476046394
h1esc_vs_hffc6,all,1.0,10374,8920,212,662,0.0742152466367713
h1esc_vs_hffc6,measured_only,1.0,10374,8920,212,662,0.0742152466367713
hffc6_vs_h1esc,all,0.999,10374,8920,1218,2004,0.22466367713004484
hffc6_vs_h1esc,measured_only,1.0,10364,8910,1214,1997,0.22413019079685748
gm12878_vs_hffc6,all,1.0,11565,10038,1068,1053,0.10490137477585176
gm12878_vs_hffc6,measured_only,1.0,11561,10034,1067,1053,0.10494319314331274
hffc6_vs_gm12878,all,1.0,11565,10038,1022,1970,0.19625423391113767
hffc6_vs_gm12878,measured_only,1.0,11562,10035,1021,1968,0.1961136023916293
