comparison,subset,n_redundancy,n_no_replacement,median_redundancy,median_no_replacement,U,pvalue,rank_biserial
gm12878_vs_h1esc,all,1438,3521,0.07244920054889868,-0.03880557237845158,2730453.0,1.3813233390451432e-05,0.07854877490471446
gm12878_vs_h1esc,measured_only,1435,3510,0.07221352573427639,-0.04092254773020709,2714073.0,1.7551124120126712e-05,0.07768664939396652
h1esc_vs_gm12878,all,1010,2892,0.3130635479630336,0.061822665670400595,1690044.0,9.43661279112026e-14,0.15719978636867826
h1esc_vs_gm12878,measured_only,1010,2892,0.3130635479630336,0.061822665670400595,1690044.0,9.43661279112026e-14,0.15719978636867826
h1esc_vs_hffc6,all,662,2141,0.3487957308165789,-0.03872205288293976,806917.5,6.717215354098087e-08,0.13863485312648605
h1esc_vs_hffc6,measured_only,662,2141,0.3487957308165789,-0.03872205288293976,806917.5,6.717215354098087e-08,0.13863485312648605
hffc6_vs_h1esc,all,2004,3956,0.2017983492060189,0.1566198978719936,4077638.5,0.06995033614928353,0.028690470424166836
hffc6_vs_h1esc,measured_only,1997,3953,0.20308932823259646,0.1567484162243832,4062613.5,0.06479764941825647,0.02927310267196903
gm12878_vs_hffc6,all,1053,3054,-0.019368588118504955,-0.10004413056333222,1690304.5,0.01304154912892824,0.05122949927577736
gm12878_vs_hffc6,measured_only,1053,3050,-0.019368588118504955,-0.10004413056333222,1687991.5,0.013166837148527752,0.05116777980165965
hffc6_vs_gm12878,all,1970,4537,0.15334604967492405,0.1363320787741361,4547587.0,0.2586699792169549,0.017597441901835875
hffc6_vs_gm12878,measured_only,1968,4536,0.15334604967492405,0.1363320787741361,4543363.0,0.25049656653080477,0.017909793019887932
