,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number,CellType
0,Immune System,2.0659430595019561e-13,9.308156690506929e-11,80/2150,83.53211345127946,CD40;CIITA;ARPC1B;FBXO27;ICAM3;CGAS;PIK3CD;SLA2;ITGAL;SIRPB1;PSTPIP1;PNP;RPS6KA5;ADGRE5;CDH1;GRAP2;BLNK;CTSH;TNFRSF8;JAK3;TRIM22;IFNAR2;ARSA;IL15RA;MEF2C;DBNL;SYK;PRKCE;CD180;RHOG;RNASE6;IRAG2;TAP1;IL16;UNC13D;FGR;FCER2;HCK;STIM1;IRF4;PSME2;ALDOC;BIRC3;PTAFR;NLRC5;NLRC3;NOD2;USP18;UBE2J1;ALOX5;CCL5;PLCG2;CSK;IL12RB1;PAG1;SPTBN2;MAP2K6;MX2;MX1;ERAP1;LY86;RAB27A;LNPEP;NFKB1;POMC;TEC;IL7;REL;SAA1;TNFSF9;CD27;PTPN6;ASB2;IL7R;PIK3AP1;MAP3K14;HLA-DRB1;CD22;GSDME;TUBA8,0.2099737532808399,80,GM12878
1,Cytokine Signaling in Immune System,2.256522834062286e-13,9.308156690506929e-11,44/776,121.05656696188572,CD40;CIITA;PTAFR;NLRC5;PIK3CD;NOD2;SLA2;USP18;RPS6KA5;ALOX5;GRAP2;CCL5;PLCG2;BLNK;TNFRSF8;CSK;IL12RB1;JAK3;TRIM22;MAP2K6;IFNAR2;IL15RA;MEF2C;SYK;MX2;MX1;IL16;NFKB1;POMC;FCER2;HCK;TEC;IL7;IRF4;SAA1;TNFSF9;PSME2;CD27;PTPN6;IL7R;MAP3K14;HLA-DRB1;TUBA8;BIRC3,0.11548556430446194,44,GM12878
2,Signaling by Interleukins,4.29561184173445e-09,1.181293256476974e-06,27/452,80.99433312618159,PTAFR;NLRC5;PIK3CD;NOD2;USP18;RPS6KA5;ALOX5;CCL5;BLNK;IL12RB1;JAK3;MAP2K6;IL15RA;MEF2C;SYK;IL16;NFKB1;POMC;FCER2;HCK;TEC;IL7;IRF4;SAA1;PSME2;PTPN6;IL7R,0.07086614173228346,27,GM12878
3,Innate Immune System,1.07565814075457e-06,0.00022185449153063003,41/1149,34.09871198586624,ARPC1B;PTAFR;NLRC5;ICAM3;CGAS;NLRC3;NOD2;ITGAL;USP18;SIRPB1;PSTPIP1;PNP;RPS6KA5;ADGRE5;ALOX5;GRAP2;PLCG2;CTSH;MAP2K6;ARSA;MEF2C;DBNL;SYK;PRKCE;CD180;RHOG;RNASE6;LY86;RAB27A;IRAG2;UNC13D;NFKB1;FGR;HCK;TEC;SAA1;ALDOC;PTPN6;MAP3K14;GSDME;BIRC3,0.10761154855643044,41,GM12878
4,Toll-like Receptor Cascades,4.468529078362639e-06,0.0006183053712099783,13/174,63.661344747396726,MEF2C;CD180;LY86;NLRC5;NOD2;USP18;NFKB1;RPS6KA5;PLCG2;SAA1;MAP2K6;GSDME;BIRC3,0.03412073490813648,13,GM12878
5,Toll Like Receptor 4 (TLR4) Cascade,4.496766336072569e-06,0.0006183053712099783,12/148,69.39253841304605,MEF2C;RPS6KA5;CD180;PLCG2;LY86;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6;BIRC3,0.031496062992125984,12,GM12878
6,"Interleukin-3, Interleukin-5 and GM-CSF Signaling",1.0121646336052162e-05,0.0011929083181775,7/48,124.00715200513072,HCK;TEC;SYK;BLNK;PIK3CD;PTPN6;JAK3,0.01837270341207349,7,GM12878
7,GPVI-mediated Activation Cascade,1.6960245242824058e-05,0.0017490252906662,6/35,143.15722798699548,SYK;PLCG2;RHOG;PTPN6;PIK3R6;PIK3R5,0.015748031496062992,6,GM12878
8,Toll Like Receptor 3 (TLR3) Cascade,4.9322785093103965e-05,0.0045212553002011,9/106,58.320552976921185,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6;BIRC3,0.023622047244094488,9,GM12878
9,MyD88-independent TLR4 Cascade,6.598320483066646e-05,0.0049487403622999,9/110,54.35610867654216,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6;BIRC3,0.023622047244094488,9,GM12878
10,TRIF (TICAM1)-mediated TLR4 Signaling,6.598320483066646e-05,0.0049487403622999,9/110,54.35610867654216,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6;BIRC3,0.023622047244094488,9,GM12878
11,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,0.0001370291064922687,0.0093645578431968,8/95,51.70300052077478,SYK;STIM1;BLNK;PLCG2;PIK3CD;PTPN6;PIK3AP1;CD22,0.02099737532808399,8,GM12878
12,MyD88 Cascade Initiated on Plasma Membrane,0.00017026468805812363,0.0093645578431968,8/98,48.75195385683628,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
13,Toll Like Receptor 10 (TLR10) Cascade,0.00017026468805812363,0.0093645578431968,8/98,48.75195385683628,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
14,Toll Like Receptor 5 (TLR5) Cascade,0.00017026468805812363,0.0093645578431968,8/98,48.75195385683628,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
15,TRAF6 Mediated Induction of NFkB and MAP Kinases Upon TLR7 8 or 9 Activation,0.0002246293227095685,0.011516442579246,8/102,45.177746900039594,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
16,MyD88 Dependent Cascade Initiated on Endosome,0.00024023649477476687,0.011516442579246,8/103,44.34250303044274,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
17,Adaptive Immune System,0.00025126783809264114,0.011516442579246,28/854,18.26969213932045,CD40;FBXO27;ICAM3;PIK3CD;ITGAL;UBE2J1;CDH1;GRAP2;PLCG2;BLNK;CTSH;CSK;PAG1;SPTBN2;SYK;ERAP1;TAP1;LNPEP;NFKB1;STIM1;REL;PTPN6;ASB2;PIK3AP1;MAP3K14;HLA-DRB1;CD22;TUBA8,0.07349081364829396,28,GM12878
18,Signaling by the B Cell Receptor (BCR),0.00027551516775745034,0.0119631585999945,10/162,34.19446975577352,STIM1;SYK;PLCG2;REL;BLNK;PIK3CD;PTPN6;PIK3AP1;NFKB1;CD22,0.026246719160104987,10,GM12878
19,Toll Like Receptor 7 8 (TLR7 8) Cascade,0.0003118123489925815,0.0126245915694181,8/107,41.21099862653647,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
20,FLT3 Signaling,0.00032135323994882445,0.0126245915694181,5/38,76.50126331052513,HCK;SYK;GRAP2;CSK;SLA2,0.013123359580052493,5,GM12878
21,Regulation of Signaling by CBL,0.00036583718447042146,0.0134938780150629,4/22,110.12566683902465,HCK;SYK;BLNK;PIK3CD,0.010498687664041995,4,GM12878
22,Toll Like Receptor 9 (TLR9) Cascade,0.00037619296284417794,0.0134938780150629,8/110,39.06294634723291,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
23,MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane,0.000507261156384634,0.0167396181606929,8/115,35.816806937338555,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
24,Toll Like Receptor TLR6 TLR2 Cascade,0.000507261156384634,0.0167396181606929,8/115,35.816806937338555,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
25,Toll Like Receptor 2 (TLR2) Cascade,0.0006021943659585571,0.0184003834042892,8/118,34.04692452482671,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
26,Toll Like Receptor TLR1 TLR2 Cascade,0.0006021943659585571,0.0184003834042892,8/118,34.04692452482671,MEF2C;RPS6KA5;NLRC5;SAA1;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
27,Interleukin-2 Family Signaling,0.0006432524015637938,0.018952972546076,5/44,59.128321443525934,IL15RA;SYK;PIK3CD;PTPN6;JAK3,0.013123359580052493,5,GM12878
28,TAK1-dependent IKK and NF-kappa-B Activation,0.0007143504268150385,0.0203220380042209,5/45,56.82481526564884,NLRC5;SAA1;NOD2;USP18;NFKB1,0.013123359580052493,5,GM12878
29,Signaling by CSF1 (M-CSF) in Myeloid Cells,0.0014061911944224,0.0386702578466171,4/31,60.89730591068467,HCK;GRAP2;PLCG2;PIK3CD,0.010498687664041995,4,GM12878
30,Interferon Alpha Beta Signaling,0.001515617366063,0.0403349782903863,6/78,34.0028832183352,IFNAR2;IRF4;MX2;MX1;PTPN6;USP18,0.015748031496062992,6,GM12878
31,Neutrophil Degranulation,0.0017801928656734,0.0446418268464333,17/478,14.908436346817142,ARSA;DBNL;PTAFR;RHOG;RAB27A;IRAG2;ITGAL;UNC13D;NFKB1;SIRPB1;FGR;PNP;ADGRE5;ALOX5;CTSH;ALDOC;PTPN6,0.04461942257217848,17,GM12878
32,Interleukin-1 Family Signaling,0.0018218016409863,0.0446418268464333,8/140,24.10948560867508,ALOX5;NLRC5;SAA1;PTPN6;NOD2;USP18;NFKB1;MAP2K6,0.02099737532808399,8,GM12878
33,Interferon Signaling,0.0018397843791257,0.0446418268464333,12/280,17.8916370129669,IFNAR2;CIITA;IRF4;MX2;PTAFR;MX1;PTPN6;USP18;TRIM22;HLA-DRB1;MAP2K6;TUBA8,0.031496062992125984,12,GM12878
34,Purine Catabolism,0.0022948342276469,0.052589951050242,3/17,81.3090462383392,NT5E;PNP;NUDT18,0.007874015748031496,3,GM12878
35,TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway,0.0022948342276469,0.052589951050242,3/17,81.3090462383392,CD40;MAP3K14;BIRC3,0.007874015748031496,3,GM12878
