,log2FoldChange,padj,contrasted_with
ENSG00000130590,-4.041699192851812,2.7909271451592842e-123,H1ESC
ENSG00000187621,-2.452700226036826,0.0365570436935214,H1ESC
ENSG00000225187,-2.0817876911581896,0.007656871000100652,H1ESC
ENSG00000271646,-3.2527133415020657,2.0034648482964106e-17,H1ESC
ENSG00000168209,-2.428005537063017,6.534437687321677e-152,H1ESC
ENSG00000128284,-11.096994237478821,1.0933568252635569e-14,H1ESC
ENSG00000251661,-2.372572267228498,0.008491593307699686,H1ESC
ENSG00000231999,-2.10708571448465,0.004431373541869382,H1ESC
ENSG00000198216,-4.186812478261858,2.10718318274737e-208,H1ESC
ENSG00000186469,-2.7609125646575885,1.0863493901323335e-195,H1ESC
ENSG00000168878,-9.94484180560311,0.00014223018308543453,H1ESC
ENSG00000106526,-4.273244194083415,1.5251406463156345e-10,H1ESC
ENSG00000099992,-2.4084534313931787,2.0844477660714998e-30,H1ESC
ENSG00000134802,-2.6969905320519145,2.1037091310049183e-135,H1ESC
ENSG00000125772,-3.487347769810563,3.1411746466462395e-256,H1ESC
ENSG00000137078,-3.736623420838963,1.61590918450777e-144,H1ESC
ENSG00000226174,-2.052091601548345,1.063991948858401e-05,H1ESC
ENSG00000147509,-3.156754963724662,7.705577333766949e-09,H1ESC
ENSG00000275023,-4.204292855809604,0.0,H1ESC
ENSG00000108819,-3.2937331950690725,0.0,H1ESC
ENSG00000279805,-5.0982492710537075,0.03340571621896247,H1ESC
ENSG00000196839,-2.6994900676458373,1.0915172274327892e-138,H1ESC
ENSG00000155465,-3.461272621257155,1.2389244947250243e-125,H1ESC
ENSG00000115758,-2.3687968138536566,0.0,H1ESC
ENSG00000266865,-2.4587424185805045,6.736466708881693e-06,H1ESC
ENSG00000214212,-5.124961234456409,1.6933997565543307e-12,H1ESC
ENSG00000264745,-5.227128322434778,4.4553026468394864e-13,H1ESC
ENSG00000212443,-2.7880535490989047,3.8778843845045133e-69,H1ESC
ENSG00000157693,-2.150541339157458,5.307695550204199e-83,H1ESC
ENSG00000074416,-8.422421159008952,6.02291585170834e-176,H1ESC
ENSG00000253633,-3.3329072431410065,0.0002262361559678427,H1ESC
ENSG00000228857,-3.8650390026904167,0.00643782716086207,H1ESC
ENSG00000183323,-8.530933027390079,1.130071628363065e-16,H1ESC
ENSG00000227070,-6.437999024616503,0.011187598542100217,H1ESC
ENSG00000116473,-2.355309153606647,1.512114168995397e-162,H1ESC
ENSG00000167723,-3.1959325741508535,1.7938030724465658e-25,H1ESC
ENSG00000181035,-2.4182382295051235,9.159482392220758e-48,H1ESC
ENSG00000228590,-5.290703585417922,0.02918412503348532,H1ESC
ENSG00000252391,-2.9982888442773143,0.002476228531344732,H1ESC
ENSG00000186352,-3.139447530938283,1.4683098970692424e-29,H1ESC
ENSG00000204161,-9.42771423029507,4.911610628929251e-11,H1ESC
ENSG00000204525,-2.513007290747717,1.6552719543835004e-303,H1ESC
ENSG00000251143,-2.217689157027011,0.004158981139724163,H1ESC
ENSG00000254802,-7.798560007861611,0.0025810566768059684,H1ESC
ENSG00000076641,-8.639841433371945,7.990306605903421e-164,H1ESC
ENSG00000119771,-2.469266316311787,6.856205738606276e-97,H1ESC
ENSG00000168961,-6.66566775161277,2.43017984300471e-195,H1ESC
ENSG00000182054,-2.462085501629281,7.857407146781145e-207,H1ESC
ENSG00000140577,-3.1592005732657396,8.264204843606587e-167,H1ESC
ENSG00000067221,-2.529123001122736,1.1476781506622763e-27,H1ESC
ENSG00000275763,-2.475194065082154,0.010638007281292484,H1ESC
ENSG00000206503,-2.3883770097845654,1.5414781955202e-251,H1ESC
ENSG00000137310,-2.907076569634,5.076657768235489e-203,H1ESC
ENSG00000213058,-2.145066838405528,4.195293269452812e-83,H1ESC
ENSG00000228037,-4.76792592161614,0.0010004847738879397,H1ESC
ENSG00000271141,-2.1751934234100347,0.0017075063134856523,H1ESC
ENSG00000185811,-7.4375167339681205,0.0,H1ESC
ENSG00000205464,-2.13441729791257,6.138575325435037e-07,H1ESC
ENSG00000103653,-3.026772992349548,0.0,H1ESC
ENSG00000105329,-3.8799514790926963,0.0,H1ESC
