,log2FoldChange,padj
ENSG00000227070,-6.437999024616503,0.011187598542100217
ENSG00000204161,-9.42771423029507,4.911610628929251e-11
ENSG00000228590,-5.290703585417922,0.02918412503348532
ENSG00000251143,-2.217689157027011,0.004158981139724163
ENSG00000252391,-2.9982888442773143,0.002476228531344732
ENSG00000183172,-2.176168122242238,2.9627284737933425e-64
ENSG00000126264,-4.975385283458094,8.082336588313305e-07
ENSG00000259772,-7.570895783482538,7.140349811055059e-19
ENSG00000115317,-2.033099765686143,2.289039291673703e-65
ENSG00000182557,-6.349317396996982,1.1168377503019452e-05
ENSG00000112659,-2.2520600005915345,3.831696566178996e-95
ENSG00000105122,-9.242555780837646,1.871907749709438e-88
ENSG00000160991,-2.237480794006278,6.835987439891261e-146
ENSG00000240527,-6.405578962962289,9.395456365120862e-06
ENSG00000159261,-9.463745281664515,0.00028646364639438
ENSG00000181035,-2.4182382295051235,9.159482392220758e-48
ENSG00000171984,-2.4646845534247817,4.9700226119747296e-20
ENSG00000204261,-5.133682442368597,6.845634233286954e-59
ENSG00000105810,-2.833154761763143,0.0
ENSG00000226791,-5.593490664172896,0.023321089302366527
ENSG00000101445,-3.7021079093581184,0.0
ENSG00000167723,-3.1959325741508535,1.7938030724465658e-25
ENSG00000139173,-2.480472048072041,1.6661729981429352e-14
ENSG00000179532,-2.4303482168271926,3.302032908290828e-74
ENSG00000204525,-2.513007290747717,1.6552719543835004e-303
ENSG00000104140,-2.7693673709467146,4.025458459848264e-30
ENSG00000122008,-2.0842615308608514,1.938041137656839e-64
ENSG00000180096,-6.913453682442031,3.1211562588924904e-164
ENSG00000273151,-4.633152450291525,2.9534937029952276e-05
ENSG00000265206,-11.979698082536649,7.432427533646657e-17
ENSG00000257913,-3.553841258900876,2.877741598797005e-23
ENSG00000146232,-2.656578669116998,7.9610493823619085e-115
ENSG00000076662,-3.834380370137812,3.1261820530180376e-281
ENSG00000068724,-2.0279427095732188,1.6526738386238088e-113
ENSG00000226742,-3.1610962295513727,2.697063029337492e-10
ENSG00000151575,-3.1459779782480686,1.9463562372606551e-159
ENSG00000100599,-4.343045848728207,2.662458834572442e-122
ENSG00000157601,-7.098273145254327,0.0
ENSG00000196421,-5.524623035822384,2.8045239704563086e-100
ENSG00000123146,-5.510245341412882,1.7527314380259336e-57
ENSG00000007968,-2.357074998386945,2.263892027866708e-109
ENSG00000188596,-4.113704785987583,1.9531338943371423e-05
ENSG00000126353,-10.919295733398297,4.1130214786114026e-75
ENSG00000164776,-2.088327704070911,0.012325034654011096
ENSG00000103472,-5.284958275375064,0.02932468349628934
ENSG00000154237,-4.115155446095949,0.0
ENSG00000142227,-3.2806214039313497,1.1873612522177014e-124
ENSG00000225335,-2.5588721812021666,8.754103839264707e-05
ENSG00000153898,-4.533304433753206,7.72141096178591e-296
ENSG00000164037,-2.150394678115883,0.007446976203968175
ENSG00000112137,-2.4714859032551053,1.8125358930219614e-181
ENSG00000163932,-2.228809703810021,9.633750602344189e-165
ENSG00000168078,-2.67018912197113,3.1883844080319374e-75
ENSG00000230155,-6.026125099277974,3.213627313991864e-05
ENSG00000164038,-2.9526031604742013,1.3795040506268172e-69
ENSG00000102879,-7.156600465137598,0.0
ENSG00000066336,-8.86063339111453,6.142720306251418e-18
ENSG00000131378,-5.1924115429766475,0.0
ENSG00000216937,-2.7792980933546896,6.332764951687508e-14
ENSG00000108557,-5.104198834043051,2.7987843351110343e-295
ENSG00000229931,-3.20019121655273,1.0204962736693322e-05
ENSG00000285802,-4.779055632174239,0.040966718118959584
