,log2FoldChange,padj
ENSG00000103184,10.625669664193058,4.578403234476194e-05
ENSG00000214063,2.584313922951859,2.9165639022447433e-86
ENSG00000268006,2.9936744793351124,6.364311499472336e-11
ENSG00000186994,2.3866085164788875,4.653341166245462e-06
ENSG00000106723,2.3618941681572787,4.1317981153195255e-242
ENSG00000173065,2.0134545481523696,7.216669637511e-125
ENSG00000176593,2.2798976149283283,5.491525809757344e-33
ENSG00000181894,4.056924539439209,8.807219260275993e-51
ENSG00000151322,3.269856122151862,0.00404822166145077
ENSG00000107779,2.0416087169054995,2.3792749903124536e-134
ENSG00000196268,2.2714914859270583,5.567656137583923e-66
ENSG00000173068,5.395484085458725,5.197397237594639e-123
ENSG00000244041,3.5874747671188216,1.4447353533496223e-08
ENSG00000225914,3.4507701030606124,4.107202309174147e-08
ENSG00000147596,10.21682241151866,8.814274289650037e-45
ENSG00000068078,6.5575980601770505,7.755616109062945e-68
ENSG00000183317,4.527132543337418,3.916085624052076e-09
ENSG00000167693,8.06183814168046,1.0273850664981367e-140
ENSG00000182903,2.3985452773062543,2.262213592701982e-178
ENSG00000262160,6.741397721497867,4.314287370477621e-23
ENSG00000136014,11.176418766032011,4.475404986845408e-79
ENSG00000112902,5.113833742441273,1.9625055761946687e-88
ENSG00000104435,8.977780359710403,0.0005486721521573075
ENSG00000157110,8.819384655426955,9.1927048012508e-179
ENSG00000126458,3.0964690245550672,7.008520935154266e-21
ENSG00000266916,3.902244592662524,1.3716905037877192e-05
ENSG00000182621,4.648578569932264,5.184070714447689e-33
ENSG00000175832,5.564558290595805,0.0
ENSG00000106070,8.232556643499905,1.0369976084268082e-179
ENSG00000262583,2.0568622123648987,0.00861895839456023
ENSG00000121316,4.834974322523751,1.3765691046730025e-33
ENSG00000083307,8.186127937145026,4.3564432627875314e-68
ENSG00000138759,7.142126888285981,0.0
ENSG00000141431,4.98135921928854,1.6393933735882936e-09
ENSG00000267422,2.1227415078106384,0.024289944562355982
ENSG00000197977,5.718225211841826,9.211367996807192e-05
ENSG00000134853,2.0369412718747744,0.00018088467409634967
ENSG00000117245,6.715609538786397,3.825229281827354e-31
ENSG00000011028,4.595090974485804,9.610679520604841e-141
ENSG00000140807,3.8776400367964095,6.078859138500203e-36
ENSG00000175274,7.079882430520048,2.3564882294226772e-108
ENSG00000172247,6.586031644195561,5.709029821351017e-06
ENSG00000134042,5.205779454960122,2.3792096081494553e-06
ENSG00000269019,6.102629433391565,0.015369203601566161
ENSG00000233622,2.2238027733416192,0.006700318978378951
ENSG00000088970,2.0885253068657295,1.9248648328882545e-52
ENSG00000148426,5.572711092051404,7.903721443382646e-30
ENSG00000106624,7.2341472822532165,8.16783648462341e-115
ENSG00000262655,4.83470570521984,1.2741181560692671e-33
ENSG00000188818,4.538398725104243,4.824935187175046e-31
ENSG00000179564,3.421494614274035,0.013144016110617312
ENSG00000161653,2.7059692362187615,4.2315548130796823e-13
ENSG00000105426,5.793704296368348,0.0
ENSG00000139209,6.339006932896588,6.5639087105979776e-52
ENSG00000228956,4.534504718615724,1.0069132201128707e-07
ENSG00000105641,4.013590444655398,6.944426155484994e-09
ENSG00000173267,3.391422763752371,1.4044024451835294e-05
ENSG00000166068,5.26604205219371,6.759307631033056e-237
ENSG00000018869,2.292147660409991,2.662974079730687e-07
ENSG00000067208,2.04490148870605,3.629465925844076e-35
ENSG00000140511,4.294012155265347,1.7320318120245865e-180
ENSG00000267272,2.2719169682033864,0.0012532312088801047
ENSG00000138131,2.644319641648721,0.015638370200284572
ENSG00000267454,4.332717986324463,4.716194379186088e-07
ENSG00000167291,9.244448108614126,1.8288656857313632e-262
ENSG00000178386,4.374713526687923,0.002619045186132501
ENSG00000150672,4.8538113026804846,1.253470281713728e-48
ENSG00000234690,2.4074681193272465,0.0008956541881114725
ENSG00000132386,3.2853235947353614,1.090387266859207e-55
ENSG00000127946,3.5593497706088972,0.0
ENSG00000170425,3.018593529803323,5.841362468165481e-08
ENSG00000259240,4.423134678000576,0.04964677482425169
ENSG00000111319,7.637166616753512,2.0985087981999534e-150
ENSG00000119655,2.0658078233569768,3.772242239115394e-68
ENSG00000204815,2.295365161979479,0.0012111272850843814
ENSG00000105464,4.597898281344263,2.987899118549314e-85
ENSG00000124098,4.533122895346075,7.26508402157365e-64
ENSG00000187323,6.774100640802655,3.006556835406797e-06
ENSG00000111087,4.91843197362238,8.25066493355632e-82
ENSG00000135069,2.476551077168658,0.0
ENSG00000164764,2.3176152298674713,0.025403359706397517
ENSG00000130702,6.0938649951998505,0.0
ENSG00000273106,4.433499455965238,0.049343885819775134
ENSG00000182218,8.39819197950457,5.231610348541612e-09
ENSG00000149782,3.0227157593376273,2.9773145283493587e-245
ENSG00000048052,3.220366672681214,1.8427015247012334e-36
ENSG00000137266,3.3515665025332075,1.2901790202713819e-189
ENSG00000231793,2.402038495111273,2.379177613048528e-07
ENSG00000151208,3.219898231511036,0.0
ENSG00000142178,3.5679827536237037,0.0003826524424619651
ENSG00000184635,5.776411840413462,4.7559322599527915e-160
ENSG00000136425,2.298871434692776,8.805458752639848e-54
ENSG00000074657,6.940093926950783,0.0
ENSG00000149948,7.404338176474054,0.0
ENSG00000128011,2.488316049082311,3.468300010336445e-20
ENSG00000160097,4.00541017169416,0.0004887155708549345
ENSG00000255234,2.970883578351648,4.93239511777567e-05
ENSG00000068976,4.434807778874443,1.0226970186408512e-39
ENSG00000175513,7.5175475189403915,0.003547152227617258
ENSG00000172819,2.7735581502513207,6.298164319940463e-115
ENSG00000248995,6.617476879128758,0.00934901624694064
ENSG00000157227,5.537777624763336,1.3611614102496844e-289
ENSG00000189292,6.792847652297095,1.1589467851249504e-10
ENSG00000261210,2.1749397114392903,0.04684913378291454
ENSG00000089723,2.0790870768007075,4.120573844678092e-11
ENSG00000142675,3.0473694175102137,5.922886017324495e-30
ENSG00000168959,5.915114773251598,0.017936836234448063
ENSG00000118898,7.171600008507845,2.6196856147329686e-140
ENSG00000110841,2.7982397728558053,4.95966254703237e-89
ENSG00000197013,2.9178016083349485,2.055830922570987e-31
ENSG00000124145,4.1992726495274155,2.3712719480812168e-210
ENSG00000181885,6.9560813976721745,3.771646004145014e-116
ENSG00000154240,3.651822216277449,6.374518881483004e-10
ENSG00000105668,2.5000934542244204,0.019510826082716915
ENSG00000198822,3.6548853742971805,8.253011110105902e-15
ENSG00000009724,3.9740079482037465,5.7533151682462366e-05
ENSG00000152527,7.416093300305359,7.428213305469507e-18
ENSG00000183655,2.267626080971572,1.4580437991027138e-50
ENSG00000143797,3.6955297201110837,4.914978538151173e-90
ENSG00000184507,7.2486901947742375,0.004816342733136071
