,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC,log2FoldChange,padj
ENSG00000166482,6.3236017,0.34754068,large,small,3.47191221103845,1.0864685008567652e-09
ENSG00000105278,5.617539,0.28144467,large,small,5.340960618943943,2.5523944329738745e-22
ENSG00000173894,5.02388,0.54554874,large,small,3.2534210343900574,0.0
ENSG00000189129,4.067588,0.48641694,mid,small,6.914361986346517,1.7672262811040046e-06
ENSG00000166405,7.15875,0.37682378,large,small,3.059855406516273,6.423176761386493e-39
ENSG00000223802,6.699916,0.6703758,large,small,6.587884580424984,5.516102640399229e-10
ENSG00000183230,2.9509768,0.32399574,mid,small,3.147015709025681,4.6950365836857495e-07
ENSG00000205959,3.8256028,4.198595,mid,small,3.622244321005009,2.2328697343034643e-06
ENSG00000163827,7.0007787,2.5734959,mid,small,11.527694512166049,9.91606966617112e-06
ENSG00000268218,7.2231035,0.51392424,large,small,3.3332678158400073,0.00027355190353788635
ENSG00000106070,19.83463,0.19926955,mid,small,8.232556643499905,1.0369976084268082e-179
ENSG00000136014,7.299249,2.542988,mid,small,11.176418766032011,4.475404986845408e-79
ENSG00000266916,2.6325655,0.26866138,mid,small,3.902244592662524,1.3716905037877192e-05
ENSG00000260350,1.2478795,0.5943987,mid,small,3.1506632472953413,7.792195637801049e-05
ENSG00000161298,1.2281003,0.65918803,mid,small,2.5375167221455652,8.59804759902168e-11
ENSG00000196503,8.33401,2.3829608,mid,small,2.4499387770791463,0.02128739239813912
ENSG00000077782,9.436304,1.0861305,mid,small,8.01268046301389,0.0
ENSG00000141622,11.113791,0.538321,large,small,7.322601231808897,1.250531379207612e-22
ENSG00000267270,1.4161258,0.12288333,mid,small,2.2524713723046,1.1083131612263607e-06
ENSG00000152953,11.054699,0.25395155,mid,small,6.513892463019845,8.402174209953938e-10
ENSG00000221968,3.436878,0.85626006,mid,small,2.344551808838479,3.095995047967454e-52
ENSG00000163995,3.3897936,1.9245094,mid,small,4.179796033382109,1.0295578024767244e-09
ENSG00000166840,1.685518,1.6381127,mid,small,10.092944255955466,0.00010631872672711954
ENSG00000132000,1.4111619,0.23168583,mid,small,2.959101065526935,0.00819750140947536
ENSG00000110888,7.1358976,0.5717489,mid,small,2.4493555518113994,3.792621278296562e-115
ENSG00000174695,26.219316,2.1288455,mid,small,2.117157903306994,7.879449975693753e-194
ENSG00000119698,3.9755387,0.6569925,large,small,7.320480670000988,1.3010844769316437e-22
ENSG00000130545,3.4930856,0.2601761,large,small,4.091350611980049,1.019816388350197e-32
ENSG00000183307,7.178421,0.7920891,large,small,6.00489317329447,3.12372988031063e-39
ENSG00000144712,6.294382,1.2861978,mid,small,2.6196334431213155,5.762062406889388e-34
ENSG00000196562,1.0869275,0.24449384,mid,small,2.833700848979427,4.76074737540019e-62
ENSG00000246889,5.529319,0.21783836,mid,small,2.808996426885194,0.0012341336387236724
ENSG00000151276,184.60757,0.39784014,large,small,7.667088926394304,1.418114729964344e-233
ENSG00000182871,9.31963,0.39065838,large,small,8.37491692410036,0.0
ENSG00000157613,1.6979346,0.2803878,mid,small,3.306217202361223,1.339479684794239e-41
ENSG00000214189,1.1550536,0.7053579,mid,small,3.6514225059901304,9.350962454827444e-94
ENSG00000111305,16.415451,0.5842562,large,small,6.406735773218146,0.011499390683550532
ENSG00000257084,2.4968097,2.244803,mid,small,2.084778944786927,0.026882312337796217
ENSG00000181588,6.5341644,0.5001927,large,small,3.25558860344172,3.6949566196980315e-216
ENSG00000170579,8.642401,0.15863845,large,small,2.0309946122875764,1.6074756017763538e-32
ENSG00000039560,13.042002,0.388522,mid,small,5.838280123987462,0.0
ENSG00000165912,4.1993217,0.50831306,mid,small,5.751261366977477,6.227159168631103e-92
ENSG00000164411,3.0135412,1.3680243,mid,small,6.551360446550073,0.009989762959183706
ENSG00000100320,8.838108,0.3059444,large,small,8.193823247839646,2.8875832677894816e-46
ENSG00000117906,3.0151398,0.18243495,mid,small,3.5982508763417376,4.2871830804733933e-265
ENSG00000140022,4.269453,0.2875583,large,small,7.438383711625984,1.6640436767695433e-91
ENSG00000183196,2.5769377,0.38962364,mid,small,3.288844509745115,1.532760502787622e-144
ENSG00000019485,1.5132898,1.3253868,mid,small,2.836375092630464,1.2404747421313036e-55
ENSG00000282556,1.6126934,0.7168801,mid,small,3.8911866312966668,0.0006755641638072946
ENSG00000087303,8.094201,1.1320684,large,small,5.331319670056081,2.470451393152502e-35
ENSG00000189292,6.7717714,1.2848155,mid,small,6.792847652297095,1.1589467851249504e-10
ENSG00000183655,11.585196,0.57564586,large,small,2.267626080971572,1.4580437991027138e-50
ENSG00000144596,10.692814,1.7011175,mid,small,8.53378080715012,2.8415686919795606e-09
ENSG00000188501,1.0721431,0.44000375,mid,small,7.155867847816493,8.326432285690561e-12
ENSG00000111752,7.3730516,0.50321674,mid,small,7.471687546457078,0.0
ENSG00000162374,4.004927,3.612401,mid,small,6.979017583115569,0.0064362781782608776
ENSG00000116661,5.1634974,1.9328154,mid,small,6.813683411782639,3.3313838693124882e-74
ENSG00000072071,4.2355247,0.6082976,large,small,4.401527481469074,0.0
ENSG00000106069,9.857968,2.8312757,mid,small,2.812140141922274,0.0023268132241807257
ENSG00000085733,5.529319,0.21783836,mid,small,3.582593013140503,0.0
ENSG00000063180,0.974295,0.5981742,mid,small,3.741677885154725,2.3234122511069673e-93
ENSG00000138101,5.172398,2.6298342,mid,small,2.114510288150448,2.3209165094394555e-49
ENSG00000129951,6.702248,0.38997912,large,small,11.356895683538497,2.683511006914648e-15
ENSG00000107854,9.183132,1.7587663,large,small,2.3134548919061513,5.605287048461112e-240
ENSG00000164708,2.9991403,2.7544641,mid,small,2.5049406176317914,0.011919988891697954
ENSG00000130584,5.400769,0.7127969,large,small,4.304146623828403,2.4708754422001685e-121
ENSG00000279489,3.3830204,3.2544515,mid,small,3.388303820017367,0.00318182345539233
ENSG00000005108,32.108727,0.58353716,mid,small,5.096319652129449,6.17782847326119e-12
ENSG00000241832,1.1692997,0.9456453,mid,small,6.063698324445419,0.015782198645378546
ENSG00000133703,2.3287928,2.3068066,mid,small,2.4492303113736664,2.513091237727624e-195
ENSG00000231205,1.8179235,0.019144539,mid,small,5.143080289297792,2.2791752079579602e-197
ENSG00000267055,5.1628547,2.732397,mid,small,6.02476637548937,0.016331070281042925
ENSG00000259153,2.2421868,0.74595225,mid,small,2.2218842206432505,4.1985940566869575e-13
ENSG00000198780,13.168188,0.34705588,mid,small,3.591761916038471,2.645108971596642e-281
ENSG00000124171,5.150925,0.6193617,large,small,2.850202272645595,6.195009882787728e-120
ENSG00000204611,1.8083932,0.42565635,mid,small,2.956174959264476,2.2894585339209256e-120
ENSG00000131899,4.8916054,0.6954837,large,small,2.640436419139356,1.8263469335177776e-226
ENSG00000067141,6.2962737,0.3913263,large,small,6.613635816196636,4.636499651332565e-263
ENSG00000172818,2.227025,1.1714841,mid,small,6.589154443227959,4.990205878082657e-10
ENSG00000104313,8.353839,2.0655115,mid,small,4.999250799748527,9.917849193141977e-08
ENSG00000176490,5.238159,0.6588388,large,small,6.249265367225757,8.076411931568589e-77
ENSG00000039068,2.039745,0.23784412,mid,small,2.391980651366213,3.497568329068546e-189
ENSG00000138760,8.47325,0.26644266,mid,small,2.0548969422522694,2.847683225551836e-84
ENSG00000271978,3.5883913,2.0737307,mid,small,3.1547998242894013,0.001967423904148339
ENSG00000070371,13.913616,0.9814672,large,small,6.228248990354298,3.5553368366841255e-69
ENSG00000196411,7.327772,0.5472995,mid,small,6.926914241238824,0.0
ENSG00000078295,45.01057,0.2192664,mid,small,10.145993415635317,5.539166865592055e-86
ENSG00000198722,10.442308,0.24479328,mid,small,7.808896646553833,1.0104470947413476e-187
ENSG00000250421,13.6719265,2.1063662,mid,small,5.878870758654491,0.01860383085042434
ENSG00000224846,3.8742197,0.87016076,mid,small,2.219417585347956,0.03001444489253307
ENSG00000162105,19.140303,0.8538308,large,small,8.042430236082758,4.1613332232287376e-140
ENSG00000255794,3.674264,0.70163447,mid,small,7.519224711914571,5.207239069991846e-13
ENSG00000167216,1.4518237,0.2925597,mid,small,2.098034642867673,5.691853320665489e-12
ENSG00000268650,1.3202366,0.43318895,mid,small,2.5047357704604893,0.0195712317415687
ENSG00000185737,14.67188,1.6499661,large,small,3.6368303507970094,4.410819198087623e-17
ENSG00000139946,13.712061,0.3248166,large,small,8.247076123130507,1.687772475792869e-62
ENSG00000052344,2.2676778,0.20079157,mid,small,8.476161241588422,2.1134816213931986e-73
ENSG00000174516,2.7501986,0.5317314,mid,small,2.4672207364467202,4.552364370913731e-17
ENSG00000196218,7.848329,0.3268043,large,small,4.598290253955375,1.0516499320186727e-156
ENSG00000228010,8.789346,0.7831757,mid,small,3.081525777583781,0.002403706681068487
ENSG00000105655,2.5824516,0.4398037,mid,small,2.1183580862887,8.71790107458778e-141
ENSG00000225761,2.0815098,0.28414458,mid,small,2.5768881055324933,0.005344370271790946
ENSG00000154229,9.727615,0.6824833,large,small,2.695953766982866,5.915583807316974e-82
ENSG00000072832,13.9877205,1.733617,mid,small,9.565011586601882,7.911068917510369e-104
ENSG00000003147,10.717846,2.2469547,mid,small,3.4072254010169822,2.0516706428765615e-67
ENSG00000253361,15.18239,0.9363308,large,small,5.29122493494105,0.029141162503230608
ENSG00000147852,4.143285,1.2927613,mid,small,5.386296747291703,2.1517729635835605e-234
ENSG00000079215,15.885604,1.3955518,mid,small,3.6203623771371043,1.3236341720320379e-105
ENSG00000185483,15.9688015,0.7068803,mid,small,9.124108739049555,2.6121797534249543e-135
ENSG00000146700,8.059171,0.8911444,mid,small,4.605520226532123,3.3341054251688056e-40
ENSG00000158125,14.909084,1.0071609,mid,small,4.819361044762858,1.664872652858373e-10
ENSG00000035403,1.3647609,1.5379452,mid,small,2.57413770621109,0.0
ENSG00000177425,5.3083386,0.3647581,mid,small,2.499240520713594,0.0
ENSG00000171119,3.3612225,0.2149883,large,small,5.2160356878282625,1.652632939213833e-08
ENSG00000154027,12.718943,1.9517566,mid,small,6.157076113446432,1.9582794532282098e-15
ENSG00000158296,1.6911607,0.37075466,mid,small,5.816408430613089,1.8564601805972856e-30
ENSG00000213799,12.455669,0.25456673,large,small,2.0206841531754707,5.079863488008351e-67
ENSG00000170542,3.952475,0.29263574,mid,small,3.046275595441114,9.221634398595191e-232
ENSG00000056487,8.023728,0.6018664,large,small,8.083690184148153,7.849735279405671e-60
ENSG00000169764,4.4748225,1.183539,mid,small,3.277992679919729,0.0
ENSG00000152208,16.177683,0.031004705,mid,small,11.033562050848648,1.1791939965169543e-39
ENSG00000181585,4.2026505,0.28387934,mid,small,5.872829261865658,0.018586464508219765
ENSG00000225420,13.6518135,3.1215646,mid,small,5.569870581797803,0.023719249432841077
ENSG00000050820,5.579579,0.8154547,large,small,2.72977045519195,4.3241254133141303e-193
ENSG00000262001,1.4900681,0.8837788,mid,small,5.004718831981758,9.789255637411873e-39
ENSG00000128849,7.9536953,0.28462714,large,small,9.093763427336384,6.504389460214566e-191
ENSG00000179761,1.8918159,0.95495796,mid,small,5.566198959985749,5.067237697152707e-150
ENSG00000198346,7.941243,0.26410592,large,small,2.7546557400676623,1.6870432625164662e-111
ENSG00000164181,19.145742,0.18424082,mid,small,2.6219710339518603,4.734454924136062e-22
ENSG00000144749,4.049139,0.8610246,mid,small,2.7331099465657,5.224645212506694e-262
ENSG00000120896,5.4032717,0.88098997,mid,small,5.476741917438301,1.0819231613177009e-166
ENSG00000133026,10.132678,0.36151078,large,small,7.11969285714047,0.0
ENSG00000111664,3.1371274,2.3240833,mid,small,4.691120379365217,2.0446990658322023e-26
ENSG00000065717,5.3172593,0.34776562,large,small,4.557029079112623,1.279816194478607e-28
ENSG00000138670,19.81177,0.23061664,mid,small,3.849085350566472,8.780828834806681e-13
ENSG00000141401,1.0304939,0.4947782,mid,small,2.583873409513278,1.0548156548126878e-133
ENSG00000157933,7.344694,1.1306186,mid,small,2.2793528922668376,4.1690257257657676e-216
ENSG00000185052,3.6005988,0.9359107,large,small,8.864886462060197,6.672163463559524e-10
ENSG00000061337,12.083396,2.4182022,mid,small,12.265816460260412,2.4481883318760407e-06
ENSG00000155269,5.168403,3.5933564,mid,small,9.02197009794317,0.0005149415967279344
ENSG00000264164,5.5266633,0.7228783,large,small,4.002658793268623,8.750058778054636e-08
ENSG00000182963,8.656432,0.8601258,large,small,5.816895145436276,0.0
ENSG00000257150,7.299249,2.542988,mid,small,8.21210475341113,0.001524247438533677
ENSG00000185942,13.7134285,1.2787766,large,small,2.899901165273185,0.024650782795747096
ENSG00000035862,10.020646,0.6871814,large,small,5.790990759510722,1.0424452157713351e-163
