,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number,CellType
0,Laminin Interactions,8.754694046338434e-05,0.0206143787923312,4/30,184.96257262544052,COL18A1;LAMA5;LAMA1;NID2,0.02531645569620253,4,H1ESC
1,Cell-cell Junction Organization,9.001912136389206e-05,0.0206143787923312,6/92,84.47221075432265,PARD6B;CDH1;CLDN7;PVR;SDK2;CRB3,0.0379746835443038,6,H1ESC
2,SUMOylation of DNA Methylation Proteins,0.0002511784994586732,0.0383465842506907,3/16,244.71879316878417,PHC1;CBX2;DNMT3B,0.0189873417721519,3,H1ESC
3,Cell Junction Organization,0.00036785454554461825,0.0421193454648587,6/119,54.49933828761453,PARD6B;CDH1;CLDN7;PVR;SDK2;CRB3,0.0379746835443038,6,H1ESC
4,Extracellular Matrix Organization,0.0006510694705585648,0.0596379635031645,9/300,29.774500517022876,MFAP4;COL18A1;LAMA5;SDC4;CDH1;LAMA1;TIMP2;PRKCA;NID2,0.056962025316455694,9,H1ESC
5,Non-integrin membrane-ECM Interactions,0.0012173504331095,0.0830209101700478,4/59,62.7117409346756,LAMA5;SDC4;LAMA1;PRKCA,0.02531645569620253,4,H1ESC
6,Epithelial-Mesenchymal Transition (EMT) During Gastrulation,0.0012688785397168,0.0830209101700478,2/7,339.24432771676044,CDH1;CLDN7,0.012658227848101266,2,H1ESC
7,Cell-Cell Communication,0.0015669000012142,0.0897050250695176,6/157,33.24609565609733,PARD6B;CDH1;CLDN7;PVR;SDK2;CRB3,0.0379746835443038,6,H1ESC
8,Tight Junction Interactions,0.0018485010195439,0.0940681629945691,3/31,86.19610772232683,PARD6B;CLDN7;CRB3,0.0189873417721519,3,H1ESC
9,Signal Transduction,0.0072722715178268,0.3330700355164683,32/2613,8.362724343344732,NOTCH3;LAMA5;PLPPR3;LAMA1;BUB1B;UACA;PREX2;PARD6B;RPS6KA5;TNKS2;CDH1;TIMP2;IGF2BP1;NRTN;RHPN2;MYH10;NTSR1;RGS6;SPTBN2;TLE2;RBFOX2;PHC1;INSR;CBX2;PRKCA;GABRG3;ARHGAP23;NRG3;APOC1;PDE7A;MYL9;BCAR1,0.20253164556962025,32,H1ESC
10,RHO GTPases Activate ROCKs,0.0097096917585614,0.3511236841296892,2/19,69.2922733473952,MYH10;MYL9,0.012658227848101266,2,H1ESC
11,RHO GTPases Activate CIT,0.0097096917585614,0.3511236841296892,2/19,69.2922733473952,MYH10;MYL9,0.012658227848101266,2,H1ESC
12,Neurexins and Neuroligins,0.010363378032278,0.3511236841296892,3/57,32.40889300275547,NRXN3;DLGAP1;SHANK2,0.0189873417721519,3,H1ESC
13,Sema4D Induced Cell Migration and Growth-Cone Collapse,0.0107330383795101,0.3511236841296892,2/20,64.02458153854182,MYH10;MYL9,0.012658227848101266,2,H1ESC
14,RHO GTPases Activate PAKs,0.0118018350491819,0.3566449518826199,2/21,59.38206032082638,MYH10;MYL9,0.012658227848101266,2,H1ESC
15,SHC1 Events in ERBB2 Signaling,0.0129153092169155,0.3566449518826199,2/22,55.26452265713081,NRG3;PRKCA,0.012658227848101266,2,H1ESC
16,NCAM Signaling for Neurite Out-Growth,0.0135912990845434,0.3566449518826199,3/63,27.42886268785891,RPS6KA5;NRTN;SPTBN2,0.0189873417721519,3,H1ESC
17,Intracellular Signaling by Second Messengers,0.0140166138294479,0.3566449518826199,7/321,12.303366381906772,PREX2;PHC1;NRG3;TNKS2;INSR;CBX2;PRKCA,0.04430379746835443,7,H1ESC
18,Sema4D in Semaphorin Signaling,0.0152732459311361,0.3681656124452816,2/24,48.29857505429492,MYH10;MYL9,0.012658227848101266,2,H1ESC
19,Syndecan Interactions,0.0191264443639075,0.388810549405847,2/27,40.21004848102547,SDC4;PRKCA,0.012658227848101266,2,H1ESC
20,EPHA-mediated Growth Cone Collapse,0.021897619373481,0.388810549405847,2/29,35.95469716966088,MYH10;MYL9,0.012658227848101266,2,H1ESC
21,Regulation of Endogenous Retroelements by KRAB-ZFP Proteins,0.0223456495271664,0.388810549405847,3/76,19.923397177115135,ZNF33A;ZNF519;ZNF418,0.0189873417721519,3,H1ESC
22,MET Activates PTK2 Signaling,0.0233417898876836,0.388810549405847,2/30,34.089424219824814,LAMA5;LAMA1,0.012658227848101266,2,H1ESC
23,PIP3 Activates AKT Signaling,0.0243893411587917,0.388810549405847,6/281,10.430266344400335,PREX2;PHC1;NRG3;TNKS2;INSR;CBX2,0.0379746835443038,6,H1ESC
24,Degradation of the Extracellular Matrix,0.0251375411122971,0.388810549405847,4/140,13.862670026465798,COL18A1;LAMA5;CDH1;TIMP2,0.02531645569620253,4,H1ESC
25,Signaling by Receptor Tyrosine Kinases,0.0267812336318407,0.388810549405847,9/536,8.014111346358131,LAMA5;RBFOX2;RPS6KA5;NRG3;LAMA1;INSR;PRKCA;GABRG3;BCAR1,0.056962025316455694,9,H1ESC
26,Activation of Matrix Metalloproteinases,0.0279003444771241,0.388810549405847,2/33,29.324181926226323,COL18A1;TIMP2,0.012658227848101266,2,H1ESC
27,PTEN Regulation,0.0281170614831917,0.388810549405847,4/145,12.961173822827863,PREX2;PHC1;TNKS2;CBX2,0.02531645569620253,4,H1ESC
28,Axon Guidance,0.0281949549258407,0.388810549405847,9/541,7.823953143515867,RPS6KA5;LAMA1;CLTCL1;PRKCA;NRTN;MYL9;MYH10;NEO1;SPTBN2,0.056962025316455694,9,H1ESC
29,RHO GTPase Effectors,0.0282955827583847,0.388810549405847,6/291,9.656741619818543,CDH1;BUB1B;PRKCA;RHPN2;MYL9;MYH10,0.0379746835443038,6,H1ESC
30,Diseases of Glycosylation,0.0287371444129045,0.388810549405847,4/146,12.790639440852708,NOTCH3;CHST6;SDC4;ADAMTS17,0.02531645569620253,4,H1ESC
31,Protein-protein Interactions at Synapses,0.032590687974975,0.388810549405847,3/88,15.402491261945286,NRXN3;DLGAP1;SHANK2,0.0189873417721519,3,H1ESC
32,RUNX1 Interacts With Co-Factors Whose Precise Effect on RUNX1 Targets Is Not Known,0.0344808373642949,0.388810549405847,2/37,24.431183923342044,PHC1;CBX2,0.012658227848101266,2,H1ESC
33,Sphingolipid De Novo Biosynthesis,0.0344808373642949,0.388810549405847,2/37,24.431183923342044,CERS4;CERS1,0.012658227848101266,2,H1ESC
