,log2FoldChange,padj
ENSG00000088367,6.011779395122232,3.5442143132157847e-115
ENSG00000157827,5.713413706882085,1.844564713911938e-287
ENSG00000166482,3.47191221103845,1.0864685008567652e-09
ENSG00000233237,3.2419131468139124,0.00015172495217831186
ENSG00000185670,2.8836098886018378,4.697838389203677e-130
ENSG00000124225,6.155719403274591,1.7472833815969533e-67
ENSG00000004399,6.7714875028500865,1.526001754257347e-201
ENSG00000242808,6.214443053254935,2.2403527250946324e-12
ENSG00000143514,2.06682641356539,1.346448105961275e-88
ENSG00000116106,4.812858593996548,3.8055722150419337e-25
ENSG00000137877,2.4041070892733805,6.292718958291403e-09
ENSG00000105278,5.340960618943943,2.5523944329738745e-22
ENSG00000077063,10.257365441229057,1.2667133021803879e-23
ENSG00000183844,4.335750865039104,0.00016249254721389567
ENSG00000166402,9.408055302447185,6.671791583067604e-56
ENSG00000172296,2.5768881055324933,0.005344370271790946
ENSG00000073792,8.309866846142786,5.152011275091442e-31
ENSG00000183960,3.5445453879959685,2.2990173058020167e-17
ENSG00000134243,6.27909464165505,1.2405770798199519e-98
ENSG00000159733,3.0827467839415865,2.5941630595580543e-15
ENSG00000199145,9.55146838082248,0.00024097507514791484
ENSG00000112309,5.683402786381425,1.4250273158458627e-15
ENSG00000128595,2.110212635425637,9.739601865021803e-234
ENSG00000198324,2.602808286873723,9.46056628693882e-33
ENSG00000132694,2.962613126308745,2.6972974020659537e-186
ENSG00000187824,6.401943779895215,1.0725365345900776e-05
ENSG00000173894,3.2534210343900574,0.0
ENSG00000167281,9.243579992025621,1.2016671544319857e-10
ENSG00000167971,3.242633134178669,7.007225457219425e-33
ENSG00000189129,6.914361986346517,1.7672262811040046e-06
ENSG00000166405,3.059855406516273,6.423176761386493e-39
ENSG00000110400,3.2959384430287417,0.0
ENSG00000139324,2.6599482478729355,3.8563355913682815e-167
ENSG00000187105,4.720362101001831,0.0012405625737531463
ENSG00000127831,4.164471811588389,6.743148890625135e-24
ENSG00000223802,6.587884580424984,5.516102640399229e-10
ENSG00000183230,3.147015709025681,4.6950365836857495e-07
ENSG00000205959,3.622244321005009,2.2328697343034643e-06
ENSG00000148200,4.4137383955187515,0.0
ENSG00000163827,11.527694512166049,9.91606966617112e-06
ENSG00000114854,4.074522289766443,5.64339830379888e-08
ENSG00000163235,5.3435094579654985,1.6609393296971705e-15
ENSG00000137834,5.218016817114587,1.3382346831168834e-41
ENSG00000115266,3.2823559815772545,3.1149534983988974e-21
ENSG00000186019,3.767560716123859,7.116395676006836e-16
ENSG00000181392,3.7414076388507356,1.3674523017538776e-28
ENSG00000268218,3.3332678158400073,0.00027355190353788635
ENSG00000175894,4.949328744531876,0.0007515447757180331
ENSG00000163462,2.227615763575902,3.977973086995626e-34
ENSG00000103184,10.625669664193058,4.578403234476194e-05
ENSG00000106070,8.232556643499905,1.0369976084268082e-179
ENSG00000019144,8.08061630703069,1.1935318053176082e-122
ENSG00000214063,2.584313922951859,2.9165639022447433e-86
ENSG00000136014,11.176418766032011,4.475404986845408e-79
