,min_dist_other,min_dist_self,quartile_cat_other,quartile_cat_self,log2FoldChange,padj,contrasted_with
ENSG00000173068,40.5345,0.029134894,large,small,5.395484085458725,5.197397237594639e-123,GM12878
ENSG00000147596,3.985755,0.30945665,mid,small,10.21682241151866,8.814274289650037e-45,GM12878
ENSG00000182903,1.3172612,0.6853901,mid,small,2.3985452773062543,2.262213592701982e-178,GM12878
ENSG00000266916,2.6325655,0.26866138,mid,small,3.902244592662524,1.3716905037877192e-05,GM12878
ENSG00000106070,19.83463,0.19926955,large,small,8.232556643499905,1.0369976084268082e-179,GM12878
ENSG00000083307,2.3372297,0.21949558,mid,small,8.186127937145026,4.3564432627875314e-68,GM12878
ENSG00000011028,4.838825,0.56450033,large,small,4.595090974485804,9.610679520604841e-141,GM12878
ENSG00000175274,2.2270691,0.79608065,mid,small,7.079882430520048,2.3564882294226772e-108,GM12878
ENSG00000134042,1.0143439,1.1041409,mid,small,5.205779454960122,2.3792096081494553e-06,GM12878
ENSG00000105641,2.023909,0.5185684,mid,small,4.013590444655398,6.944426155484994e-09,GM12878
ENSG00000018869,1.9654614,0.7838062,mid,small,2.292147660409991,2.662974079730687e-07,GM12878
ENSG00000267454,1.9654614,0.7838062,mid,small,4.332717986324463,4.716194379186088e-07,GM12878
ENSG00000150672,16.212223,0.76068217,large,small,4.8538113026804846,1.253470281713728e-48,GM12878
ENSG00000234690,3.7298195,0.99219894,mid,small,2.4074681193272465,0.0008956541881114725,GM12878
ENSG00000130702,6.7498317,0.031570405,large,small,6.0938649951998505,0.0,GM12878
ENSG00000136425,1.8133187,0.4118373,mid,small,2.298871434692776,8.805458752639848e-54,GM12878
ENSG00000074657,5.0281887,0.43464386,large,small,6.940093926950783,0.0,GM12878
ENSG00000149948,12.3406,0.19265482,large,small,7.404338176474054,0.0,GM12878
ENSG00000172819,5.2448606,0.44845,large,small,2.7735581502513207,6.298164319940463e-115,GM12878
ENSG00000157227,1.355045,0.94005346,mid,small,5.537777624763336,1.3611614102496844e-289,GM12878
