,log2FoldChange,padj
ENSG00000144834,-5.241315673984013,2.7858837326578984e-13
ENSG00000183682,-2.0540405793264056,0.04077287559955964
ENSG00000121454,-4.108407857991874,6.578418269376234e-30
ENSG00000127152,-7.40027353951713,2.2163471123474818e-39
ENSG00000198885,-3.953102558468447,8.967578447308096e-51
ENSG00000121057,-2.956961585895416,4.26131733154734e-59
ENSG00000185033,-2.2449572230419235,1.0961909699323328e-41
ENSG00000276071,-3.634557182699208,2.931399629454051e-05
ENSG00000170684,-3.076372699921037,1.0810995066096277e-15
ENSG00000151572,-5.636693890338972,2.7588047882175135e-09
ENSG00000204257,-2.0903123596525908,4.174935488496545e-10
ENSG00000137193,-3.962731716201978,1.9517182161429657e-85
ENSG00000112218,-2.333498920535584,5.266791654071812e-29
ENSG00000056736,-8.684515770512933,1.0316084310880016e-09
ENSG00000144285,-9.064684604004892,9.333538212864408e-05
ENSG00000275185,-2.3780787820203058,1.2260526859732793e-05
ENSG00000253966,-2.4600147168966386,0.006369308743658122
ENSG00000125337,-6.985266133443776,1.5146546402530749e-06
ENSG00000259820,-2.2288335783138353,3.177166842061752e-11
ENSG00000181652,-2.266722409109877,6.984680893575351e-05
ENSG00000240291,-2.663672747993914,0.00015944927304199248
ENSG00000132196,-2.9014348222934854,5.920256400824787e-40
ENSG00000147724,-5.760108179338993,0.015277379677245973
ENSG00000260401,-4.428192302787711,0.0002826877608100035
ENSG00000169750,-3.9640273525159557,1.319365770366446e-130
ENSG00000105088,-3.980865616191359,1.2086359579290978e-17
ENSG00000113657,-2.5319628621225307,1.3612481947917078e-45
ENSG00000139269,-5.368297727861943,9.579370610261864e-27
ENSG00000047617,-4.493332195804098,3.0923236858401864e-08
ENSG00000257150,-3.9128824100112003,2.9290862009224384e-08
ENSG00000165238,-12.695945840366756,2.3163143917877757e-19
ENSG00000197977,-4.428776258071132,1.1105679444376075e-06
ENSG00000206120,-6.071197870902419,5.085068309256655e-08
ENSG00000143847,-2.822268424702153,8.936493249358863e-19
ENSG00000155189,-2.1586464411078987,3.120316400578712e-32
ENSG00000074660,-2.2322067410406925,1.4694754413860893e-06
ENSG00000140538,-5.653858295759442,6.919383197563277e-19
ENSG00000103067,-9.049464329027423,3.10343306248989e-62
ENSG00000167608,-3.0650985594035687,1.0746075903717803e-09
ENSG00000169071,-6.051323855947046,2.316925076288361e-23
ENSG00000138696,-6.285640940172111,1.8653442053932168e-05
ENSG00000168477,-3.143036069751807,1.613019802847335e-19
ENSG00000162687,-2.9384809049455436,5.8665359096705766e-08
ENSG00000143882,-2.2025526027565157,0.013521056757667963
ENSG00000153093,-12.280130305902881,5.6692963746684625e-08
ENSG00000105737,-7.910047625238423,3.467243168854076e-101
ENSG00000215417,-4.833905820926096,6.479623703173671e-49
ENSG00000113205,-2.826985780296065,3.814476851521298e-13
ENSG00000038427,-3.7870996263260923,1.481417026469181e-247
ENSG00000225914,-3.4747010010828907,7.240849253877081e-09
ENSG00000114854,-3.5069334796928664,3.664182181467286e-08
ENSG00000197077,-2.217057583466622,3.149843747166651e-07
ENSG00000228613,-6.012039841240326,8.585747509497051e-08
ENSG00000168060,-7.156456273531294,7.49947432717629e-07
ENSG00000168071,-4.695487457809076,4.0875904445851055e-19
ENSG00000136237,-3.9241941809718552,7.430538839385048e-21
ENSG00000168916,-5.9655471662232475,6.3992727097386886e-139
ENSG00000188883,-12.477304527768275,3.564659401668273e-08
ENSG00000197321,-4.80378660120215,1.986740792852567e-62
ENSG00000114739,-6.3842983162843145,3.4637763792744115e-219
ENSG00000009724,-4.004074486409249,1.5761518294250343e-05
ENSG00000165795,-6.953936931025916,1.0194727160567764e-45
ENSG00000128203,-2.1037366349343802,9.237282794093842e-12
ENSG00000166840,-5.415413821726143,6.901675566488436e-20
ENSG00000074219,-2.4943934586858743,3.222589931132464e-45
ENSG00000134398,-5.22989052241707,5.511186764934207e-06
ENSG00000139597,-2.5173276397814934,6.234316053739392e-05
ENSG00000152413,-3.0446107929627817,6.668128945127629e-21
ENSG00000134207,-13.990845756601665,4.532816756488569e-10
ENSG00000255595,-5.5572483668788735,0.01881338136175287
ENSG00000106772,-8.046754552936385,4.38245923996078e-65
ENSG00000151150,-11.554600395210057,7.700180176088572e-29
ENSG00000185737,-10.422098576862641,5.246857338155299e-06
ENSG00000168743,-6.458198462998557,0.006846590800477031
ENSG00000130775,-2.7160499961370532,1.3396309675273163e-07
ENSG00000087299,-2.6767832139168237,5.7991176433057866e-64
ENSG00000242182,-2.6224628694475314,0.03508795176286186
ENSG00000232445,-5.820474228379033,1.2896768371811619e-08
ENSG00000227811,-3.047613994239058,1.0512914339138231e-08
ENSG00000138944,-12.402622871556678,4.139827620846322e-08
ENSG00000130702,-6.247599764125726,3.560394714184234e-245
ENSG00000070601,-4.127334973444014,7.375760780464267e-05
ENSG00000048740,-2.037983374012466,2.5618013748050946e-19
ENSG00000169435,-4.5237946663754665,0.0026148461246823748
ENSG00000196376,-12.648522930978778,2.1722733812449713e-08
ENSG00000255236,-3.043299454042532,0.023758118274933765
ENSG00000136378,-6.217739250789378,1.3700616469166472e-175
ENSG00000140332,-2.1954518316489127,4.417615505097329e-09
ENSG00000171105,-3.036493553736355,1.4678382321307049e-18
ENSG00000167964,-3.4605369582770185,4.099035558463803e-11
ENSG00000267327,-2.848605306407879,0.0030785219185650867
ENSG00000179059,-16.489338182321408,1.299965053624876e-13
ENSG00000165548,-7.789656548052617,1.1885297476158792e-18
ENSG00000184672,-7.490069214896523,0.0015704772733705638
ENSG00000198838,-4.7562923058181426,1.530144058776228e-07
ENSG00000124440,-4.56061546253879,0.000280024819232208
ENSG00000163814,-3.882463529273174,6.4113896726621735e-22
ENSG00000005249,-2.214194796053954,6.893173000285016e-12
ENSG00000188818,-2.6787101221602088,1.595619038906693e-11
ENSG00000111266,-2.8146989410714163,3.969758024217702e-72
ENSG00000283403,-8.194641445080284,0.0004720699149236727
ENSG00000214455,-2.042130468358013,7.575672806601433e-06
ENSG00000157703,-6.783168843634036,0.004448266527784104
ENSG00000164199,-11.740459074649232,2.070650660790036e-43
ENSG00000101134,-6.712842986467012,9.390330654063163e-28
ENSG00000170421,-2.506903193219465,1.349639801060553e-69
ENSG00000109991,-4.713669971079123,0.03603939842043556
ENSG00000132470,-4.902412970111095,5.056137822083603e-27
ENSG00000196247,-3.0384856313735735,2.46418436738686e-73
ENSG00000124171,-6.19815358052701,7.935917052829629e-117
ENSG00000139146,-4.4502868660900425,4.757345488573407e-100
ENSG00000138821,-5.003462492999513,1.661110582535868e-08
ENSG00000156140,-6.256321528532575,6.003610983097478e-27
ENSG00000255389,-2.7089780085695687,1.7517399095719256e-05
ENSG00000157445,-3.605109008591073,3.367979411796452e-07
ENSG00000144550,-10.141931593425594,9.748818933535728e-06
ENSG00000187942,-2.47490799936239,0.0019501630879749043
ENSG00000097046,-2.1571376137631453,1.2980927549327732e-12
ENSG00000197892,-3.034278147159094,1.540963451744335e-44
ENSG00000239857,-2.2506453239873996,1.7659545739841377e-15
ENSG00000136286,-2.1934266604493224,0.017222350314069587
ENSG00000101198,-6.987620587568382,1.0104731242645228e-10
ENSG00000235109,-3.185782848464726,2.4370487021188947e-20
ENSG00000134247,-8.653252470580894,1.3926489812723462e-69
ENSG00000173227,-6.452539767448846,1.6896831715291464e-18
ENSG00000187595,-9.416638481355664,4.857869699198438e-05
ENSG00000273691,-2.293652390685861,0.016859011581351512
ENSG00000140557,-6.406562184525889,2.663730578523523e-12
ENSG00000204659,-2.290987413095899,0.030284213873147538
ENSG00000123612,-3.250692090250062,0.00011725593929851137
ENSG00000187605,-2.22533175137534,1.2543490216391444e-71
ENSG00000164985,-2.766376619997902,1.1813139051363045e-30
ENSG00000161267,-3.764692795525793,1.660533375169798e-45
ENSG00000159023,-3.372262070389171,1.3589603264700674e-16
ENSG00000170382,-9.650239778582621,2.8389498821633696e-05
ENSG00000258603,-4.4993856943678665,0.002623133306354255
ENSG00000272180,-6.001704238175426,0.01176112683632194
ENSG00000110076,-6.1912176326353325,2.3046071547237513e-43
ENSG00000204650,-2.3004084582144797,2.7234408118356042e-45
ENSG00000158486,-5.988399075077111,6.033291243524238e-05
ENSG00000182132,-5.907890863811952,0.012969364536116414
ENSG00000101017,-2.0539918092773344,0.0002382769616777199
ENSG00000198929,-3.87423443038924,6.675750700133612e-39
ENSG00000275216,-2.926823605723218,0.0012656562508951887
ENSG00000053438,-11.037466790049397,5.536102990307886e-15
ENSG00000197283,-2.3189850404561954,4.767091162377099e-81
ENSG00000082684,-13.32378844907211,3.319080727823935e-09
ENSG00000070759,-3.0022609844725423,6.001099980076409e-35
ENSG00000117479,-2.528311380672076,9.200056868365474e-50
ENSG00000147804,-3.202707004666406,2.8389498821633696e-05
ENSG00000196872,-4.250209394354223,0.047327556989259084
ENSG00000119782,-2.4622930519974573,2.1706989087734615e-15
ENSG00000108839,-6.116203528003564,3.472245267344763e-05
ENSG00000197299,-3.0997731698336426,7.931647279112833e-35
ENSG00000103044,-4.757907798353106,2.7345005920150248e-146
ENSG00000141447,-2.312329072981224,7.215228604599094e-15
ENSG00000261087,-2.4148856215039043,4.489899040022611e-05
ENSG00000274925,-2.4654054616187056,1.0986591433876194e-10
ENSG00000274750,-3.938823795901767,3.582110564298944e-27
ENSG00000189283,-3.242134783314887,6.95303715998573e-05
ENSG00000260971,-2.8614545753249288,0.013280827189131306
ENSG00000176092,-8.77311472504295,2.6691284378408043e-24
ENSG00000186409,-2.1347662177386093,0.0002751132100909726
ENSG00000135929,-4.223054016670522,1.0469035099167331e-16
ENSG00000172794,-5.548103570409411,2.1477483448943673e-15
ENSG00000125246,-3.7185897401821157,1.3073807274389991e-20
ENSG00000155846,-6.094762895868304,1.7974706844544066e-88
ENSG00000165646,-11.840385959200917,1.7667097261154144e-07
ENSG00000059915,-2.87906403162311,1.2060685085550174e-12
ENSG00000259005,-4.220634885592771,0.004453427438585691
ENSG00000163235,-3.7934063580752566,2.5679207797804802e-11
ENSG00000115687,-3.066416944813332,1.210126113910529e-34
ENSG00000148948,-7.343691738241759,0.0019720222235224062
ENSG00000104059,-5.710086834364544,2.3811665072889017e-48
ENSG00000166831,-10.235034664517174,5.160388150855676e-118
ENSG00000142065,-2.0073405548828966,3.5816793900224165e-27
ENSG00000176533,-5.436524105689055,2.0855486874877037e-35
ENSG00000182866,-14.355766801388146,1.5636960104776518e-10
ENSG00000095002,-3.0912867182763115,6.523262529494639e-57
ENSG00000231918,-8.123909109083936,0.0005450429676722258
ENSG00000181333,-4.50560673921812,0.04116104447587714
ENSG00000166257,-4.650682203884141,5.130791121663874e-06
ENSG00000262943,-10.515757378891953,4.224054202051493e-06
ENSG00000104112,-14.31813531527574,1.7702880448446577e-10
ENSG00000223802,-2.7839476398235283,1.3042064605015922e-10
ENSG00000166473,-2.3533445218272404,6.198749223621975e-08
ENSG00000237440,-2.5574257350383136,5.7630033035581326e-36
ENSG00000121380,-8.731084801410493,0.0001786822823757664
ENSG00000119139,-2.6777268865190256,5.624397183291857e-12
ENSG00000112599,-2.0580197968679452,0.006353173653812206
ENSG00000136982,-2.601700728999986,2.0106571350086934e-21
ENSG00000182263,-2.698904175256792,1.3261193888268243e-16
ENSG00000140451,-3.7732334398014813,6.931721961075169e-43
ENSG00000160229,-5.4326463778122305,1.5427209805927682e-82
ENSG00000105173,-2.324507363423239,9.367974622525274e-43
ENSG00000118557,-5.554497931191481,1.001078814450758e-06
ENSG00000235560,-3.3024818088467898,5.255344512449784e-10
ENSG00000183166,-13.347214191250847,3.1047263689015377e-09
ENSG00000113231,-2.3677469406962794,0.04344823225356929
ENSG00000113645,-2.493985713673036,4.693583891811714e-17
ENSG00000260903,-8.646630354011918,1.5782924067186964e-09
ENSG00000249550,-5.271251172316772,4.487825670890644e-06
ENSG00000196139,-3.6968999615644433,3.255450323232263e-05
ENSG00000112182,-11.90635825392626,1.4955249340477953e-07
ENSG00000196812,-2.6320142139297826,7.774331255002769e-13
ENSG00000163959,-9.975639289257805,1.3992990886217998e-05
ENSG00000132849,-2.6633479481779356,6.876993732130754e-20
ENSG00000068615,-4.02021457418771,5.148231152016617e-07
ENSG00000137642,-7.4594611842375675,9.430665873862293e-143
ENSG00000232258,-6.223361909946433,0.00936741659456049
ENSG00000173258,-6.7790945030409,6.987849342330623e-218
ENSG00000107518,-9.198103460787772,1.2728482625767794e-18
ENSG00000175707,-11.993841538020167,1.1953502047782668e-07
ENSG00000162409,-2.517529411896751,0.016299322527312882
ENSG00000253636,-5.536275650597899,7.16824801269099e-97
ENSG00000156966,-9.20685644329302,8.570263975424832e-101
ENSG00000171649,-3.3164420074429715,1.0020430765942408e-05
ENSG00000180035,-2.0023295673266546,1.530835321577282e-38
ENSG00000256229,-2.797159438066214,3.419950698584392e-48
ENSG00000270953,-3.3471016529230995,0.0014964730432707545
ENSG00000111319,-10.143150970909922,2.8782084526859827e-61
ENSG00000112320,-5.46037993102275,2.1849463164371377e-43
ENSG00000215910,-2.2189889201441333,0.0010240799598991183
ENSG00000159166,-10.806276498517802,1.9745688127304124e-14
ENSG00000164687,-2.1620275663949835,3.2568238088590344e-05
ENSG00000071073,-6.903487835838741,2.7459005866085035e-26
ENSG00000131746,-3.5573209537116783,0.001003233928539179
ENSG00000131771,-10.974177770408895,1.4767380473973667e-06
ENSG00000273786,-2.0269816405100687,0.016666296782452045
ENSG00000103550,-2.335456365102529,3.2738921065348476e-54
ENSG00000145536,-5.436962561574986,2.2983385510683875e-07
ENSG00000250320,-2.4223410676411663,0.00655802959236057
ENSG00000186472,-3.397588834215209,5.9105912865155416e-24
ENSG00000107443,-2.913629863537641,6.26882794879259e-74
ENSG00000114541,-5.370299162155155,1.2932418757745245e-23
ENSG00000162769,-3.512672624446965,2.1866509318260234e-101
ENSG00000162415,-6.467449502154892,2.6332931923607077e-19
ENSG00000117114,-3.4278621563700447,2.7466911574237743e-05
ENSG00000227838,-10.199312867476962,8.55621047272275e-06
ENSG00000133247,-2.1681290833928153,2.2139866703122896e-29
ENSG00000178078,-3.271960504397961,4.927374026962115e-09
ENSG00000136231,-2.4091932326486405,6.356275974793699e-51
ENSG00000112379,-7.2015495866024635,4.172385786218455e-103
ENSG00000134463,-3.7306292914524337,4.0304533820460686e-11
ENSG00000145020,-2.7761229825692157,0.0002787047751935562
ENSG00000179564,-2.0927878736601393,0.025222644177589557
ENSG00000143190,-3.2223348716994415,2.968321011216838e-55
ENSG00000229955,-3.8072678260900243,0.00022714346913447963
ENSG00000181211,-3.3630704815700025,0.00024925099170002035
ENSG00000164181,-6.1182216502545295,1.5107330585428682e-26
ENSG00000272168,-5.578546808595836,6.1292499210489106e-52
ENSG00000114378,-2.4944471386762337,3.207274638326366e-06
ENSG00000230002,-2.669916584200663,1.0783880869906331e-11
ENSG00000204634,-3.4488729687924864,2.461240744405863e-47
ENSG00000140479,-6.762604742175387,7.35471546317317e-10
ENSG00000160963,-15.024771066981083,1.917690915838594e-11
ENSG00000118407,-5.196838084427415,5.560165071799971e-33
ENSG00000143318,-2.5475295169291177,0.003203414244165401
ENSG00000198208,-3.439844776962894,2.271895852496427e-25
ENSG00000139890,-2.3257742175917135,0.0008625980165865971
ENSG00000275902,-2.311904767658774,0.009361092554277807
ENSG00000166922,-2.118311342150809,5.112485886305793e-10
ENSG00000154065,-5.135630740932933,1.0590325864417428e-12
ENSG00000006459,-2.4346779624373482,3.302861089813242e-26
ENSG00000145920,-7.028073869345865,0.003206041835577331
ENSG00000241697,-4.716580763103188,4.788643497554267e-49
ENSG00000138185,-6.421209814362502,5.2666558178566676e-09
ENSG00000112118,-2.1349787217255214,5.321196312892495e-18
ENSG00000144596,-6.640291977507675,2.8729505942663818e-24
ENSG00000088280,-2.076868166023559,1.1026037210701087e-13
ENSG00000239218,-3.166179157444025,7.538813673937219e-20
ENSG00000147481,-4.713669971079123,0.03603939842043556
ENSG00000174292,-3.6565648313532346,1.5146312766382943e-26
ENSG00000102981,-3.605815037294104,4.700254551714081e-24
ENSG00000215483,-5.589016091179518,0.00017286573313046364
ENSG00000244274,-2.236218528878308,3.8634591975953835e-05
ENSG00000120049,-2.316025865161548,2.3326008339481828e-08
ENSG00000207697,-2.5311250348739542,0.0063133257547989974
ENSG00000152953,-3.8544535745261683,5.299905970876677e-15
ENSG00000085831,-4.504914512883904,2.0179626600670695e-13
ENSG00000165061,-12.648192531222207,2.153577227219985e-08
ENSG00000144354,-3.044452746113396,1.5109451464419243e-38
ENSG00000248671,-3.152496056886791,0.02104815105206827
ENSG00000011258,-3.174777200134462,2.227144477666506e-130
ENSG00000205363,-3.1319480174430945,1.9816054104029805e-08
ENSG00000142347,-2.502167982921346,3.7990032061343035e-05
ENSG00000170615,-4.9104527066924355,0.03193665662937795
ENSG00000197961,-2.6507440635106327,1.5666743529491705e-68
ENSG00000182050,-10.613901837016016,3.3799987424187317e-06
ENSG00000199145,-10.039825699237772,1.2113992268139173e-05
ENSG00000028137,-2.465264184856386,1.0994501447422806e-08
ENSG00000183117,-10.580483883748503,3.7613387719001716e-06
ENSG00000104081,-5.315095774283435,3.75245905997118e-70
ENSG00000138606,-2.955299775310407,2.7111699243503205e-25
ENSG00000149922,-2.7587670209369075,5.944876047204193e-07
ENSG00000185055,-6.277944851320142,1.9610160302384062e-05
ENSG00000122986,-4.373211142417331,4.054329697117184e-13
ENSG00000147894,-2.5825649967731645,9.138579270191326e-22
ENSG00000077684,-2.544141079513063,3.8856866025919257e-125
ENSG00000225330,-2.3504325651714337,0.016473045459996217
ENSG00000185065,-2.0986921685936104,0.0001029750983396101
ENSG00000170745,-3.4972955206877216,1.2059127877421486e-23
ENSG00000213160,-5.082366943545693,4.821282625799411e-40
ENSG00000167434,-5.126060764374229,2.100393244268268e-07
ENSG00000160439,-2.9881523048782994,2.0929433532760502e-41
ENSG00000176387,-8.36591794271217,2.1792392185261506e-28
ENSG00000276916,-2.186631907930843,0.00802247553453811
ENSG00000276672,-2.346763999364446,1.0674974940353327e-09
ENSG00000070159,-11.54823866598974,3.6533837126169976e-07
ENSG00000187122,-6.8790594252667665,2.19798970162207e-06
ENSG00000072832,-11.745678036674168,1.7479668307928555e-43
ENSG00000164050,-2.4149431691283185,7.229741025685068e-45
ENSG00000139988,-7.436513363462705,0.0016967479503951124
ENSG00000104327,-12.758957451436588,1.5925032256347397e-08
ENSG00000248538,-3.0394088063626565,0.02396755380659534
ENSG00000214050,-10.009842602472153,1.2998430751228347e-05
ENSG00000110400,-3.936639982296566,1.0081008889523042e-134
ENSG00000230927,-3.8414556342755564,0.00862416362109745
ENSG00000152926,-2.841569203046659,9.436042777366146e-28
ENSG00000206535,-2.138915764058523,3.6119470945119724e-13
ENSG00000162552,-5.887678812545552,7.815247179778215e-05
ENSG00000203943,-2.458565702877648,0.0006311263895398834
ENSG00000092068,-3.2648074464144567,1.5200083819918218e-34
ENSG00000159212,-9.10106134600722,8.78770156581358e-05
ENSG00000128298,-6.009148326019264,8.260733087395184e-16
ENSG00000103316,-7.4080285429070125,6.38004344113886e-17
ENSG00000120685,-2.0778583020552217,2.6713434387149993e-72
