,log2FoldChange,padj
ENSG00000161638,4.640833012372158,2.9092760511345427e-217
ENSG00000235162,5.255875663827367,1.4105974440068906e-167
ENSG00000258101,3.3691907511577868,0.0018361034101036392
ENSG00000136867,2.8635407031706,3.5410495107803217e-25
ENSG00000148671,9.121682144443001,6.86635908624553e-24
ENSG00000114353,2.1241762048519526,1.33624728148766e-82
ENSG00000168078,2.626341259148534,1.6893441730915012e-13
ENSG00000108797,3.414308450142054,2.5865655550941296e-56
ENSG00000267279,2.8597629055085925,5.887104886831879e-16
ENSG00000230896,2.5560709431938595,2.3143602272381907e-07
ENSG00000113369,2.7631247485073414,6.362334178499408e-40
ENSG00000237352,4.533420002737167,0.04644436134004577
ENSG00000241749,6.299480237254296,7.927849036116236e-20
ENSG00000184178,2.430300880124422,6.774759054526246e-56
ENSG00000259146,3.95633744884062,1.3980652717592067e-09
ENSG00000149571,6.489848553207052,1.429460925481813e-76
ENSG00000197043,3.0712522188674947,5.272179057212174e-159
ENSG00000154654,3.03190998259914,1.1348569560928186e-06
ENSG00000248323,4.077797509953583,0.0037964906007502616
ENSG00000251003,7.701410183800573,0.003725712514704047
ENSG00000234883,3.89860093758826,1.0488783876597898e-06
ENSG00000180509,2.0944596986842057,0.00860523253260241
ENSG00000136542,10.344196527542822,1.1833264875033317e-51
ENSG00000151702,5.833126652831261,3.8320520887395245e-32
ENSG00000164574,3.7993103697208266,1.7055667929588173e-129
ENSG00000166963,6.1765035209953485,1.8501809130907622e-186
ENSG00000132669,6.903231800142038,1.6357953145672773e-142
ENSG00000136044,2.5214259290079193,2.5470884863568035e-44
ENSG00000144821,2.391759244183593,0.0028988514853306776
ENSG00000258289,2.1197536841210645,1.6086233767500792e-35
ENSG00000198363,4.298723121361446,1.5533881965016715e-195
ENSG00000205221,5.487103882683332,1.7754917299927554e-13
ENSG00000184584,8.92301352102214,2.8776780437210794e-61
ENSG00000221817,2.0480992837471095,9.019931129119841e-10
ENSG00000284693,2.1378277359575217,0.0025799085181829233
ENSG00000020577,2.4172505248047464,2.9457265744332095e-33
ENSG00000214548,8.078826597693645,4.514041284310045e-125
ENSG00000139926,5.003060278836316,4.138046156105172e-127
ENSG00000164038,2.5417512602475396,1.2767858241899084e-28
ENSG00000164111,2.6156579280488654,9.91428995396838e-138
ENSG00000132170,4.381780542517441,2.802738670527749e-13
ENSG00000265808,2.78443355895667,1.543676208023563e-71
ENSG00000137573,2.7870589680686906,0.0010544138666562684
ENSG00000082438,3.4072634474836194,1.7368033995882721e-34
ENSG00000115295,10.207305587111687,6.818917426478757e-33
ENSG00000285644,3.69111386037494,0.0008762256158261462
ENSG00000247809,8.810234881532448,0.0006973033514101167
ENSG00000067221,3.5472429760391218,9.12204217679211e-61
ENSG00000277496,7.084926750022326,0.0055210368527938685
ENSG00000167157,3.519261738142581,1.4207667758537534e-06
ENSG00000112773,4.707335360818811,6.28296337627352e-203
ENSG00000163430,2.2777730669271232,6.148595320358169e-66
ENSG00000184384,2.4883255460005023,2.2128835165773087e-61
ENSG00000126368,2.081423437547529,6.264759599813111e-22
ENSG00000268658,3.735131764857935,6.524001445831744e-07
ENSG00000279118,5.15533214113516,1.062012498428042e-12
ENSG00000276547,2.7779715927926367,5.022706450125563e-18
ENSG00000151239,2.801338833534595,1.1734417035990907e-113
ENSG00000196878,4.346825777226829,1.5023960926907095e-47
ENSG00000178209,3.03457767940877,8.444749179973932e-107
ENSG00000165915,2.7755673440024684,1.4379908570065435e-48
ENSG00000166199,2.0475210415046914,9.239933926284942e-19
ENSG00000151876,3.6691040980124403,1.2082578397257487e-14
ENSG00000145817,2.631934103355808,1.3762191492720918e-111
ENSG00000145681,4.94649928184212,3.315634672674477e-05
ENSG00000213406,5.1267280701745,0.031452773039452084
ENSG00000075420,2.1662298397611823,2.3966738478775916e-33
ENSG00000103888,5.879146345885609,2.3831920147255085e-08
ENSG00000180398,2.74152200688751,1.455198347942793e-87
ENSG00000188921,2.610367150911497,8.383807049897249e-21
ENSG00000174307,2.4885788217140945,1.963350726329293e-70
ENSG00000142798,2.134260113436102,8.724609188776489e-31
ENSG00000221963,4.284096850698015,6.379789268186818e-19
ENSG00000227028,3.570911074177785,0.0010407983609622138
ENSG00000141232,2.1764506138142323,6.3350566251318185e-40
ENSG00000223685,2.1026510097085946,0.03100958340065303
ENSG00000243414,3.0289006132307663,3.192638472129346e-05
ENSG00000151388,2.141781845494812,3.766016608063561e-29
ENSG00000145391,4.9983550043364495,1.662813743695474e-142
ENSG00000095321,2.8812127122303086,1.4597064516080633e-65
ENSG00000077420,9.689493370386147,4.164145709056629e-30
ENSG00000120519,2.0427361257390824,7.026668052220593e-16
ENSG00000142627,2.0412676081252954,4.6373233591320855e-39
