,log2FoldChange,padj
ENSG00000114854,-3.5069334796928664,3.664182181467286e-08
ENSG00000074219,-2.4943934586858743,3.222589931132464e-45
ENSG00000134398,-5.22989052241707,5.511186764934207e-06
ENSG00000009724,-4.004074486409249,1.5761518294250343e-05
ENSG00000189180,-2.0012168582337075,5.52279909347593e-33
ENSG00000142621,-3.405327354937334,0.00013326107212997191
ENSG00000048545,-9.715110172608718,2.4298575873474798e-05
ENSG00000173898,-9.676845534952333,2.167908188494154e-118
ENSG00000184363,-2.8250434912056863,2.0167699477621864e-54
ENSG00000130762,-9.631311455089143,2.2025104560963296e-20
ENSG00000207547,-2.001221834515496,0.0014195059256488938
ENSG00000108984,-6.665314585492845,5.4555160550288586e-12
ENSG00000196081,-3.3495964433095797,5.8838814578357774e-34
ENSG00000132639,-6.458198462998557,0.006846590800477031
ENSG00000221066,-3.3623741910276617,0.016647240223104674
ENSG00000110721,-3.105206014441231,1.1338795073981683e-79
ENSG00000168071,-4.695487457809076,4.0875904445851055e-19
ENSG00000136237,-3.9241941809718552,7.430538839385048e-21
ENSG00000165795,-6.953936931025916,1.0194727160567764e-45
ENSG00000166840,-5.415413821726143,6.901675566488436e-20
ENSG00000128203,-2.1037366349343802,9.237282794093842e-12
ENSG00000152413,-3.0446107929627817,6.668128945127629e-21
ENSG00000157150,-3.868932909032259,2.0086574408378807e-10
ENSG00000144668,-8.284901547877041,1.4395801017011338e-21
ENSG00000183049,-3.9587035229380416,1.3637740286327539e-14
ENSG00000172554,-7.925326872711792,1.2835738486544468e-19
ENSG00000236404,-3.1301183980180407,1.001582602814374e-13
ENSG00000228613,-6.012039841240326,8.585747509497051e-08
ENSG00000186603,-6.1570692861818666,2.881372601486352e-58
ENSG00000197321,-4.80378660120215,1.986740792852567e-62
ENSG00000114739,-6.3842983162843145,3.4637763792744115e-219
ENSG00000152779,-6.333168092542885,6.787519163951623e-12
ENSG00000168060,-7.156456273531294,7.49947432717629e-07
ENSG00000197077,-2.217057583466622,3.149843747166651e-07
ENSG00000267882,-2.54053213205205,1.2957817449434589e-05
ENSG00000139287,-2.4531340006005338,0.009312606835420604
ENSG00000175322,-3.752982196010367,1.9191812334264552e-43
ENSG00000271860,-5.258073633143322,0.00043684469315355943
ENSG00000141682,-3.009525613548032,8.695184951739578e-32
ENSG00000139597,-2.5173276397814934,6.234316053739392e-05
ENSG00000087085,-5.321278665320644,8.729144590836667e-16
ENSG00000266777,-2.213058510898594,3.7041380961686163e-06
ENSG00000168671,-10.16008644149033,6.704096369502282e-13
ENSG00000008277,-7.813890058386912,1.006848640584699e-65
ENSG00000197008,-2.7297002611554286,9.054688252519264e-39
ENSG00000146700,-4.423405165123993,1.1601231159802271e-39
ENSG00000168675,-4.873520504275782,1.0408584198679095e-06
ENSG00000245614,-3.967127548450606,1.991178610540228e-09
ENSG00000184669,-8.929025514973599,0.00012846144282756757
ENSG00000171877,-3.2985867526089083,2.0856790748582003e-40
ENSG00000142235,-5.153409693043523,6.090488826751848e-26
ENSG00000185615,-3.3652295802547125,0.016528715775086644
ENSG00000196730,-7.94312417207536,2.749526731992779e-243
ENSG00000117643,-7.660140832703823,2.2068198834058148e-23
ENSG00000198513,-2.4277748707392828,1.1460043841948442e-11
ENSG00000107719,-14.587350952924073,7.612186598659604e-11
ENSG00000107551,-2.514658048122656,3.5774631380799772e-06
ENSG00000254934,-12.122300910337191,1.0722598831827972e-31
ENSG00000168959,-3.1213283898941837,0.003397913484368277
ENSG00000101680,-5.144253142961188,9.377207041942604e-10
ENSG00000168389,-2.117278106213476,2.0722012096011096e-29
ENSG00000103740,-7.994235375311614,2.3189269199764442e-08
ENSG00000006625,-2.198817400274584,2.742908651899541e-26
ENSG00000184792,-3.7531053212544445,3.7966069485815066e-17
ENSG00000166341,-2.058600830619801,5.978758756057235e-15
ENSG00000269416,-3.5553058218303026,0.0043327868544916215
ENSG00000108375,-3.6734607344309547,0.002744376040554245
ENSG00000137261,-6.0098520239074515,6.979955920598805e-08
ENSG00000101004,-3.1197572665437656,3.7558821096773015e-83
ENSG00000078177,-4.374175517391888,2.1009647281893567e-140
ENSG00000111218,-6.017568484349276,0.011524320511503103
ENSG00000248405,-6.190803586132342,0.009484356314399098
ENSG00000150907,-5.791703719846535,1.5302470651628652e-94
ENSG00000158560,-2.5394518153875927,0.0020741535752128535
ENSG00000174721,-7.675568663859189,4.536804112351672e-190
ENSG00000166289,-2.061514302473965,2.3710838474794957e-12
ENSG00000137819,-2.26211909267958,9.833871498017689e-09
ENSG00000204531,-11.499865398789069,2.3066261253111545e-191
ENSG00000177853,-2.1337909084119238,8.659162020853536e-50
ENSG00000064225,-5.956413218481309,1.8271735982095893e-18
ENSG00000183638,-2.500759229741796,0.023933824362111656
ENSG00000100626,-4.546606170373226,1.7580831035334772e-27
ENSG00000197329,-3.533738997080974,1.12517271609793e-31
ENSG00000110786,-11.48839673453131,4.3348789891428514e-07
ENSG00000072071,-5.231458898463634,6.712091462300151e-153
ENSG00000215045,-6.443717489715912,6.243946148278181e-09
ENSG00000147465,-4.498166227243081,5.8066247326627335e-12
ENSG00000265800,-2.3711911388332263,0.0002293025941905128
ENSG00000140090,-7.356670119064265,0.0019194668312478545
ENSG00000151575,-2.6951427340718093,1.94496403134558e-15
ENSG00000227583,-2.9340624054146063,0.00293759930858127
ENSG00000254560,-5.375308445129267,2.581013913347358e-06
ENSG00000131480,-2.2510949828648448,4.980725458520465e-10
ENSG00000099194,-5.156610584992368,3.114310630530915e-273
ENSG00000171517,-3.637859403454321,1.5709552370615768e-05
ENSG00000198521,-3.3025403455207862,6.065834527035611e-100
