,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6,log2FoldChange,padj
ENSG00000276071,0.041028637,5.4722223,small,large,-3.634557182699208,2.931399629454051e-05
ENSG00000170684,1.9095988,6.155276,mid,large,-3.076372699921037,1.0810995066096277e-15
ENSG00000215417,2.9052613,6.508208,mid,large,-4.833905820926096,6.479623703173671e-49
ENSG00000168060,3.811314,10.038618,mid,large,-7.156456273531294,7.49947432717629e-07
ENSG00000128203,3.8296258,9.286276,mid,large,-2.1037366349343802,9.237282794093842e-12
ENSG00000185737,1.6499661,15.323159,small,large,-10.422098576862641,5.246857338155299e-06
ENSG00000255236,0.26654702,16.02047,small,large,-3.043299454042532,0.023758118274933765
ENSG00000171105,0.5061957,10.530545,small,large,-3.036493553736355,1.4678382321307049e-18
ENSG00000283403,2.2269347,5.689797,mid,large,-8.194641445080284,0.0004720699149236727
ENSG00000124171,0.6193617,6.726425,small,large,-6.19815358052701,7.935917052829629e-117
ENSG00000139146,0.31948617,14.118911,small,large,-4.4502868660900425,4.757345488573407e-100
ENSG00000101198,0.66197115,10.379655,small,large,-6.987620587568382,1.0104731242645228e-10
ENSG00000187595,3.144444,6.166521,mid,large,-9.416638481355664,4.857869699198438e-05
ENSG00000140557,2.72481,21.408604,mid,large,-6.406562184525889,2.663730578523523e-12
ENSG00000258603,3.3762882,5.6771674,mid,large,-4.4993856943678665,0.002623133306354255
ENSG00000141447,0.31387648,10.747157,small,large,-2.312329072981224,7.215228604599094e-15
ENSG00000148948,0.7620043,20.988195,small,large,-7.343691738241759,0.0019720222235224062
ENSG00000166831,0.7703026,9.097719,small,large,-10.235034664517174,5.160388150855676e-118
ENSG00000142065,0.029506486,5.5515747,small,large,-2.0073405548828966,3.5816793900224165e-27
ENSG00000104112,0.32920688,9.167008,small,large,-14.31813531527574,1.7702880448446577e-10
ENSG00000180035,0.23694874,6.6249905,small,large,-2.0023295673266546,1.530835321577282e-38
ENSG00000111319,5.088983,10.5179405,mid,large,-10.143150970909922,2.8782084526859827e-61
ENSG00000229955,2.4341154,10.850103,mid,large,-3.8072678260900243,0.00022714346913447963
ENSG00000139890,1.7385734,5.624085,mid,large,-2.3257742175917135,0.0008625980165865971
ENSG00000275902,1.624216,9.866602,mid,large,-2.311904767658774,0.009361092554277807
ENSG00000174292,3.5844965,7.448958,mid,large,-3.6565648313532346,1.5146312766382943e-26
ENSG00000183117,2.5621367,21.5766,small,large,-10.580483883748503,3.7613387719001716e-06
ENSG00000276672,4.9605837,9.8374815,mid,large,-2.346763999364446,1.0674974940353327e-09
ENSG00000134758,0.24747081,18.148832,small,large,-2.32651191622212,2.757053107162977e-50
ENSG00000176920,0.2808217,6.838508,small,large,-7.6692177272144315,9.330669291448909e-08
ENSG00000276136,2.2465618,10.798016,small,large,-2.342267719682676,0.0032717465597702786
ENSG00000128849,0.28462714,8.983064,small,large,-11.627839863529172,1.4333538812176946e-68
ENSG00000196405,4.1753874,5.82441,mid,large,-3.7153438276241046,7.449278068005724e-20
ENSG00000131941,0.2900956,14.439073,small,large,-2.403968481250707,1.7028138718823036e-22
ENSG00000234911,0.3014046,6.5869317,small,large,-2.4847848879805894,7.031664158342044e-07
ENSG00000260648,2.6691206,5.767421,mid,large,-3.0874017590547562,0.0037671438088195575
ENSG00000258904,1.642538,5.938699,mid,large,-2.076695743115126,0.005404842518656808
ENSG00000234899,2.5883164,9.694998,mid,large,-4.762644491432755,0.03491069944467052
ENSG00000196557,2.4249854,11.942291,mid,large,-9.319251932216526,1.882148479110607e-82
ENSG00000072818,1.220249,6.1679006,mid,large,-4.7986385711544255,5.430440275620743e-82
ENSG00000084453,5.417685,26.935715,mid,large,-7.82504674546384,4.854220669574969e-08
ENSG00000246627,2.5401013,10.909723,small,large,-6.89314078811953,0.003838747757932014
ENSG00000205268,0.56518567,23.519909,small,large,-3.4583464117460925,8.939088400818662e-132
ENSG00000100146,1.6185514,6.9235034,mid,large,-9.876247510932046,1.7440087339226484e-05
ENSG00000125850,1.3208477,10.980509,mid,large,-10.975546904886627,1.465231933933217e-06
ENSG00000184949,3.7593832,7.1862836,mid,large,-2.021903619097244,4.1240883891505695e-09
ENSG00000170579,0.15863845,43.793926,small,large,-4.343292278328144,3.381281236291618e-23
ENSG00000197020,0.014672543,9.419576,small,large,-2.5767765203670394,1.1136414408692005e-42
ENSG00000279744,1.2109188,9.774149,mid,large,-2.3122285793782535,0.00011778193596687156
ENSG00000074181,0.29448634,8.298509,small,large,-2.947774783012887,0.0004927101658160134
ENSG00000134769,0.16758735,19.41027,small,large,-4.627178328363793,1.656242854060144e-67
ENSG00000141524,0.71568525,7.1801515,small,large,-8.754286757644307,2.7404248930700927e-65
ENSG00000092200,2.6865134,11.808103,mid,large,-6.458561416142294,0.007061771425090768
ENSG00000242715,0.45963588,6.1137114,small,large,-3.977260044701873,2.938242841890946e-38
ENSG00000167281,0.59229815,17.454493,small,large,-9.64141501293311,1.0090772471372732e-11
ENSG00000069188,1.035772,30.42565,small,large,-8.563098539952126,4.529417252527486e-23
ENSG00000277270,0.21222809,18.794924,small,large,-5.297723208890205,0.0231864697236346
ENSG00000244627,0.2943771,12.68204,small,large,-4.039552855922247,3.197143163533889e-29
ENSG00000127578,1.2012154,27.120247,mid,large,-5.740372720524134,9.245525813429464e-31
ENSG00000105767,1.6720572,6.24772,mid,large,-4.779694269120305,6.118578557412809e-66
ENSG00000183018,1.7001066,14.566472,mid,large,-5.853290625029581,7.674543328303826e-05
ENSG00000263818,0.27967483,11.757255,small,large,-3.0668897462623703,0.003923544353904853
ENSG00000155974,11.744504,32.343372,mid,large,-7.470615776945813,1.777778220287124e-36
ENSG00000090661,0.8040512,8.850387,small,large,-11.62503116039893,1.7513120534360575e-16
ENSG00000233098,1.8791742,10.9274,mid,large,-5.975515331859636,4.153273536976954e-37
ENSG00000140470,0.59534866,17.606256,small,large,-9.017287456002858,0.0001005839019847086
ENSG00000100979,3.45155,7.547561,mid,large,-3.2528215071284783,3.078948829222238e-73
ENSG00000109084,0.29109263,8.167147,small,large,-2.0816100211485344,1.4364777826414685e-20
