,log2FoldChange,padj
ENSG00000164038,2.5417512602475396,1.2767858241899084e-28
ENSG00000285644,3.69111386037494,0.0008762256158261462
ENSG00000137573,2.7870589680686906,0.0010544138666562684
ENSG00000277496,7.084926750022326,0.0055210368527938685
ENSG00000132170,4.381780542517441,2.802738670527749e-13
ENSG00000067221,3.5472429760391218,9.12204217679211e-61
ENSG00000268658,3.735131764857935,6.524001445831744e-07
ENSG00000184384,2.4883255460005023,2.2128835165773087e-61
ENSG00000138131,7.658365583522793,3.835549481009957e-62
ENSG00000021762,2.6793575139479597,7.278809759713512e-63
ENSG00000229951,6.069889074858602,0.014722851530005611
ENSG00000135046,7.784393899788881,0.0
ENSG00000235927,2.7446816443027466,7.347672198714386e-10
ENSG00000270820,2.2939801018471164,7.819653281224072e-07
ENSG00000150051,6.543018471494414,1.8283369634534847e-62
ENSG00000134072,2.8169541136068315,1.5665037590934054e-27
ENSG00000020181,4.649308646264076,8.236547016018677e-184
ENSG00000129009,5.226736825108665,5.591489363620018e-12
ENSG00000136240,2.6550557277494313,1.2852855992118593e-92
ENSG00000235609,2.966418043200759,4.567597077539792e-08
ENSG00000115295,10.207305587111687,6.818917426478757e-33
ENSG00000126368,2.081423437547529,6.264759599813111e-22
ENSG00000247809,8.810234881532448,0.0006973033514101167
ENSG00000103066,2.6432075687562784,2.7883075485097412e-65
ENSG00000116675,2.4830124322043323,9.40124018323554e-42
ENSG00000112773,4.707335360818811,6.28296337627352e-203
ENSG00000182950,2.469032717483837,0.03527458744129421
ENSG00000145022,3.396154765751397,1.093209970520358e-67
ENSG00000258727,2.701370663613906,8.569624840005718e-11
ENSG00000154736,3.4455929983474634,9.843424132302249e-18
ENSG00000186470,2.1725792140535916,7.739811207999535e-15
ENSG00000066322,2.9210266752540894,9.453079955722696e-88
ENSG00000162434,2.6477505599595808,4.005010232463946e-119
ENSG00000254685,2.2510238722714084,1.7112676819334193e-16
ENSG00000280211,2.289648421158693,0.004478618106780291
ENSG00000117298,2.228988286558002,2.1012284389199604e-70
ENSG00000080823,3.6480101662940925,3.181824532142812e-27
ENSG00000165046,2.936203884765274,8.632664456646427e-23
ENSG00000206190,4.210093348152511,4.5232255488834094e-117
ENSG00000154710,2.12962403074693,7.996706390822955e-12
