,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6,log2FoldChange,padj
ENSG00000138131,2.4275618,1.7796973,mid,small,7.658365583522793,3.835549481009957e-62
ENSG00000229951,10.255237,0.48387292,large,small,6.069889074858602,0.014722851530005611
ENSG00000020181,2.1196818,1.276347,mid,small,4.649308646264076,8.236547016018677e-184
ENSG00000129009,5.8037987,1.7227502,large,small,5.226736825108665,5.591489363620018e-12
ENSG00000235609,3.6249154,0.9475288,mid,small,2.966418043200759,4.567597077539792e-08
ENSG00000115295,19.800417,2.671197,large,small,10.207305587111687,6.818917426478757e-33
ENSG00000126368,1.2593026,1.3975194,mid,small,2.081423437547529,6.264759599813111e-22
ENSG00000247809,8.781831,1.6515216,large,small,8.810234881532448,0.0006973033514101167
ENSG00000112773,2.9101233,3.3217406,mid,small,4.707335360818811,6.28296337627352e-203
ENSG00000145022,2.3291721,2.7320843,mid,small,3.396154765751397,1.093209970520358e-67
ENSG00000171055,4.273039,1.2423261,mid,small,3.25912003376096,9.8579553720012e-121
ENSG00000141753,1.7390898,0.68416524,mid,small,3.140365286464274,3.49023003820957e-71
ENSG00000140285,4.1815577,0.3334134,mid,small,8.69985932155854,1.0210360252906326e-10
ENSG00000165092,4.3675327,0.7347925,mid,small,9.060223725512625,4.90592894839716e-27
ENSG00000170004,7.5764866,2.510648,large,small,3.3193183858491726,9.350176804375352e-91
ENSG00000260439,1.5531723,0.22895178,mid,small,3.629591891408688,0.008229439763348943
ENSG00000174132,48.27664,2.3803308,large,small,2.408245034702606,1.8742271981356406e-20
ENSG00000187720,1.7619846,1.4512608,mid,small,3.0649862235374306,4.926722687675552e-98
ENSG00000167617,4.581381,2.277138,large,small,4.822390858569396,1.3098671783541911e-55
ENSG00000107175,1.4914992,1.6300137,mid,small,2.650329774087751,1.20966194697281e-78
ENSG00000174306,7.2991405,0.3686668,large,small,3.7002222028602723,1.882202240548756e-152
ENSG00000124201,2.648431,2.5135953,mid,small,2.187341692875972,6.772288656867777e-62
ENSG00000168306,3.7975247,0.9105339,mid,small,2.8230490707869724,7.803142673707927e-25
ENSG00000120658,3.2627335,0.8507107,mid,small,2.643520303639265,2.48220180039494e-05
ENSG00000112208,2.0562696,1.818203,mid,small,2.310421523690175,2.654329951819457e-63
ENSG00000185022,4.660734,0.71898866,large,small,2.2025806308054916,5.995902117886649e-28
ENSG00000245067,19.219954,2.5407276,large,small,7.084278993306676,0.005535919320348452
ENSG00000188554,8.400732,1.5187413,large,small,2.2086149287368593,7.939306622739273e-57
ENSG00000168404,1.5498828,2.1908133,mid,small,3.19047204593523,2.1583411056288378e-36
ENSG00000168874,8.504302,2.3409646,large,small,6.706273724780215,1.5917114799373082e-81
ENSG00000222009,2.2549486,0.8026363,mid,small,4.356772973930515,1.4687265258257185e-38
ENSG00000136928,9.818508,1.1672946,large,small,2.3942386651813568,1.7328401117002216e-07
ENSG00000104324,11.252306,0.18042439,large,small,4.288745667775437,5.6304563497372195e-68
ENSG00000067798,21.924946,0.5297625,large,small,5.112916752572037,3.246983076310202e-140
ENSG00000188641,4.08803,0.85922956,large,small,7.039734613742558,9.492699006124319e-82
ENSG00000087253,2.0961673,1.2072531,mid,small,3.569552476545331,1.2287438697653128e-62
ENSG00000144810,2.793086,2.022009,mid,small,6.012603143549759,1.0679540413342665e-42
ENSG00000113805,50.700462,1.4472826,large,small,6.620081150609279,5.318965449288205e-57
ENSG00000150093,2.820709,0.8453028,mid,small,2.7420967777658585,4.955765518196206e-139
ENSG00000272142,8.713974,0.7258895,large,small,2.1526404314625327,6.757171086613382e-08
ENSG00000237773,1.9572113,0.5584231,mid,small,2.241102659654213,0.004642917906312754
ENSG00000185340,4.710302,0.8094534,large,small,2.5979969209993854,1.816799212985182e-67
ENSG00000141756,2.0691845,0.9130814,mid,small,2.069667511143794,3.1193467678321382e-49
ENSG00000163453,19.16241,2.4400694,large,small,10.84870977364095,1.364285078069353e-126
ENSG00000213699,1.9571277,0.32913998,mid,small,2.109217316881606,7.935426657920133e-45
ENSG00000083444,1.5671886,1.6359437,mid,small,3.317130886142813,1.618448278210081e-90
ENSG00000182095,7.621758,1.9047055,large,small,4.714776841215016,5.344677709861694e-209
ENSG00000144746,5.6348195,1.2204555,large,small,2.4555151807157447,1.5852005268172746e-63
ENSG00000185924,1.2624102,0.4898804,mid,small,3.0872861972032863,2.0477881993065968e-05
ENSG00000110427,3.5615482,0.20577016,mid,small,4.785814635087943,2.921006472318075e-177
ENSG00000074527,24.87521,1.3130323,large,small,6.3687311949773076,1.5171497609829356e-83
ENSG00000078401,1.9077338,1.7166835,mid,small,2.8517466262786892,1.972774088282619e-10
