,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number,CellType
0,Extracellular Matrix Organization,2.9250935240306973e-07,0.00026940111356322724,23/300,57.06674759378024,CAST;ITGB1;APP;TGFB3;ITGA3;COL11A1;ITGA2;NTN4;LOXL4;PRKCA;HSPG2;NID2;ASPN;BMP4;SCUBE3;MFAP4;COL6A2;COL6A1;COL8A2;ADAM9;ITGA5;CD44;CTSB,0.051685393258426963,23,HFFC6
1,GPER1 Signaling,5.9049717179651e-06,0.0027192394761229,8/45,116.26751185300247,ITGB1;GPER1;GNB3;ITGA5;GNG12;ADCY7;PRKACB;GNG11,0.017977528089887642,8,HFFC6
2,Opioid Signalling,3.1407891149305525e-05,0.0096422225828367,10/90,58.02459504166526,PPP3CA;PPP2CB;PPP3CC;PDE4B;GNB3;PRKCA;GNG12;PRKACB;ADCY7;GNG11,0.02247191011235955,10,HFFC6
3,Integrin Cell Surface Interactions,0.00011375662442763768,0.0261924627744635,9/85,48.04677547423861,ITGB1;ITGA3;ITGA2;COL6A2;COL6A1;COL8A2;ITGA5;HSPG2;CD44,0.020224719101123594,9,HFFC6
4,DARPP-32 Events,0.00015975843922071787,0.0294275045044562,5/24,102.14158819638372,PPP2CB;PPP3CA;PPP3CC;PDE4B;PRKACB,0.011235955056179775,5,HFFC6
5,Cellular Responses to Mechanical Stimuli,0.00022730628364187952,0.0299070124620244,9/93,40.140813502030255,ITGB1;PIEZO1;GNB3;ITGA5;GNG12;PRKACB;ADCY7;GNG11;VCL,0.020224719101123594,9,HFFC6
6,Response of Endothelial Cells to Shear Stress,0.00022730628364187952,0.0299070124620244,9/93,40.140813502030255,ITGB1;PIEZO1;GNB3;ITGA5;GNG12;PRKACB;ADCY7;GNG11;VCL,0.020224719101123594,9,HFFC6
7,ECM Proteoglycans,0.00028320503340454185,0.0326039794706978,8/76,42.85796670767024,ITGB1;APP;TGFB3;ITGA2;COL6A2;COL6A1;HSPG2;ASPN,0.017977528089887642,8,HFFC6
8,Elastic Fibre Formation,0.00040456007795241226,0.0407360901515022,6/44,54.84258497463853,ITGB1;BMP4;MFAP4;TGFB3;LOXL4;ITGA5,0.01348314606741573,6,HFFC6
9,Laminin Interactions,0.0004799322042878951,0.0407360901515022,5/30,67.83892600940655,ITGB1;ITGA3;ITGA2;NID2;HSPG2,0.011235955056179775,5,HFFC6
10,Ca2+ Pathway,0.00048653310712977704,0.0407360901515022,7/63,42.44930968347072,PPP3CA;TCF7L1;GNB3;PRKCA;GNG12;GNG11;PRKG1,0.015730337078651686,7,HFFC6
11,Role of ABL in ROBO-SLIT Signaling,0.0005637391960615855,0.0432669832977266,3/8,198.53207668861904,SLIT2;CAP2;ROBO1,0.006741573033707865,3,HFFC6
12,G Alpha (Z) Signalling Events,0.0006525884707257452,0.0462333831952624,6/48,46.57316766104677,PRKCE;GNB3;PRKCA;GNG12;ADCY7;GNG11,0.01348314606741573,6,HFFC6
