,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6,log2FoldChange,padj,min_dist_GM12878,quartile_cat_GM12878
ENSG00000214548,13.031277,4.6237297,large,mid,8.078826597693645,4.514041284310045e-125,,
ENSG00000139926,5.9891624,0.21273012,large,small,5.003060278836316,4.138046156105172e-127,,
ENSG00000221963,5.049526,4.5402384,large,mid,4.284096850698015,6.379789268186818e-19,,
ENSG00000077420,15.104347,9.89886,large,mid,9.689493370386147,4.164145709056629e-30,,
ENSG00000080573,5.5495176,2.1087546,large,mid,2.1368239037754657,2.3060485956615757e-07,,
ENSG00000105520,4.904041,5.18035,large,mid,3.250074083871073,3.5553357178597426e-58,,
ENSG00000133110,12.507752,0.71844465,large,small,7.534813376603439,1.1473180746700597e-11,,
ENSG00000180628,17.618807,0.26022747,large,small,3.9908297098965124,8.401778477354115e-121,,
ENSG00000128284,6.363685,3.8188224,large,mid,5.169890370954515,0.00036537984999869766,,
ENSG00000062725,8.8725815,5.5062804,large,mid,2.060934245854604,1.18776723379583e-51,,
ENSG00000166825,7.738493,3.905551,large,mid,9.117684809830992,1.6606489620501823e-237,,
ENSG00000149090,8.945833,2.8652017,large,mid,6.0420844144818115,1.3178061742780716e-184,,
ENSG00000121281,10.436963,1.7703987,large,small,3.4762335469612147,4.919529412072735e-72,,
ENSG00000198053,4.6470695,1.3876586,large,small,3.9906611264319287,1.1300866342621625e-76,,
ENSG00000149256,7.9937806,0.9238671,large,small,3.0860480692566807,8.089475911902522e-23,,
ENSG00000198542,31.729753,0.4160159,large,small,12.70715805583689,2.1056715419305563e-18,,
ENSG00000099940,9.251971,3.4255161,large,mid,2.0022844955527543,6.545290141418801e-48,,
ENSG00000168807,9.459156,4.035937,large,mid,2.020414956281861,4.130060049434435e-35,,
ENSG00000152936,32.26502,5.2931795,large,mid,5.123115197116598,0.03154701457038611,,
ENSG00000188554,8.400732,0.38701782,large,small,2.2086149287368593,7.939306622739273e-57,,
ENSG00000133816,8.830195,1.5204837,large,small,6.807246819036051,0.0,,
ENSG00000130513,4.6873436,0.5407482,large,small,2.9491625916619864,7.045797014518499e-20,,
ENSG00000226800,3.2832446,4.4374514,large,mid,3.6248550952380985,7.18376623580826e-07,,
ENSG00000213977,4.8812766,4.102048,large,mid,2.31756545718341,6.298967402921015e-40,,
ENSG00000127863,6.513107,0.36565968,large,small,3.9776222286135914,8.413147381491929e-40,,
ENSG00000026508,15.368261,1.5025597,large,small,8.005070843804157,0.0,,
