,min_dist_other,min_dist_self,quartile_cat_other,quartile_cat_self,contrasted_with
ENSG00000103067,3.5223596,4.2803364,large,mid,H1ESC
ENSG00000214548,13.031277,4.6237297,large,mid,H1ESC
ENSG00000139926,5.9891624,0.21273012,large,small,H1ESC
ENSG00000151150,9.02423,9.536592,large,mid,H1ESC
ENSG00000138944,5.352847,0.7416144,large,small,H1ESC
ENSG00000267327,18.239761,4.3260818,large,mid,H1ESC
ENSG00000184672,44.244526,10.506528,large,mid,H1ESC
ENSG00000221963,5.049526,4.5402384,large,mid,H1ESC
ENSG00000124440,3.0086846,3.0045145,large,mid,H1ESC
ENSG00000077420,15.104347,9.89886,large,mid,H1ESC
ENSG00000080573,5.5495176,2.1087546,large,mid,H1ESC
ENSG00000105520,4.904041,5.18035,large,mid,H1ESC
ENSG00000133110,12.507752,0.71844465,large,small,H1ESC
ENSG00000180628,17.618807,0.26022747,large,small,H1ESC
ENSG00000128284,6.363685,3.8188224,large,mid,H1ESC
ENSG00000062725,8.8725815,5.5062804,large,mid,H1ESC
ENSG00000166825,7.738493,3.905551,large,mid,H1ESC
ENSG00000149090,8.945833,2.8652017,large,mid,H1ESC
ENSG00000121281,10.436963,1.7703987,large,small,H1ESC
ENSG00000198053,4.6470695,1.3876586,large,small,H1ESC
ENSG00000274925,3.998954,0.9948264,large,small,H1ESC
ENSG00000104059,9.013466,3.9312897,large,mid,H1ESC
ENSG00000160229,3.6962926,2.7923799,large,mid,H1ESC
ENSG00000196139,13.273273,0.5115398,large,small,H1ESC
ENSG00000171649,5.1233535,1.3769935,large,small,H1ESC
ENSG00000256229,8.271905,0.62756413,large,small,H1ESC
ENSG00000149256,7.9937806,0.9238671,large,small,H1ESC
ENSG00000198208,4.5337276,1.9315311,large,mid,H1ESC
ENSG00000215483,14.91074,0.95066285,large,small,H1ESC
ENSG00000182050,16.439531,1.9559706,large,small,H1ESC
ENSG00000198542,31.729753,0.4160159,large,small,H1ESC
ENSG00000099940,9.251971,3.4255161,large,mid,H1ESC
ENSG00000160439,3.52171,1.2141602,large,small,H1ESC
ENSG00000168807,9.459156,4.035937,large,mid,H1ESC
ENSG00000276916,5.9743605,0.254675,large,small,H1ESC
ENSG00000152936,32.26502,5.2931795,large,mid,H1ESC
ENSG00000188554,8.400732,0.38701782,large,small,H1ESC
ENSG00000128298,4.1331267,3.5862832,large,mid,H1ESC
ENSG00000133816,8.830195,1.5204837,large,small,H1ESC
ENSG00000130513,4.6873436,0.5407482,large,small,H1ESC
ENSG00000226800,3.2832446,4.4374514,large,mid,H1ESC
ENSG00000213977,4.8812766,4.102048,large,mid,H1ESC
ENSG00000149927,3.5712829,5.269381,large,mid,H1ESC
ENSG00000223704,5.579099,4.4219036,large,mid,H1ESC
ENSG00000100105,5.445868,0.701756,large,small,H1ESC
ENSG00000121101,5.703223,6.106097,large,mid,H1ESC
ENSG00000127863,6.513107,0.36565968,large,small,H1ESC
ENSG00000026508,15.368261,1.5025597,large,small,H1ESC
ENSG00000172264,22.18602,2.288127,large,mid,H1ESC
ENSG00000109079,4.0557876,3.8183036,large,mid,H1ESC
