,log2FoldChange,padj
ENSG00000197989,2.1268928103142635,3.3022029293394874e-32
ENSG00000059377,6.2268310425878655,2.398909908327008e-51
ENSG00000160602,2.3998985366203103,6.87126872950751e-21
ENSG00000111732,12.05986914756334,1.597625242606635e-07
ENSG00000164430,2.2030132988066513,1.511554821224918e-29
ENSG00000079435,2.3113944146672383,4.806522745278528e-24
ENSG00000148482,7.152463581568155,0.003945731295970544
ENSG00000134460,10.594326814132272,5.5480391248946295e-06
ENSG00000245213,2.113052980076396,8.944506515257655e-06
ENSG00000172578,15.094236685595664,2.3857814443185876e-11
ENSG00000153898,5.423702245945742,1.7215533295064353e-96
ENSG00000159110,2.753081022777557,3.752327912824374e-60
ENSG00000234936,2.5397732735700953,0.002038275084048133
ENSG00000141068,4.0489621895502905,4.9117101478393894e-40
ENSG00000262801,6.077058728251733,0.016218150637397073
ENSG00000179958,2.2592410859220435,4.283974460794341e-30
ENSG00000100784,3.4411584307091534,7.051688503884603e-26
ENSG00000147642,4.684601945131149,6.886665820983172e-28
ENSG00000143110,3.7942467716987687,1.9238721486000166e-06
ENSG00000180233,2.481438553406083,3.517761690029138e-30
ENSG00000235989,8.361063631118515,0.0005329743576679971
ENSG00000169031,8.558763471569469,5.48457884224874e-16
ENSG00000170684,5.03886465059329,3.971963242062747e-62
ENSG00000077150,2.396288954645135,3.304468984042921e-78
ENSG00000096060,2.896701637796939,8.58903433103381e-48
ENSG00000248592,2.6721545505201747,0.00044362196700355676
ENSG00000069424,3.3291434617727,4.776532758476841e-58
ENSG00000128271,3.2328050418405163,0.0002746936787640242
ENSG00000110777,16.628563067905347,6.459305450395555e-14
ENSG00000245534,2.9437827864378456,0.00036086530113232424
ENSG00000142347,7.724746347238703,8.42438908854379e-110
ENSG00000138821,5.199800201693987,8.691408809970815e-09
ENSG00000138061,8.150226788626876,9.624987171386815e-27
ENSG00000091106,6.776527857054084,0.006786663724485818
ENSG00000137880,4.1357847201461055,2.007219507463441e-46
ENSG00000186088,3.0678611878723423,7.981942944556081e-38
ENSG00000184451,3.92474496114983,3.989008085651966e-49
ENSG00000266088,3.6291029647426707,2.2347326514413312e-11
ENSG00000264745,7.777667384220629,9.111398714628024e-08
ENSG00000183484,8.899134172218645,1.5833011057986109e-74
ENSG00000134470,2.502982406726112,2.838222911126573e-15
ENSG00000137225,3.0645401229843787,0.014746755589984057
ENSG00000244627,3.0601302552402347,6.964962303780294e-14
ENSG00000205593,3.0029193018551577,3.311599983779438e-24
ENSG00000250069,2.6632077215285808,0.0027323940066053005
ENSG00000235823,3.87938145130108,1.189954517732275e-26
ENSG00000111885,5.762245624438189,8.077546935876514e-51
ENSG00000137135,2.1502450510236732,2.2937993943545177e-07
ENSG00000162511,10.186624454275602,0.0
ENSG00000255081,3.0281940257699147,0.013635374453139025
ENSG00000280069,2.3440004717517526,2.8880353078823244e-07
ENSG00000104490,2.2033123252961704,0.001627837180385974
ENSG00000147804,6.354431092190038,2.8745116700946118e-27
ENSG00000213462,2.0516359492233995,1.70354275451735e-16
ENSG00000168389,2.446122642936071,3.9816541735451587e-41
ENSG00000179603,4.941337575282605,0.04703966357841459
ENSG00000236213,2.5189515954705355,0.03247479798993668
ENSG00000184060,5.867334026676599,6.43312624624637e-35
ENSG00000265625,2.394288836402641,0.004551154585232577
ENSG00000256453,2.0069093867351153,0.0003330611868993103
ENSG00000182054,3.052339411085172,1.6281256994685924e-98
ENSG00000010310,4.638397539095425,2.2719558451774983e-52
ENSG00000267257,9.946997130941538,3.2423843538066257e-12
ENSG00000221887,8.863917089263524,4.125578882814111e-17
ENSG00000126264,2.9893820052258038,1.97651143676797e-17
ENSG00000108576,11.846657957455314,2.7587299851317016e-07
ENSG00000235560,3.1976894996797838,2.240038907450053e-09
ENSG00000152495,3.309644072464351,8.548708682907392e-103
ENSG00000247363,2.8917455882962537,0.00041291146039823995
ENSG00000078177,2.7945649557549594,1.234049034381404e-50
ENSG00000106484,2.67688256933446,0.01289214513267807
ENSG00000143869,2.0990295585645082,0.04508087505474543
ENSG00000263680,3.8866842250336364,0.0005879316831077666
ENSG00000125910,13.203483414103177,7.263613446134373e-09
ENSG00000275481,2.6791057090968478,2.671530026332362e-07
ENSG00000175463,12.032270190673723,2.2859338374342495e-17
ENSG00000186603,6.414602869269352,2.0066402668283792e-70
ENSG00000183091,2.6696515905592784,0.015262044192741945
ENSG00000005844,16.860657701402047,4.674595591976401e-14
ENSG00000211879,3.9534707278194547,0.010834984801203689
ENSG00000185015,2.2563062840056136,1.3457999894712418e-05
ENSG00000133687,6.060567572050356,7.71226155349613e-08
ENSG00000146232,3.444085263454147,7.567713858359168e-47
ENSG00000157303,7.522799640075969,1.804134239264003e-09
ENSG00000058866,5.67557535601423,5.823301992560122e-27
ENSG00000256448,2.9341750367916775,0.002302953987877989
ENSG00000113263,8.793430678082476,0.00024222772333393997
ENSG00000140009,8.981416159707114,0.00016639889948219934
ENSG00000101017,5.286754165505941,4.5575668872665174e-10
ENSG00000112320,2.625681657826102,1.7353690925895484e-05
ENSG00000261360,3.3802558304320556,2.569679809701184e-07
ENSG00000259953,3.6603888739582944,4.2197329207077265e-22
ENSG00000074966,5.813174146490068,3.1215264972631866e-07
ENSG00000260805,2.4349525192586468,0.007829488020481393
ENSG00000186480,3.5485962893437413,3.893652513802584e-51
ENSG00000250802,2.003003812648786,0.000674227682746693
ENSG00000254325,2.3942286015966596,0.003979718114181344
