,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878,log2FoldChange,padj
ENSG00000111732,14.399245,1.2324017,large,small,12.05986914756334,1.597625242606635e-07
ENSG00000164430,14.163356,1.3087975,mid,small,2.2030132988066513,1.511554821224918e-29
ENSG00000153898,6.655487,0.712531,mid,small,5.423702245945742,1.7215533295064353e-96
ENSG00000100784,12.627216,0.42172423,large,small,3.4411584307091534,7.051688503884603e-26
ENSG00000235989,3.3698547,0.7838925,mid,small,8.361063631118515,0.0005329743576679971
ENSG00000248592,9.83298,2.6174417,mid,small,2.6721545505201747,0.00044362196700355676
ENSG00000138821,9.420963,0.47970307,mid,small,5.199800201693987,8.691408809970815e-09
ENSG00000183484,8.445961,0.8377031,large,small,8.899134172218645,1.5833011057986109e-74
ENSG00000134470,7.304663,0.51265025,mid,small,2.502982406726112,2.838222911126573e-15
ENSG00000244627,12.68204,0.8926625,large,small,3.0601302552402347,6.964962303780294e-14
ENSG00000205593,3.8359058,0.20990154,mid,small,3.0029193018551577,3.311599983779438e-24
ENSG00000255081,2.8368435,1.4176018,mid,small,3.0281940257699147,0.013635374453139025
ENSG00000104490,12.752144,0.3897091,mid,small,2.2033123252961704,0.001627837180385974
ENSG00000213462,23.084848,0.25658435,mid,small,2.0516359492233995,1.70354275451735e-16
ENSG00000168389,5.6746254,0.43382537,mid,small,2.446122642936071,3.9816541735451587e-41
ENSG00000010310,5.99254,0.6069721,large,small,4.638397539095425,2.2719558451774983e-52
ENSG00000221887,6.886558,0.5472144,mid,small,8.863917089263524,4.125578882814111e-17
ENSG00000108576,16.464767,0.15082636,large,small,11.846657957455314,2.7587299851317016e-07
ENSG00000125910,2.4056444,0.40467155,mid,small,13.203483414103177,7.263613446134373e-09
ENSG00000005844,7.9470086,0.62423563,large,small,16.860657701402047,4.674595591976401e-14
ENSG00000185015,9.64839,0.68575835,mid,small,2.2563062840056136,1.3457999894712418e-05
ENSG00000157303,13.238721,1.3444688,mid,small,7.522799640075969,1.804134239264003e-09
ENSG00000101017,4.9814644,0.5828547,mid,small,5.286754165505941,4.5575668872665174e-10
ENSG00000261360,8.007543,1.2832768,mid,small,3.3802558304320556,2.569679809701184e-07
ENSG00000254325,6.113469,0.38642812,mid,small,2.3942286015966596,0.003979718114181344
ENSG00000085514,7.6048665,1.3301762,mid,small,6.156671018638422,4.087338170843874e-14
ENSG00000139193,5.38887,0.22190714,mid,small,9.185591447019933,1.109588390083438e-12
ENSG00000126561,5.900602,0.21220547,mid,small,7.154739697307592,4.6474564583914166e-212
ENSG00000100628,4.307411,0.44274154,mid,small,14.114170177378563,5.06941669265459e-10
ENSG00000249534,25.189764,1.1247604,mid,small,5.604652830086016,0.026722701000655925
ENSG00000141384,7.0320954,0.27698335,mid,small,2.5170777953054673,1.181675971140962e-31
ENSG00000105866,16.235085,1.9715401,mid,small,2.7033571359344366,3.819949438543514e-58
ENSG00000130592,5.961277,0.2648063,mid,small,11.566258778326127,1.2926486303074404e-116
ENSG00000234911,6.5869317,0.35599804,large,small,2.238684725397168,1.6351784444001912e-05
ENSG00000247774,4.5790024,0.24120674,mid,small,10.886061955526086,2.830301839001387e-06
ENSG00000284634,20.061712,0.3467177,large,small,2.192370116779228,0.03328804591015764
ENSG00000125457,4.9798565,0.72816706,mid,small,2.0308335989199424,2.5364132222247226e-28
ENSG00000132182,7.3738637,1.0425857,mid,small,6.007785497410876,9.936476204658796e-07
ENSG00000162997,12.346642,2.293801,mid,small,2.304613050107798,8.159741797489842e-06
ENSG00000008277,22.694572,0.9443009,mid,small,7.425471869006145,2.5298492396798155e-58
ENSG00000162433,11.200667,0.59544504,mid,small,4.2223763064181705,7.04521759391868e-05
ENSG00000255328,3.2686515,1.1786454,mid,small,4.8309645018722955,1.925540772366876e-06
ENSG00000170915,8.47792,0.5774988,mid,small,2.4134741642075217,7.54391996403459e-42
ENSG00000198805,10.446481,0.27923506,large,small,2.1050269237959687,1.9894064883011795e-21
ENSG00000184602,4.5925546,0.7863127,mid,small,2.514172036324679,3.555522338353946e-30
ENSG00000265817,4.753534,0.3949401,mid,small,2.0416271480075467,0.0017377261403805082
ENSG00000085840,11.851969,1.9220223,mid,small,2.0550911505264633,3.1015264254657013e-09
ENSG00000258760,3.8490098,0.27860215,mid,small,9.53162894119162,5.5949057052180684e-05
ENSG00000275410,9.795489,0.90099627,large,small,9.759143718572934,3.447934020013511e-05
ENSG00000064225,17.1388,3.1435082,mid,small,8.494647354997488,1.9226417543547284e-42
ENSG00000167723,8.66919,0.09814462,large,small,4.229858352737915,0.00027193386987555085
ENSG00000140451,6.189599,0.7863882,large,small,2.297696966601566,9.214365908255483e-16
ENSG00000245479,2.3922005,0.23457077,mid,small,6.3689840608328625,0.01146962110542563
ENSG00000187510,36.388214,0.32895988,large,small,5.683817023805578,6.552997853832379e-07
ENSG00000268889,2.2869606,0.48475337,mid,small,3.1530560541074673,0.012412254182595001
ENSG00000261251,7.1709595,0.53936476,large,small,2.304651034164422,0.0007412426359821423
ENSG00000205045,3.6942332,0.6414601,mid,small,7.306855256136436,7.450470740165401e-39
ENSG00000012124,10.860534,0.8053025,large,small,10.728985994247626,2.466884816940985e-139
ENSG00000162692,17.35819,3.0264404,mid,small,8.33343470181023,3.689863063602751e-15
ENSG00000231304,11.201733,3.369459,mid,small,2.3016010539772265,0.020095404250491375
ENSG00000171608,7.566264,1.0205323,mid,small,2.837249280755288,3.999157054948377e-40
ENSG00000285744,13.180221,0.26030904,mid,small,7.515113959149737,2.619707401211343e-07
ENSG00000048462,4.0331974,0.86743516,mid,small,10.109274142000652,3.4164804947015496e-32
ENSG00000140030,3.8662934,0.3797517,mid,small,5.295097343807466,9.95713718792521e-05
ENSG00000246263,10.716544,1.2491925,mid,small,2.8664378233846226,0.0002456188553763908
ENSG00000100297,8.977058,0.59505415,large,small,2.056370028107496,1.3991980982063609e-12
ENSG00000133740,13.7748165,0.42767417,mid,small,2.719718393026637,2.4609113256451988e-14
ENSG00000141293,7.9083586,0.7404272,large,small,13.033229497205681,1.1764393834379478e-08
ENSG00000284428,11.102264,0.023080014,large,small,2.0258270091574913,1.4933723378581894e-10
ENSG00000140379,5.7510424,0.49588868,large,small,15.018768762883797,3.201908635121048e-11
ENSG00000108984,12.087971,0.22528735,large,small,5.260717200256578,5.0561945432832465e-08
ENSG00000116771,17.805536,1.1719917,mid,small,7.824816114734969,5.546955201833822e-19
ENSG00000151883,27.300522,0.011212635,mid,small,2.5966301331505535,0.010705241549060824
ENSG00000254936,19.976149,0.51619416,large,small,3.0054240253797317,0.0007599300385513556
ENSG00000108960,3.1096401,0.59041387,mid,small,2.5656873155253734,5.38817776824076e-23
ENSG00000183486,15.979492,0.73250335,large,small,8.791047746241949,2.4910530976642013e-77
ENSG00000138346,8.245995,0.2901837,mid,small,2.114988618670307,9.108853886883894e-28
ENSG00000107736,3.8055148,0.38527635,mid,small,3.0777971890298397,0.0008867846926576394
ENSG00000263004,16.820032,0.5191532,large,small,3.5375268252643868,3.6582854411882897e-06
ENSG00000249274,8.22311,1.3098557,mid,small,7.778090099621278,0.0015668578770490988
ENSG00000236352,2.1134448,0.35122204,mid,small,3.2506008542623883,0.0294566265241673
ENSG00000163666,12.181555,0.25352228,mid,small,3.8524279545585287,1.405670518319994e-06
ENSG00000062822,6.0030394,0.40221435,large,small,2.00301520492996,8.969888531169743e-20
ENSG00000221963,4.5402384,0.3605738,mid,small,2.8434495005576563,4.593447031564608e-16
ENSG00000182732,13.698106,0.86079794,large,small,12.895684356878855,1.6986487365342112e-08
ENSG00000109107,8.756676,0.5136116,large,small,2.304366646184764,1.9222787116607937e-35
ENSG00000228113,22.866507,0.66176695,mid,small,3.1410355874598705,0.03311671566770577
ENSG00000267040,2.7017639,0.25313485,mid,small,2.265167020932123,8.625944549588908e-05
ENSG00000272578,11.868786,0.25592682,large,small,2.636359394507362,2.092877437960075e-09
ENSG00000261008,24.261875,0.30844206,large,small,2.0678010849487003,6.940965428345656e-10
ENSG00000229955,10.850103,0.9081623,large,small,3.683039102323502,0.0005605832389461986
