,log2FoldChange,padj
ENSG00000075426,-6.644029127234315,3.52102516032033e-266
ENSG00000142798,-6.950131013973531,1.6984121221430693e-289
ENSG00000151376,-4.4599672496043645,2.6836454180075464e-16
ENSG00000150347,-4.11393107363573,9.964139134540853e-116
ENSG00000174136,-4.308995289939553,6.778602904365437e-152
ENSG00000241749,-8.574672968665007,4.47859593204887e-09
ENSG00000149782,-2.5691700696174045,4.4813589774688465e-54
ENSG00000167693,-8.61386146429603,7.173810505085026e-143
ENSG00000153976,-11.088093360599345,4.3495409095643576e-14
ENSG00000235545,-2.1773169135401704,0.019389396078679358
ENSG00000105889,-13.186326467878914,9.88688663209082e-07
ENSG00000167193,-2.30710243664043,2.1968315381597588e-80
ENSG00000162437,-2.304961624939458,8.193437879033821e-11
ENSG00000132669,-2.206584084585598,8.905162563177708e-69
ENSG00000112210,-2.846015427344872,7.848795118309195e-54
ENSG00000165914,-5.936895293682009,3.750142406503715e-68
ENSG00000122729,-4.689975960347056,7.857497059924364e-240
ENSG00000164542,-4.304072323271033,1.3476030469326979e-08
ENSG00000169504,-3.0640354448707203,2.066042619428603e-76
ENSG00000079337,-2.329782701836416,2.8600237167031817e-12
ENSG00000118762,-3.5928179102807847,5.5265378717733855e-67
ENSG00000073969,-2.7338670741166236,1.5298644291669143e-57
ENSG00000165410,-4.25981429115961,6.826815718834697e-173
ENSG00000182718,-4.808379453586422,0.0
ENSG00000175746,-6.904491429573982,0.011230896357545444
ENSG00000140950,-2.763215943475941,2.2105481180866865e-99
ENSG00000273230,-2.412566770412507,1.888204884309607e-10
ENSG00000273145,-4.669855814854204,0.0018732045198950175
ENSG00000166482,-7.282509998377136,1.1960276454771819e-41
ENSG00000131899,-2.308812089918541,9.694314037552578e-52
ENSG00000128805,-9.076482132188204,4.4313596272421387e-79
ENSG00000020181,-9.194989373697847,3.223161845489265e-155
ENSG00000181588,-2.4499872888050045,8.253846073842518e-52
ENSG00000197182,-2.3278248437647178,6.4912815977145225e-12
ENSG00000111077,-7.48039060521705,6.65080875272492e-107
ENSG00000002746,-5.115897242207902,1.0007626849855442e-24
ENSG00000158125,-5.8114349789583795,3.3026993368338795e-15
ENSG00000258484,-5.121932292860529,0.00028178509641897984
ENSG00000135048,-6.182612331807452,7.879367037698953e-198
ENSG00000107338,-2.3052382575337638,3.4103981993906524e-29
ENSG00000106397,-3.010673891472084,1.3321041627505104e-71
ENSG00000106819,-10.737556586178037,6.641440086948449e-05
ENSG00000157214,-3.0895284838948145,4.9485557261126235e-43
ENSG00000198964,-2.763914398069056,2.701199219700474e-60
ENSG00000164855,-3.9338193994806137,2.1404979733358193e-09
ENSG00000162614,-2.963161218366919,1.3064543397109085e-83
ENSG00000006704,-3.032638465804165,9.10499152109439e-67
ENSG00000105464,-3.4572512287387123,1.7967278907389045e-33
ENSG00000101400,-2.2878674520721156,1.1577293433283912e-14
ENSG00000139971,-8.015998649476153,6.49747686610614e-08
ENSG00000125965,-2.37197914631911,0.0038659156360582292
ENSG00000241316,-4.443579094451993,3.3286221908225956e-13
ENSG00000005884,-4.662680635865343,1.0690510839829402e-264
ENSG00000160113,-2.0758889469992337,6.230522464169112e-50
ENSG00000048052,-4.423912828564666,4.2253536358679604e-22
ENSG00000245975,-2.082731680946844,0.0012816768709022679
ENSG00000259426,-6.120928223434985,1.7775133105007758e-08
ENSG00000147408,-2.391777485550377,0.020001460069069964
ENSG00000184304,-8.696086836668584,3.832538272150129e-46
ENSG00000133816,-6.430963475039121,0.0
