,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878,log2FoldChange,padj
ENSG00000075426,0.8274162,9.284182,small,large,-6.644029127234315,3.52102516032033e-266
ENSG00000142798,0.58678746,7.214303,small,large,-6.950131013973531,1.6984121221430693e-289
ENSG00000241749,1.659238,12.611887,small,large,-8.574672968665007,4.47859593204887e-09
ENSG00000153976,0.55613035,3.0065742,small,mid,-11.088093360599345,4.3495409095643576e-14
ENSG00000105889,1.9539423,1.6202413,small,mid,-13.186326467878914,9.88688663209082e-07
ENSG00000122729,0.26481867,1.5585032,small,mid,-4.689975960347056,7.857497059924364e-240
ENSG00000166482,0.37831032,8.702545,small,large,-7.282509998377136,1.1960276454771819e-41
ENSG00000181588,0.7882891,6.682211,small,large,-2.4499872888050045,8.253846073842518e-52
ENSG00000106397,0.9755153,2.3092682,small,mid,-3.010673891472084,1.3321041627505104e-71
ENSG00000106819,0.2716347,1.6250212,small,mid,-10.737556586178037,6.641440086948449e-05
ENSG00000164855,1.114074,3.7478678,small,mid,-3.9338193994806137,2.1404979733358193e-09
ENSG00000241316,2.0235903,3.6445723,small,mid,-4.443579094451993,3.3286221908225956e-13
ENSG00000005884,2.1345599,1.8728715,small,mid,-4.662680635865343,1.0690510839829402e-264
ENSG00000259426,1.0317522,2.0982409,small,mid,-6.120928223434985,1.7775133105007758e-08
ENSG00000147408,3.0326455,3.7559924,small,mid,-2.391777485550377,0.020001460069069964
ENSG00000184304,0.585391,4.1067524,small,large,-8.696086836668584,3.832538272150129e-46
ENSG00000133816,1.6463182,10.34906,small,large,-6.430963475039121,0.0
ENSG00000177363,0.979182,4.092245,small,large,-4.951056002988778,2.8199135190528733e-10
ENSG00000159714,0.57866323,1.9732575,small,mid,-2.4889353584870846,1.564858890084243e-11
ENSG00000163702,1.7669259,5.0251446,small,large,-6.191482373447564,1.3804392038289513e-78
ENSG00000258457,0.5801004,1.5829794,small,mid,-4.448707266336357,2.5011317469868157e-06
ENSG00000071054,0.83807474,2.3896008,small,mid,-2.92954455201825,4.265190977882345e-124
ENSG00000174306,0.3686668,3.6209288,small,large,-2.370766991331657,2.4607271791301694e-74
ENSG00000117114,1.0900679,1.4431174,small,mid,-4.595551283668049,3.6091163649460067e-07
ENSG00000213625,0.73083574,2.2847283,small,mid,-2.8679918596646816,2.2716371483524797e-115
ENSG00000104863,1.4243743,2.8660345,small,mid,-2.3529803723308795,7.646574501356167e-12
ENSG00000229951,0.48387292,8.915386,small,large,-4.493806534015147,0.0025149802085467315
ENSG00000274654,1.7252539,2.5031273,small,mid,-5.0647221087696215,1.9788687914355914e-12
ENSG00000125378,0.47449946,6.8083787,small,large,-3.958109768122564,1.2370262871141218e-12
ENSG00000100504,0.3909606,15.699895,small,large,-5.315718054456009,2.2189143157910712e-103
ENSG00000182010,0.82432,0.8977983,small,mid,-6.250432283949759,5.388963062964796e-26
ENSG00000227051,0.44428283,4.451535,small,large,-8.892529178995673,6.37650860126076e-76
ENSG00000111186,0.40719247,3.445892,small,mid,-4.17528436061057,1.101243364504829e-124
ENSG00000157613,1.883736,1.6997029,small,mid,-8.38694736113741,0.0
ENSG00000026508,1.5025597,1.7488685,small,mid,-3.1641964214674925,3.261256634702911e-191
ENSG00000249279,0.49557835,7.0108604,small,large,-6.83537153610665,0.013569980208163674
ENSG00000120896,2.019913,5.424021,small,large,-6.788577566382283,5.436250096122334e-118
ENSG00000174099,1.7388923,9.733024,small,large,-6.6436426882771,6.315075935701221e-274
ENSG00000197046,1.0919356,1.2678225,small,mid,-2.597480748226243,0.0026452550947637437
ENSG00000163453,2.4400694,12.912387,small,large,-10.058029495055223,3.22621729366255e-179
ENSG00000176349,0.6808026,11.162964,small,large,-6.7009432100175825,6.509364703849318e-06
ENSG00000147459,0.48527664,2.558713,small,mid,-7.242275266970765,4.965065536223443e-285
ENSG00000074527,1.3130323,20.106594,small,large,-10.210404147608614,3.6196493362398633e-66
ENSG00000186111,0.70906365,2.407166,small,mid,-2.2673713848933503,1.6366026602870814e-54
ENSG00000140859,1.8978707,9.551803,small,large,-6.9632658656120405,2.673240632195683e-108
ENSG00000138641,2.1344879,12.375274,small,large,-2.483590864840546,8.465338813402667e-27
ENSG00000152284,0.61581224,11.737705,small,large,-5.637623715632476,1.7228325764167756e-06
ENSG00000104368,3.1036117,4.581839,small,large,-7.189020069014319,1.3408090345355028e-92
ENSG00000180914,2.0173383,1.1822588,small,mid,-7.704821680835662,0.0
ENSG00000170545,1.6065784,2.849314,small,mid,-3.4908318109801635,1.8222031551246528e-51
ENSG00000250697,1.4819553,6.707287,small,large,-6.417227727478851,0.017049108378858004
ENSG00000173068,0.14725204,40.5345,small,large,-5.546396160852334,1.7673064931155897e-96
ENSG00000072134,1.8988141,13.840331,small,large,-3.388197439466015,8.482830821368177e-92
ENSG00000073712,0.30913273,2.286474,small,mid,-2.69033620739223,5.666412210484332e-60
ENSG00000110436,0.9407108,3.1309738,small,mid,-4.550781448813189,7.880985152550285e-26
ENSG00000132561,1.7516067,7.2319098,small,large,-7.214090218465248,5.315265057447421e-11
ENSG00000172927,0.8534815,4.1457953,small,large,-6.130520168733827,1.0306028570391634e-38
ENSG00000222005,1.8077446,9.987066,small,large,-3.530235660030055,0.0026834638572522957
ENSG00000013375,2.4786162,5.8071804,small,large,-2.364283540711136,6.101767422567438e-73
ENSG00000150281,1.9399104,2.5203261,small,mid,-5.210913234644983,5.59665148863748e-43
ENSG00000116096,2.1316266,2.430734,small,mid,-2.969171249953926,1.450024539158298e-41
ENSG00000167995,1.0672535,1.4952879,small,mid,-3.1616604306637495,2.8395608270706804e-07
ENSG00000185483,0.20570563,15.990331,small,large,-6.162425774711089,6.942465928295262e-51
ENSG00000188215,1.8417445,2.9481437,small,mid,-3.292417664439196,1.3258297016440862e-58
ENSG00000108551,0.6669824,2.8492694,small,mid,-4.383635272649626,0.004922042420242928
