,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878,log2FoldChange,padj
ENSG00000164989,5.108435,1.9786259,mid,small,1.9494931630690855,1.552654016071206e-10
ENSG00000166710,2.2706852,0.7652451,mid,small,1.7566994081053595,2.6982951156088e-38
ENSG00000100749,13.296438,0.2616785,large,small,1.7681744872172616,4.4782470514347947e-13
ENSG00000111732,14.399245,1.2324017,large,small,12.05986914756334,1.597625242606635e-07
ENSG00000164430,14.163356,1.3087975,mid,small,2.2030132988066513,1.511554821224918e-29
ENSG00000215251,11.131658,0.35881558,large,small,0.6304571806429161,2.0704350340791825e-05
ENSG00000153898,6.655487,0.712531,mid,small,5.423702245945742,1.7215533295064353e-96
ENSG00000167280,5.688287,0.8514023,mid,small,0.8215411486403136,7.317301023458011e-05
ENSG00000140577,5.500909,0.3319005,large,small,0.37673776616015064,0.0026493128729594222
ENSG00000100784,12.627216,0.42172423,large,small,3.4411584307091534,7.051688503884603e-26
ENSG00000186566,5.548927,0.5238311,mid,small,0.397568054053067,0.0028828989934866363
ENSG00000197969,5.22071,1.9893544,mid,small,0.9622815557809643,1.1189599344593717e-10
ENSG00000070669,9.719861,0.4513769,mid,small,1.8567426215620113,2.5625948259826607e-05
ENSG00000235989,3.3698547,0.7838925,mid,small,8.361063631118515,0.0005329743576679971
ENSG00000160226,6.155902,0.2624486,mid,small,1.1593772903657817,4.306521244686617e-06
ENSG00000280028,13.052631,0.27854803,large,small,1.9573256265604413,0.020771056987664967
ENSG00000134758,18.148832,0.80642176,large,small,1.6655471329620686,7.907225616757998e-25
ENSG00000158201,10.236881,0.24713337,large,small,1.8617838435404088,6.338547883454483e-10
ENSG00000109320,14.866123,0.954002,mid,small,1.806331014283024,1.3280264284481997e-30
ENSG00000248592,9.83298,2.6174417,mid,small,2.6721545505201747,0.00044362196700355676
ENSG00000261326,12.927262,1.9079297,mid,small,1.9140604506574401,3.595041655106408e-11
ENSG00000099783,4.7521,0.30052963,mid,small,0.7062603132055244,0.0002265639726255954
