##########################################################################################
# with mids (small -> mid/large)
##########################################################################################

==========================================================================================
GM12878 small vs H1ESC mid/large   (242 genes, 602 reactome terms)
==========================================================================================
  Cytokine Signaling in Immune System	(FDR=2.01e-08)
  Immune System	(FDR=2.53e-08)
  Signaling by Interleukins	(FDR=1.47e-06)
  Interleukin-3, Interleukin-5 and GM-CSF Signaling	(FDR=0.000142)
  GPVI-mediated Activation Cascade	(FDR=0.000261)
  Innate Immune System	(FDR=0.000421)
  Regulation of Signaling by CBL	(FDR=0.00794)
  Interleukin-2 Family Signaling	(FDR=0.00925)
  Toll-like Receptor Cascades	(FDR=0.00976)
  Toll Like Receptor 4 (TLR4) Cascade	(FDR=0.0152)
  Signaling by CSF1 (M-CSF) in Myeloid Cells	(FDR=0.0201)
  Signaling by the B Cell Receptor (BCR)	(FDR=0.0233)
  Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers	(FDR=0.0309)
  Interferon Gamma Signaling	(FDR=0.0357)
  Adaptive Immune System	(FDR=0.0512)
  TAK1-dependent IKK and NF-kappa-B Activation	(FDR=0.0512)
  Interleukin-4 and Interleukin-13 Signaling	(FDR=0.0512)
  RUNX3 Regulates Immune Response and Cell Migration	(FDR=0.0512)
  FLT3 Signaling Through SRC Family Kinases	(FDR=0.0512)
  Toxicity of Botulinum Toxin Type D (botD)	(FDR=0.0512)
  Toxicity of Botulinum Toxin Type F (botF)	(FDR=0.0512)
  Regulation of IFNA IFNB Signaling	(FDR=0.065)
  Signaling by Erythropoietin	(FDR=0.065)
  Interleukin-7 Signaling	(FDR=0.065)
  Platelet Activation, Signaling and Aggregation	(FDR=0.0652)
  TNFR2 Non-Canonical NF-kB Pathway	(FDR=0.0693)
  Interleukin Receptor SHC Signaling	(FDR=0.0723)
  TRP Channels	(FDR=0.0774)
  DAP12 Signaling	(FDR=0.08)
  TNFs Bind Their Physiological Receptors	(FDR=0.08)
  Toxicity of Botulinum Toxin Type A (botA)	(FDR=0.0815)
  MyD88 Cascade Initiated on Plasma Membrane	(FDR=0.0823)
  Toll Like Receptor 10 (TLR10) Cascade	(FDR=0.0823)
  Toll Like Receptor 5 (TLR5) Cascade	(FDR=0.0823)
  Interleukin-1 Family Signaling	(FDR=0.0823)
  TRAF6 Mediated Induction of NFkB and MAP Kinases Upon TLR7 8 or 9 Activation	(FDR=0.0939)
  MyD88 Dependent Cascade Initiated on Endosome	(FDR=0.0952)
  Toll Like Receptor 3 (TLR3) Cascade	(FDR=0.101)
  Toll Like Receptor 7 8 (TLR7 8) Cascade	(FDR=0.101)
  Neutrophil Degranulation	(FDR=0.101)
  Caspase-mediated Cleavage of Cytoskeletal Proteins	(FDR=0.101)
  Erythropoietin Activates Phosphoinositide-3-kinase (PI3K)	(FDR=0.101)
  Interleukin-2 Signaling	(FDR=0.101)
  MyD88-independent TLR4 Cascade	(FDR=0.101)
  TRIF (TICAM1)-mediated TLR4 Signaling	(FDR=0.101)
  Toll Like Receptor 9 (TLR9) Cascade	(FDR=0.101)
  FLT3 Signaling	(FDR=0.108)
  TCR Signaling	(FDR=0.108)
  MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane	(FDR=0.111)
  Toll Like Receptor TLR6 TLR2 Cascade	(FDR=0.111)
  Potential Therapeutics for SARS	(FDR=0.112)
  RUNX3 Regulates NOTCH Signaling	(FDR=0.112)
  Interleukin-15 Signaling	(FDR=0.112)
  Toll Like Receptor 2 (TLR2) Cascade	(FDR=0.112)
  Toll Like Receptor TLR1 TLR2 Cascade	(FDR=0.112)
  Generation of Second Messenger Molecules	(FDR=0.113)
  Costimulation by the CD28 Family	(FDR=0.113)
  Interferon Alpha Beta Signaling	(FDR=0.113)
  Regulation of MITF-M-dependent Genes Involved in Pigmentation	(FDR=0.113)
  Fcgamma Receptor (FCGR) Dependent Phagocytosis	(FDR=0.113)
  Signaling by SCF-KIT	(FDR=0.119)
  Interferon Signaling	(FDR=0.125)
  Regulation of Gene Expression in Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells	(FDR=0.125)
  STING Mediated Induction of Host Immune Responses	(FDR=0.125)
  DAP12 Interactions	(FDR=0.126)
  Platelet Sensitization by LDL	(FDR=0.132)
  Purine Catabolism	(FDR=0.132)
  TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway	(FDR=0.132)
  C-type Lectin Receptors (CLRs)	(FDR=0.135)
  CLEC7A (Dectin-1) Signaling	(FDR=0.137)
  G Alpha (Z) Signalling Events	(FDR=0.137)
  Regulation of NF-kappa B Signaling	(FDR=0.14)
  MITF-M-regulated Melanocyte Development	(FDR=0.148)
  Parasitic Infection Pathways	(FDR=0.16)
  Leishmania Infection	(FDR=0.16)
  TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	(FDR=0.162)
  Synthesis of PIPs at the Plasma Membrane	(FDR=0.165)
  Neurotoxicity of Clostridium Toxins	(FDR=0.171)
  CD209 (DC-SIGN) Signaling	(FDR=0.171)
  Transcriptional Regulation by RUNX1	(FDR=0.192)
  Interleukin-1 Signaling	(FDR=0.201)
  G Beta Gamma Signalling Through PI3Kgamma	(FDR=0.22)
  Glycogen Metabolism	(FDR=0.22)
  Inactivation of CSF3 (G-CSF) Signaling	(FDR=0.22)
  TRAF6 Mediated NF-kB Activation	(FDR=0.22)
  Signal Transduction	(FDR=0.226)
  Cytosolic Sensors of Pathogen-Associated DNA	(FDR=0.232)
  Synthesis of Substrates in N-glycan Biosythesis	(FDR=0.232)
  FCERI Mediated Ca+2 Mobilization	(FDR=0.232)
  Cell Recruitment (Pro-Inflammatory Response)	(FDR=0.232)
  Purinergic Signaling in Leishmaniasis Infection	(FDR=0.232)
  Effects of PIP2 Hydrolysis	(FDR=0.232)
  Integrin Signaling	(FDR=0.232)
  FOXO-mediated Transcription	(FDR=0.246)
  Phosphorylation of CD3 and TCR Zeta Chains	(FDR=0.259)
  PD-1 Signaling	(FDR=0.265)
  Dectin-2 Family	(FDR=0.265)
  Signaling by ALK	(FDR=0.265)
  Signaling by CSF3 (G-CSF)	(FDR=0.265)
  FCGR3A-mediated IL10 Synthesis	(FDR=0.275)
  Antigen Presentation Folding, Assembly and Peptide Loading of Class I MHC	(FDR=0.275)
  G-protein Beta Gamma Signalling	(FDR=0.289)
  GPCR Downstream Signalling	(FDR=0.289)
  Sialic Acid Metabolism	(FDR=0.289)
  Signaling by GPCR	(FDR=0.289)
  NGF-independant TRKA Activation	(FDR=0.289)
  NTRK2 Activates RAC1	(FDR=0.289)
  Biosynthesis of E-series 18(S)-resolvins	(FDR=0.289)
  RUNX3 Regulates BCL2L11 (BIM) Transcription	(FDR=0.289)
  Drug-mediated Inhibition of CDK4 CDK6 Activity	(FDR=0.289)
  The Fatty Acid Cycling Model	(FDR=0.289)
  Toxicity of Botulinum Toxin Type E (botE)	(FDR=0.289)
  MECP2 Regulates Transcription Factors	(FDR=0.289)
  Nuclear Events Stimulated by ALK Signaling in Cancer	(FDR=0.297)
  Nucleotide Catabolism	(FDR=0.297)
  CD28 Co-Stimulation	(FDR=0.297)
  Biosynthesis of the N-glycan Precursor (Dolichol LLO) and Transfer to a Nascent Protein	(FDR=0.297)
  Activated NTRK2 Signals Through CDK5	(FDR=0.31)
  Activation of TRKA Receptors	(FDR=0.31)
  Biosynthesis of EPA-derived SPMs	(FDR=0.31)
  Biosynthesis of Lipoxins (LX)	(FDR=0.31)
  CLEC7A Inflammasome Pathway	(FDR=0.31)
  RUNX1 Regulates Transcription of Genes Involved in BCR Signaling	(FDR=0.31)
  Scavenging by Class B Receptors	(FDR=0.31)
  GDP-fucose Biosynthesis	(FDR=0.31)
  Constitutive Signaling by Aberrant PI3K in Cancer	(FDR=0.31)
  Apoptotic Cleavage of Cellular Proteins	(FDR=0.31)
  PI Metabolism	(FDR=0.31)
  Fc Epsilon Receptor (FCERI) Signaling	(FDR=0.31)
  Platelet Aggregation (Plug Formation)	(FDR=0.31)
  DDX58 IFIH1-mediated Induction of Interferon-Alpha Beta	(FDR=0.31)
  Transcriptional Regulation by RUNX3	(FDR=0.31)
  Platelet Homeostasis	(FDR=0.31)
  Parasite Infection	(FDR=0.31)
  FCGR3A-mediated Phagocytosis	(FDR=0.31)
  Leishmania Phagocytosis	(FDR=0.31)
  Programmed Cell Death	(FDR=0.31)
  Activated NTRK2 Signals Through FYN	(FDR=0.31)
  Activated NTRK2 Signals Through PI3K	(FDR=0.31)
  Phosphate Bond Hydrolysis by NUDT Proteins	(FDR=0.31)
  DEx H-box Helicases Activate Type I IFN and Inflammatory Cytokines Production	(FDR=0.31)
  RUNX3 Regulates CDKN1A Transcription	(FDR=0.31)
  Release of Apoptotic Factors From the Mitochondria	(FDR=0.31)
  Erythropoietin Activates Phospholipase C Gamma (PLCG)	(FDR=0.31)
  IkBA Variant Leads to EDA-ID	(FDR=0.31)
  Mitochondrial Uncoupling	(FDR=0.31)
  RET Signaling	(FDR=0.311)
  Regulation of Beta-Cell Development	(FDR=0.321)
  mRNA Editing C to U Conversion	(FDR=0.321)
  Binding of TCF LEF CTNNB1 to Target Gene Promoters	(FDR=0.321)
  Biosynthesis of Maresins	(FDR=0.321)
  RUNX3 Regulates WNT Signaling	(FDR=0.321)
  RUNX3 Regulates YAP1-mediated Transcription	(FDR=0.321)
  Regulation of NFE2L2 Gene Expression	(FDR=0.321)
  Regulation of Gene Expression in Early Pancreatic Precursor Cells	(FDR=0.321)
  Formation of the Editosome	(FDR=0.321)
  Interleukin-18 Signaling	(FDR=0.321)
  TP53 Regulates Transcription of Cell Death Genes	(FDR=0.321)
  Intra-Golgi Traffic	(FDR=0.321)
  Uptake and Actions of Bacterial Toxins	(FDR=0.321)
  Phospholipid Metabolism	(FDR=0.321)
  FCGR Activation	(FDR=0.321)
  MITF-M-dependent Gene Expression	(FDR=0.321)
  Interleukin-10 Signaling	(FDR=0.325)
  Mitochondrial Protein Degradation	(FDR=0.325)
  Activated NTRK2 Signals Through RAS	(FDR=0.325)
  Activation of PUMA and Translocation to Mitochondria	(FDR=0.325)
  Nef and Signal Transduction	(FDR=0.325)
  Atorvastatin ADME	(FDR=0.325)
  PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	(FDR=0.325)
  Formyl Peptide Receptors Bind Formyl Peptides and Many Other Ligands	(FDR=0.325)
  Synthesis of 5-Eicosatetraenoic Acids	(FDR=0.325)
  Interleukin-1 Processing	(FDR=0.325)
  Interleukin-9 Signaling	(FDR=0.325)
  Microbial Modulation of RIPK1-mediated Regulated Necrosis	(FDR=0.325)
  P75 NTR Receptor-Mediated Signalling	(FDR=0.325)
  Heme Signaling	(FDR=0.325)
  Hemostasis	(FDR=0.325)
  RNA Polymerase I Transcription Initiation	(FDR=0.334)
  Anti-inflammatory Response Favouring Leishmania Parasite Infection	(FDR=0.336)
  Leishmania Parasite Growth and Survival	(FDR=0.336)
  mRNA Editing	(FDR=0.336)
  Activation of Ca-permeable Kainate Receptor	(FDR=0.336)
  RUNX3 Regulates p14-ARF	(FDR=0.336)
  Regulation of FOXO Transcriptional Activity by Acetylation	(FDR=0.336)
  Glucocorticoid Biosynthesis	(FDR=0.336)
  Interleukin-21 Signaling	(FDR=0.336)
  Tetrahydrobiopterin (BH4) Synthesis, Recycling, Salvage and Regulation	(FDR=0.336)
  Ionotropic Activity of Kainate Receptors	(FDR=0.336)
  Transcriptional and Post-Translational Regulation of MITF-M Expression and Activity	(FDR=0.348)
  Apoptotic Execution Phase	(FDR=0.354)
  Activated NTRK2 Signals Through FRS2 and FRS3	(FDR=0.354)
  Androgen Biosynthesis	(FDR=0.354)
  RHO GTPases Activate KTN1	(FDR=0.354)
  Regulated Proteolysis of p75NTR	(FDR=0.354)
  Transport of Organic Anions	(FDR=0.354)
  Role of Phospholipids in Phagocytosis	(FDR=0.354)
  Stimuli-sensing Channels	(FDR=0.354)
  Apoptosis	(FDR=0.355)
  Activation of NF-kappaB in B Cells	(FDR=0.356)
  Adipogenesis	(FDR=0.356)
  PI3K AKT Signaling in Cancer	(FDR=0.356)
  Intrinsic Pathway for Apoptosis	(FDR=0.356)
  NOTCH2 Intracellular Domain Regulates Transcription	(FDR=0.356)
  PECAM1 Interactions	(FDR=0.356)
  Peptide Hormone Biosynthesis	(FDR=0.356)
  Pyrimidine Catabolism	(FDR=0.356)
  Defective RIPK1-mediated Regulated Necrosis	(FDR=0.356)
