Experiment,Jump set,Gene count,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Cytokine Signaling in Immune System,3.3425906234041296e-11,2.0122395552892865e-08,33/776,107.90061816533066,CD40;CIITA;PTAFR;NLRC5;PIK3CD;USP18;ALOX5;GRAP2;PLCG2;BLNK;TNFRSF8;JAK3;TRIM22;IFNAR2;IL15RA;MEF2C;SYK;IL16;NFKB1;POMC;FCER2;HCK;TEC;IL7;IRF4;SAA1;TNFSF9;PSME2;CD27;PTPN6;IL7R;MAP3K14;HLA-DRB1,0.13636363636363635,33
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Immune System,8.416146697552353e-11,2.533260155963258e-08,58/2150,69.35981812959795,CD40;CIITA;ARPC1B;ICAM3;CGAS;PIK3CD;ITGAL;ADGRE5;GRAP2;BLNK;TNFRSF8;JAK3;TRIM22;IFNAR2;ARSA;IL15RA;MEF2C;DBNL;SYK;PRKCE;CD180;RHOG;RNASE6;IRAG2;TAP1;IL16;FGR;FCER2;HCK;STIM1;IRF4;PSME2;PTAFR;NLRC5;NLRC3;USP18;UBE2J1;ALOX5;PLCG2;PAG1;ERAP1;LY86;RAB27A;LNPEP;NFKB1;POMC;TEC;IL7;REL;SAA1;TNFSF9;CD27;PTPN6;ASB2;IL7R;MAP3K14;HLA-DRB1;GSDME,0.2396694214876033,58
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Signaling by Interleukins,7.313281619011561e-09,1.4675318448816531e-06,22/452,92.72160540392764,IL15RA;MEF2C;SYK;PTAFR;NLRC5;PIK3CD;IL16;USP18;NFKB1;POMC;FCER2;HCK;TEC;IL7;IRF4;ALOX5;SAA1;BLNK;PSME2;PTPN6;IL7R;JAK3,0.09090909090909091,22
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,"Interleukin-3, Interleukin-5 and GM-CSF Signaling",9.446439966091802e-07,0.00014216892148968162,7/48,217.42539805684157,HCK;TEC;SYK;BLNK;PIK3CD;PTPN6;JAK3,0.028925619834710745,7
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,GPVI-mediated Activation Cascade,2.168132468899483e-06,0.00026104314925549775,6/35,246.70443941502612,SYK;PLCG2;RHOG;PTPN6;PIK3R6;PIK3R5,0.024793388429752067,6
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Innate Immune System,4.199226238366316e-06,0.00042132236591608705,31/1149,33.538235919430484,ARPC1B;PTAFR;NLRC5;ICAM3;CGAS;NLRC3;ITGAL;USP18;ADGRE5;ALOX5;GRAP2;PLCG2;ARSA;MEF2C;DBNL;SYK;PRKCE;CD180;RHOG;RNASE6;LY86;RAB27A;IRAG2;NFKB1;FGR;HCK;TEC;SAA1;PTPN6;MAP3K14;GSDME,0.128099173553719,31
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Regulation of Signaling by CBL,9.236999148416468e-05,0.0079438192676381,4/22,187.1199163864991,HCK;SYK;BLNK;PIK3CD,0.01652892561983471,4
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Interleukin-2 Family Signaling,0.00012295103494198547,0.0092520653793844,5/44,105.00089529365302,IL15RA;SYK;PIK3CD;PTPN6;JAK3,0.02066115702479339,5
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Toll-like Receptor Cascades,0.00014594774262816594,0.0097622823402395,9/174,44.36034652616531,MEF2C;CD180;PLCG2;LY86;NLRC5;SAA1;USP18;NFKB1;GSDME,0.0371900826446281,9
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Toll Like Receptor 4 (TLR4) Cascade,0.0002528919497819826,0.0152240953768753,8/148,43.43195788166089,MEF2C;CD180;PLCG2;LY86;NLRC5;SAA1;USP18;NFKB1,0.03305785123966942,8
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Signaling by CSF1 (M-CSF) in Myeloid Cells,0.0003674188408517152,0.0201078311084302,4/31,106.15753930022376,HCK;GRAP2;PLCG2;PIK3CD,0.01652892561983471,4
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Signaling by the B Cell Receptor (BCR),0.0004644712734611674,0.0233009755519685,8/162,36.55942790011822,STIM1;SYK;PLCG2;REL;BLNK;PIK3CD;PTPN6;NFKB1,0.03305785123966942,8
