,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6
ENSG00000161638,5.821867,2.3875082,mid,small
ENSG00000185033,1.3213865,0.36943036,mid,small
ENSG00000230896,5.375748,4.506392,mid,small
ENSG00000237352,5.540393,0.1768097,mid,small
ENSG00000240291,7.8720484,0.86641484,mid,small
ENSG00000105088,0.86121476,1.3520671,mid,small
ENSG00000074660,2.0870101,1.499237,mid,small
ENSG00000139926,5.9891624,0.21273012,large,small
ENSG00000132170,18.309359,3.9411438,mid,small
ENSG00000115295,19.089314,2.671197,mid,small
ENSG00000114739,6.34343,6.683161,mid,small
ENSG00000184384,2.195391,2.396343,mid,small
ENSG00000126368,1.2593026,1.3975194,mid,small
ENSG00000074219,1.8481845,1.3220415,mid,small
ENSG00000166199,4.9993696,0.580942,mid,small
ENSG00000232445,3.3856788,0.79435927,mid,small
ENSG00000138944,5.352847,0.7416144,large,small
ENSG00000141232,1.2770921,1.536743,mid,small
ENSG00000163814,9.082608,1.8261764,mid,small
ENSG00000168386,11.627057,2.7310846,mid,small
ENSG00000119943,2.6400738,1.5591156,mid,small
ENSG00000133110,12.507752,0.71844465,large,small
ENSG00000153071,9.872225,3.9590418,mid,small
ENSG00000111145,5.276883,1.22223,mid,small
ENSG00000122359,6.6462526,1.9390934,mid,small
ENSG00000180628,17.618807,0.26022747,large,small
ENSG00000235109,3.211632,0.4521736,mid,small
ENSG00000205683,1.4697932,0.5224951,mid,small
ENSG00000134996,4.4265695,3.4494488,mid,small
ENSG00000225830,3.27228,2.1842394,mid,small
ENSG00000121281,10.436963,1.7703987,large,small
ENSG00000112902,18.868752,0.61397237,mid,small
ENSG00000198053,4.6470695,1.3876586,large,small
ENSG00000145147,4.681798,3.8806083,mid,small
ENSG00000274925,3.998954,0.9948264,large,small
ENSG00000260971,6.1346188,2.6833375,mid,small
ENSG00000059915,2.6178582,1.2114238,mid,small
ENSG00000154175,25.820732,4.6976986,mid,small
ENSG00000259005,2.800737,0.90653574,mid,small
ENSG00000138675,13.198694,3.5999637,mid,small
ENSG00000281501,4.980913,4.5188265,mid,small
ENSG00000141469,1.7868117,1.3995576,mid,small
ENSG00000196139,13.273273,0.5115398,large,small
ENSG00000196812,4.620068,0.7867716,mid,small
ENSG00000141696,2.0691845,0.4950923,mid,small
ENSG00000144455,22.206291,5.713464,mid,small
ENSG00000162302,2.6066208,0.66900116,mid,small
ENSG00000171649,5.1233535,1.3769935,large,small
ENSG00000256229,8.271905,0.62756413,large,small
ENSG00000111424,3.0977492,2.0313091,mid,small
ENSG00000112186,4.053276,0.19569021,mid,small
ENSG00000145020,6.064643,0.34991628,mid,small
ENSG00000060718,6.732211,4.200392,mid,small
ENSG00000110090,6.2294965,0.2345211,mid,small
ENSG00000196639,5.8007207,5.97945,mid,small
ENSG00000232453,5.2128463,0.17274123,mid,small
ENSG00000149256,7.9937806,0.9238671,large,small
ENSG00000118407,9.27538,3.2845123,mid,small
ENSG00000134668,6.516758,4.031398,mid,small
ENSG00000225648,5.0719957,2.2336,mid,small
ENSG00000146197,4.778517,4.235105,mid,small
ENSG00000147481,14.321167,2.5166879,mid,small
ENSG00000215483,14.91074,0.95066285,large,small
ENSG00000120049,2.6751785,1.480828,mid,small
ENSG00000182050,16.439531,1.9559706,large,small
ENSG00000135362,3.785818,0.99009496,mid,small
ENSG00000104081,2.6231403,1.4922423,mid,small
ENSG00000138606,1.8336976,1.5895855,mid,small
ENSG00000198542,31.729753,0.4160159,large,small
ENSG00000250786,18.868752,0.61397237,mid,small
ENSG00000245067,19.219954,2.5407276,mid,small
ENSG00000162618,6.3805017,3.975276,mid,small
ENSG00000225330,2.148915,1.0958117,mid,small
ENSG00000160439,3.52171,1.2141602,large,small
ENSG00000176387,2.5763037,1.9808371,mid,small
ENSG00000276916,5.9743605,0.254675,large,small
ENSG00000168404,1.5498828,2.1908133,mid,small
ENSG00000230927,4.359826,2.881339,mid,small
ENSG00000188554,8.400732,0.38701782,large,small
ENSG00000206538,6.581523,0.18087001,mid,small
ENSG00000150281,3.1313336,1.9311552,mid,small
ENSG00000120685,1.039771,1.299753,mid,small
ENSG00000006576,4.813653,1.1872727,mid,small
ENSG00000133816,8.830195,1.5204837,large,small
ENSG00000130513,4.6873436,0.5407482,large,small
ENSG00000091262,1.4329865,1.6648984,mid,small
ENSG00000138347,3.0389051,1.4885552,mid,small
ENSG00000116171,5.4905634,5.1494465,mid,small
ENSG00000100105,5.445868,0.701756,large,small
ENSG00000231793,1.9246887,2.2101285,mid,small
ENSG00000127863,6.513107,0.36565968,large,small
ENSG00000026508,15.368261,1.5025597,large,small
ENSG00000057704,9.727613,0.3077441,mid,small
ENSG00000135617,6.680139,4.1230855,mid,small
ENSG00000185306,4.2124653,0.8481999,mid,small
ENSG00000067798,21.525158,0.5297625,large,small
ENSG00000136928,9.818508,0.95768464,mid,small
ENSG00000188641,4.08803,0.85922956,mid,small
ENSG00000087253,2.0880146,1.2072531,mid,small
ENSG00000104324,11.252306,0.18042439,mid,small
ENSG00000249715,17.38003,5.0114336,mid,small
ENSG00000196345,4.7309446,3.7806776,mid,small
ENSG00000116729,15.931339,4.2521367,mid,small
ENSG00000165475,6.7083282,1.6169761,large,small
ENSG00000163513,10.778574,0.39884296,mid,small
ENSG00000189143,4.066445,3.6197727,mid,small
ENSG00000104368,3.135571,3.1036117,mid,small
