,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6
ENSG00000276071,0.041028637,5.4722223,small,large
ENSG00000170684,1.9095988,6.155276,mid,large
ENSG00000267279,0.87474495,9.229345,small,large
ENSG00000234883,3.4133604,11.069089,mid,large
ENSG00000215417,2.9052613,6.508208,mid,large
ENSG00000168060,3.811314,10.038618,mid,large
ENSG00000128203,3.8296258,9.286276,mid,large
ENSG00000268658,0.2604467,5.6472816,small,large
ENSG00000185737,1.6499661,15.323159,small,large
ENSG00000255236,0.26654702,16.02047,small,large
ENSG00000171105,0.5061957,10.530545,small,large
ENSG00000223685,0.1438363,5.7375035,small,large
ENSG00000283403,2.2269347,5.689797,mid,large
ENSG00000124171,0.6193617,6.726425,small,large
ENSG00000139146,0.31948617,14.118911,small,large
ENSG00000101198,0.66197115,10.379655,small,large
ENSG00000187595,3.144444,6.166521,mid,large
ENSG00000140557,2.72481,21.408604,mid,large
ENSG00000258603,3.3762882,5.6771674,mid,large
ENSG00000141447,0.31387648,10.747157,small,large
ENSG00000148948,0.7620043,20.988195,small,large
ENSG00000166831,0.7703026,9.097719,small,large
ENSG00000142065,0.029506486,5.5515747,small,large
ENSG00000104112,0.32920688,9.167008,small,large
ENSG00000100228,2.3377962,7.5944757,mid,large
ENSG00000180035,0.23694874,6.6249905,small,large
ENSG00000166848,0.7984767,7.7148113,small,large
ENSG00000111319,5.088983,10.5179405,mid,large
ENSG00000171867,0.32173607,9.434044,small,large
ENSG00000100558,2.1048965,5.6873226,mid,large
ENSG00000229955,2.4341154,10.850103,mid,large
ENSG00000142166,0.27809563,9.199734,small,large
ENSG00000139890,1.7385734,5.624085,mid,large
ENSG00000275902,1.624216,9.866602,mid,large
ENSG00000175395,0.030687552,29.32986,small,large
ENSG00000174292,3.5844965,7.448958,mid,large
ENSG00000159461,2.3050964,8.780195,mid,large
ENSG00000183117,2.5621367,21.5766,small,large
ENSG00000276672,4.9605837,9.8374815,mid,large
ENSG00000134758,0.24747081,18.148832,small,large
ENSG00000176920,0.2808217,6.838508,small,large
ENSG00000276136,2.2465618,10.798016,small,large
ENSG00000139350,1.9693321,17.96928,small,large
ENSG00000128849,0.28462714,8.983064,small,large
ENSG00000051108,0.301257,5.977051,small,large
ENSG00000196405,4.1753874,5.82441,mid,large
ENSG00000131941,0.2900956,14.439073,small,large
ENSG00000234911,0.3014046,6.5869317,small,large
ENSG00000260648,2.6691206,5.767421,mid,large
ENSG00000258904,1.642538,5.938699,mid,large
ENSG00000234899,2.5883164,9.694998,mid,large
ENSG00000159082,3.546175,10.677648,mid,large
ENSG00000196557,2.4249854,11.942291,mid,large
ENSG00000197496,2.3340402,6.8826485,mid,large
ENSG00000072818,1.220249,6.1679006,mid,large
ENSG00000167555,1.4243469,9.613716,mid,large
ENSG00000084453,5.417685,26.935715,mid,large
ENSG00000246627,2.5401013,10.909723,small,large
ENSG00000205268,0.56518567,23.519909,small,large
ENSG00000100146,1.6185514,6.9235034,mid,large
ENSG00000125850,1.3208477,10.980509,mid,large
ENSG00000184949,3.7593832,7.1862836,mid,large
ENSG00000170579,0.15863845,43.793926,small,large
ENSG00000197020,0.014672543,9.419576,small,large
ENSG00000279744,1.2109188,9.774149,mid,large
ENSG00000074181,0.29448634,8.298509,small,large
ENSG00000134769,0.16758735,19.41027,small,large
ENSG00000141524,0.71568525,7.1801515,small,large
ENSG00000092200,2.6865134,11.808103,mid,large
ENSG00000197879,0.52333874,6.1553745,small,large
ENSG00000185070,0.018930195,8.222689,small,large
ENSG00000242715,0.45963588,6.1137114,small,large
ENSG00000167281,0.59229815,17.454493,small,large
ENSG00000069188,1.035772,30.42565,small,large
ENSG00000277270,0.21222809,18.794924,small,large
ENSG00000100106,0.29567313,6.420014,small,large
ENSG00000244627,0.2943771,12.68204,small,large
ENSG00000127578,1.2012154,27.120247,mid,large
ENSG00000105767,1.6720572,6.24772,mid,large
ENSG00000183018,1.7001066,14.566472,mid,large
ENSG00000263818,0.27967483,11.757255,small,large
ENSG00000155974,11.744504,32.343372,mid,large
ENSG00000090661,0.8040512,8.850387,small,large
ENSG00000197614,4.458856,14.8981495,mid,large
ENSG00000100934,0.6724279,12.213785,small,large
ENSG00000233098,1.8791742,10.9274,mid,large
ENSG00000140470,0.59534866,17.606256,small,large
ENSG00000100979,3.45155,7.547561,mid,large
ENSG00000160013,2.7760913,5.647516,mid,large
ENSG00000181019,2.583965,8.040622,mid,large
ENSG00000109084,0.29109263,8.167147,small,large
ENSG00000133962,1.2342902,15.484976,small,large
ENSG00000234465,2.348861,7.426459,mid,large
ENSG00000284634,6.461635,20.061712,mid,large
ENSG00000173157,11.163709,20.211622,mid,large
ENSG00000172572,3.814669,16.95821,mid,large
ENSG00000205078,1.5164444,31.407244,mid,large
ENSG00000133477,1.2265007,8.680755,mid,large
ENSG00000269834,1.4243469,9.613716,mid,large
ENSG00000108387,1.8941954,7.3600197,mid,large
ENSG00000130584,0.7127969,9.895563,small,large
ENSG00000196218,0.3268043,9.65481,small,large
ENSG00000225746,2.5398247,10.447833,mid,large
ENSG00000166532,0.26962668,14.353572,small,large
ENSG00000171466,0.25194988,11.366907,small,large
ENSG00000101057,2.6786947,6.069294,mid,large
ENSG00000189180,1.0796123,31.932182,small,large
ENSG00000184363,4.7762823,9.20315,mid,large
ENSG00000173898,0.27294815,11.17268,small,large
ENSG00000108984,3.4363577,12.087971,mid,large
ENSG00000196081,0.025742672,11.486289,small,large
ENSG00000183049,0.21415024,15.9063015,small,large
ENSG00000110721,0.26654702,16.02047,small,large
ENSG00000175322,0.7488724,34.548817,small,large
ENSG00000139287,0.1378154,14.170397,small,large
ENSG00000092929,0.2567692,6.293841,small,large
ENSG00000125505,2.4126136,6.1027727,mid,large
ENSG00000244332,0.84249187,11.313907,small,large
ENSG00000147601,0.24459194,25.47802,small,large
ENSG00000266777,3.677343,9.0750885,mid,large
ENSG00000184669,0.18712589,12.79288,small,large
ENSG00000245614,12.089025,14.658536,mid,large
ENSG00000280211,0.5929369,8.778979,small,large
ENSG00000111218,10.646624,12.317194,mid,large
ENSG00000254934,0.5407496,15.534925,small,large
ENSG00000171346,1.7884154,7.5560164,mid,large
ENSG00000269416,0.5559028,8.820405,small,large
ENSG00000177853,0.24414109,11.52216,small,large
ENSG00000080823,1.7681423,6.240946,mid,large
ENSG00000101680,0.30986348,8.3052635,small,large
ENSG00000161243,0.42715985,6.33626,small,large
ENSG00000013573,12.089025,14.658536,mid,large
ENSG00000125731,0.19966717,6.465552,small,large
ENSG00000073008,0.52669823,5.4948115,small,large
ENSG00000137842,3.6416209,6.4062066,mid,large
ENSG00000140090,2.5140321,13.0076,mid,large
ENSG00000198521,0.24675995,10.585796,small,large
ENSG00000167524,0.85783875,9.574994,small,large
ENSG00000162062,1.1338344,6.6415515,mid,large
ENSG00000181007,1.2192253,6.388145,mid,large
ENSG00000284428,0.025857281,11.102264,small,large
ENSG00000132932,1.1908764,6.5876484,mid,large
ENSG00000132016,1.6604863,8.36722,mid,large
ENSG00000181392,1.6523715,8.94284,mid,large
ENSG00000126562,3.1170352,6.718222,mid,large
ENSG00000247556,0.2535237,5.778703,small,large
ENSG00000198796,4.268272,8.674179,mid,large
ENSG00000179361,0.276083,10.084,small,large
ENSG00000121316,10.9850025,19.191557,mid,large
ENSG00000139832,1.0082362,5.5604386,small,large
ENSG00000108309,2.1491313,6.5826044,mid,large
ENSG00000153930,2.648332,18.987001,mid,large
ENSG00000273284,0.4516314,13.62103,small,large
ENSG00000154639,0.3148617,10.621503,small,large
ENSG00000187105,3.6256857,9.321957,mid,large
ENSG00000167216,0.2925597,22.72896,small,large
ENSG00000187607,3.3239133,15.326238,mid,large
ENSG00000133433,1.1707488,9.932115,mid,large
ENSG00000261732,0.8691873,16.454666,small,large
ENSG00000267284,0.7736843,14.792999,small,large
ENSG00000007516,1.9599245,8.421571,mid,large
ENSG00000167840,2.3650272,14.264088,mid,large
ENSG00000215386,4.1572437,6.8005705,mid,large
ENSG00000166268,12.309492,12.87182,mid,large
ENSG00000127870,2.7072518,9.172772,mid,large
ENSG00000119673,0.23705259,10.6107435,small,large
ENSG00000100292,2.669695,8.852784,mid,large
ENSG00000103942,4.3650765,8.327838,mid,large
ENSG00000183850,1.0473526,14.270222,mid,large
ENSG00000183655,0.57564586,7.7042413,small,large
ENSG00000046889,1.3071752,22.179071,small,large
ENSG00000104177,0.26668632,14.880324,small,large
ENSG00000161551,2.468264,16.67856,mid,large
ENSG00000269404,1.5401498,12.426807,mid,large
ENSG00000232871,2.7286909,5.8954964,mid,large
ENSG00000166342,1.1587858,20.92442,small,large
ENSG00000150510,0.33313632,15.813965,small,large
ENSG00000280069,0.42126793,6.7434387,small,large
ENSG00000205702,3.661631,6.4704237,mid,large
ENSG00000156970,0.4030155,7.8484607,small,large
ENSG00000153066,0.23158318,9.174359,small,large
ENSG00000130475,2.2295582,7.0895066,mid,large
ENSG00000121104,0.29924715,8.625322,small,large
ENSG00000159217,0.4545924,6.4761553,small,large
ENSG00000074842,0.4867674,6.570965,small,large
ENSG00000120549,7.7335124,27.118017,mid,large
ENSG00000196684,0.9604702,7.8735943,mid,large
ENSG00000157423,2.503739,14.376967,mid,large
ENSG00000119698,0.6569925,5.381627,small,large
ENSG00000107959,5.9045634,11.314366,mid,large
ENSG00000167306,1.0212522,22.879162,small,large
ENSG00000111752,0.50321674,17.483013,small,large
ENSG00000158296,0.37075466,12.963117,small,large
ENSG00000062038,2.3783374,10.84473,mid,large
ENSG00000166689,0.18712589,12.662793,small,large
ENSG00000257246,3.0549304,10.358821,mid,large
ENSG00000182732,0.31141338,13.698106,small,large
ENSG00000198346,0.26410592,12.448988,small,large
ENSG00000124092,1.0116044,9.01567,small,large
ENSG00000100784,0.19861887,12.627216,small,large
ENSG00000131981,4.042326,5.6761327,mid,large
ENSG00000101463,1.2866333,22.741161,mid,large
ENSG00000245680,0.045438252,12.915323,small,large
ENSG00000261251,3.440771,7.1709595,mid,large
ENSG00000272578,0.26256236,11.868786,small,large
ENSG00000131979,2.0952027,13.790289,mid,large
ENSG00000283269,2.2269347,5.689797,mid,large
ENSG00000100122,2.7475982,7.2331653,mid,large
ENSG00000021645,0.83955896,25.541096,small,large
ENSG00000183196,0.38962364,8.583736,small,large
ENSG00000157570,0.6450695,12.115724,small,large
ENSG00000072657,2.49866,15.322021,small,large
ENSG00000205562,0.0063023213,8.883448,small,large
ENSG00000102805,1.5433464,7.5615635,mid,large
ENSG00000228808,5.0937896,10.5368,mid,large
ENSG00000122025,4.032904,14.611913,mid,large
ENSG00000174718,1.1722325,14.93536,small,large
ENSG00000160191,1.4949303,13.026361,mid,large
ENSG00000166123,0.94888616,8.299745,small,large
ENSG00000182256,0.66578394,11.951759,small,large
ENSG00000039068,0.23784412,9.025086,small,large
ENSG00000165905,5.8000946,10.798811,mid,large
ENSG00000171533,1.5285764,9.072916,small,large
ENSG00000203326,2.0747364,14.102169,mid,large
ENSG00000274317,2.2901084,13.464725,mid,large
ENSG00000140688,0.43108323,6.463584,small,large
ENSG00000104313,2.0655115,31.032295,small,large
