,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878
ENSG00000111732,14.399245,1.2324017,large,small
ENSG00000164430,14.163356,1.3087975,mid,small
ENSG00000153898,6.655487,0.712531,mid,small
ENSG00000110237,3.6795785,1.2756755,mid,small
ENSG00000100784,12.627216,0.42172423,large,small
ENSG00000235989,3.3698547,0.7838925,mid,small
ENSG00000186019,6.5938873,0.61975276,large,small
ENSG00000248592,9.83298,2.6174417,mid,small
ENSG00000183255,7.892098,0.7285666,large,small
ENSG00000138821,9.420963,0.47970307,mid,small
ENSG00000183484,8.445961,0.8377031,large,small
ENSG00000134470,7.304663,0.51265025,mid,small
ENSG00000244627,12.68204,0.8926625,large,small
ENSG00000205593,3.8359058,0.20990154,mid,small
ENSG00000255081,2.8368435,1.4176018,mid,small
ENSG00000104490,12.752144,0.3897091,mid,small
ENSG00000213462,23.084848,0.25658435,mid,small
ENSG00000168389,5.6746254,0.43382537,mid,small
ENSG00000010310,5.99254,0.6069721,large,small
ENSG00000221887,6.886558,0.5472144,mid,small
ENSG00000112210,5.7915287,0.43518662,mid,small
ENSG00000108576,16.464767,0.15082636,large,small
ENSG00000125910,2.4056444,0.40467155,mid,small
ENSG00000136240,8.325883,0.38970825,mid,small
ENSG00000100243,5.584462,0.26296613,mid,small
ENSG00000103888,1.9078232,0.6459226,mid,small
ENSG00000005844,7.9470086,0.62423563,large,small
ENSG00000185015,9.64839,0.68575835,mid,small
ENSG00000157303,13.238721,1.3444688,mid,small
ENSG00000101017,4.9814644,0.5828547,mid,small
ENSG00000261360,8.007543,1.2832768,mid,small
ENSG00000106624,9.65666,2.0763967,mid,small
ENSG00000254325,6.113469,0.38642812,mid,small
ENSG00000162616,16.347778,1.2397963,mid,small
ENSG00000085514,7.6048665,1.3301762,mid,small
ENSG00000139193,5.38887,0.22190714,mid,small
ENSG00000183723,7.055015,0.40109497,large,small
ENSG00000100300,5.0462914,0.4757844,mid,small
ENSG00000126561,5.900602,0.21220547,mid,small
ENSG00000100628,4.307411,0.44274154,mid,small
ENSG00000249534,25.189764,1.1247604,mid,small
ENSG00000271643,7.794881,0.394408,mid,small
ENSG00000141384,7.0320954,0.27698335,mid,small
ENSG00000105866,16.235085,1.9715401,mid,small
ENSG00000130592,5.961277,0.2648063,mid,small
ENSG00000234911,6.5869317,0.35599804,large,small
ENSG00000247774,4.5790024,0.24120674,mid,small
ENSG00000284634,20.061712,0.3467177,large,small
ENSG00000135046,6.115367,0.43374357,mid,small
ENSG00000137501,3.590608,1.1460317,mid,small
ENSG00000125457,4.9798565,0.72816706,mid,small
ENSG00000139880,2.2617652,0.1867654,mid,small
