,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC
ENSG00000185670,0.504123,2.1454797,small,mid
ENSG00000231999,0.28670302,18.929502,small,mid
ENSG00000112309,0.58799815,14.708578,small,mid
ENSG00000099992,0.42309678,8.191736,small,large
ENSG00000134802,0.32913673,4.066538,small,mid
ENSG00000147509,1.2393353,4.5991817,small,mid
ENSG00000266865,0.24470764,3.915581,small,mid
ENSG00000115266,0.30251473,1.6811514,small,mid
ENSG00000186019,0.61975276,2.991794,small,large
ENSG00000227070,0.8169093,8.279712,small,mid
ENSG00000167723,0.09814462,6.2811756,small,large
ENSG00000181035,0.3563398,3.9148126,small,large
ENSG00000103184,0.520262,1.7483673,small,mid
ENSG00000214063,0.41129547,2.1483037,small,mid
ENSG00000252391,0.24858673,1.4176232,small,mid
ENSG00000076641,0.8647403,16.950289,small,large
ENSG00000140577,0.3319005,6.9638405,small,large
ENSG00000253125,1.3567806,6.1014085,small,mid
ENSG00000183971,0.97664803,0.98172194,small,mid
ENSG00000214688,0.7982932,4.344581,small,mid
ENSG00000141655,0.30701515,3.301398,small,mid
ENSG00000171608,1.0205323,7.406763,small,mid
ENSG00000135605,0.4175005,17.863747,small,mid
ENSG00000224220,0.2305065,6.1195354,small,mid
ENSG00000277851,0.30189753,15.906639,small,large
ENSG00000187510,0.32895988,8.335087,small,mid
ENSG00000077420,0.6249047,15.104347,small,large
ENSG00000130429,0.84677714,4.1921616,small,mid
ENSG00000221963,0.3605738,5.049526,small,large
ENSG00000198838,0.5431398,2.9225342,small,mid
ENSG00000183570,0.48430562,10.7165785,small,large
ENSG00000255367,0.5512978,7.486599,small,large
ENSG00000196684,0.7708783,0.9604702,small,mid
ENSG00000247121,0.3644693,14.416758,small,mid
ENSG00000236253,1.928046,4.1303773,small,mid
ENSG00000161682,0.5910163,1.5607712,small,mid
ENSG00000114480,0.49029008,19.285574,small,mid
ENSG00000137449,0.9869385,15.953885,small,mid
ENSG00000160216,0.529048,6.1430144,small,large
ENSG00000241316,3.6445723,9.772026,small,mid
ENSG00000151093,0.21788865,8.313338,small,mid
ENSG00000176472,0.36409923,2.1749325,small,mid
ENSG00000100647,0.7851544,2.0381913,small,mid
ENSG00000067798,0.49611235,21.525158,small,large
ENSG00000120949,1.6771579,6.6265283,small,mid
ENSG00000258760,0.27860215,7.932243,small,large
ENSG00000109320,0.954002,19.592958,small,mid
ENSG00000129993,0.6584901,18.933826,small,large
ENSG00000259248,0.6716494,2.898227,small,mid
ENSG00000144746,0.6033572,5.6348195,small,mid
ENSG00000205593,0.20990154,6.6170464,small,large
ENSG00000179583,0.90821207,12.22991,small,large
ENSG00000162643,1.5009712,13.420155,small,mid
ENSG00000280099,0.24788183,11.788504,small,mid
ENSG00000162924,0.33687,15.6274805,small,mid
ENSG00000271554,2.5289178,7.157819,small,mid
ENSG00000196284,0.23958662,18.861486,small,mid
ENSG00000069943,0.34503442,8.493924,small,large
ENSG00000076826,0.23424327,3.5274472,small,large
ENSG00000161082,0.49171212,3.8544526,small,large
ENSG00000100351,0.4681507,8.312904,small,large
ENSG00000265458,0.5833975,2.7386692,small,mid
ENSG00000126860,0.48826653,10.823059,small,large
ENSG00000213965,0.21137474,4.8669815,small,large
ENSG00000150093,0.3717581,2.820709,small,mid
ENSG00000152133,1.2016367,14.86875,small,mid
ENSG00000115325,2.5910108,6.430002,small,mid
ENSG00000105479,0.3827068,4.0509257,small,large
ENSG00000078814,0.4393742,11.062004,small,large
ENSG00000168404,0.56985015,1.5498828,small,mid
ENSG00000100055,0.6039763,6.573495,small,large
ENSG00000247982,0.31335625,1.1800953,small,mid
ENSG00000183454,0.96424454,2.7663343,small,mid
ENSG00000248309,0.1739465,10.7719145,small,mid
ENSG00000148053,2.1467538,4.3019643,small,mid
ENSG00000262943,0.30940804,2.359567,small,mid
ENSG00000089639,0.7690087,1.0619084,small,mid
ENSG00000197943,0.74214673,1.1889938,small,mid
ENSG00000136842,0.4359097,7.52495,small,mid
ENSG00000042286,0.64219475,5.419608,small,mid
ENSG00000173432,0.48224986,5.827706,small,mid
ENSG00000141293,0.7404272,8.124284,small,large
ENSG00000126391,0.7422134,5.1265254,small,mid
ENSG00000141756,0.5837258,2.0691845,small,mid
ENSG00000134470,0.51265025,7.2948046,small,mid
ENSG00000233080,0.95352346,4.020743,small,large
ENSG00000110031,1.2955501,4.1412864,small,mid
ENSG00000133980,0.62855935,4.261703,small,mid
ENSG00000249715,1.343024,17.38003,small,mid
ENSG00000141506,0.43012342,8.265791,small,large
ENSG00000237181,0.45237055,6.987984,small,mid
ENSG00000113532,0.392605,51.787045,small,mid
ENSG00000104432,0.26030904,9.791257,small,mid
ENSG00000167984,0.3132204,2.3564718,small,mid
ENSG00000006062,0.88480043,1.4189202,small,mid
ENSG00000087076,0.68869185,1.7787449,small,mid
ENSG00000149926,0.79215324,1.5233704,small,mid
ENSG00000185760,0.8896021,4.234802,small,mid
ENSG00000228903,1.6652808,8.5428915,small,mid
ENSG00000106153,0.0073632817,3.5752184,small,mid
ENSG00000229368,0.1867788,4.709246,small,mid
ENSG00000180628,0.2545905,17.618807,small,large
ENSG00000131979,0.23475565,2.0952027,small,mid
ENSG00000162882,1.4028354,7.4931655,small,mid
ENSG00000164430,1.3087975,11.82236,small,mid
ENSG00000196361,0.5759386,0.9536874,small,mid
ENSG00000146112,0.5236465,4.377051,small,mid
ENSG00000108821,0.57834125,2.1897302,small,mid
ENSG00000027075,0.36998117,9.155732,small,large
ENSG00000171132,1.4213845,11.879808,small,mid
ENSG00000143891,0.2949343,12.639508,small,mid
ENSG00000247134,0.4800437,26.783928,small,large
ENSG00000271860,0.22619624,14.606201,small,mid
ENSG00000095585,1.0438073,7.161663,small,mid
ENSG00000281501,0.3254286,4.980913,small,mid
ENSG00000137491,0.82817453,10.122561,small,large
ENSG00000133328,0.33828682,8.3474455,small,large
ENSG00000164916,0.7212419,12.4420805,small,mid
ENSG00000167483,0.41803932,2.6885147,small,mid
ENSG00000113356,2.612789,17.240488,small,mid
ENSG00000205056,0.3548883,27.763708,small,large
ENSG00000112561,0.67669344,7.8151135,small,mid
ENSG00000128564,0.99285424,6.436325,small,mid
ENSG00000247287,0.5132806,35.176193,small,large
ENSG00000140945,0.8000944,5.984574,small,large
ENSG00000186976,0.53936476,3.440771,small,mid
ENSG00000169413,0.68841845,2.0204673,small,mid
ENSG00000275074,0.27744895,7.2914186,small,mid
ENSG00000259712,0.25301996,8.292984,small,large
ENSG00000137265,1.9610112,4.1419134,small,mid
ENSG00000183011,0.31848985,7.544107,small,large
ENSG00000100628,0.44274154,3.8801985,small,mid
ENSG00000259345,0.46897483,18.442507,small,large
ENSG00000163517,0.8023257,6.8121886,small,mid
ENSG00000142449,0.7922709,1.533056,small,mid
ENSG00000232124,0.22258377,3.5051403,small,mid
ENSG00000137843,0.22091976,1.3548245,small,mid
ENSG00000148680,0.2552768,5.430789,small,mid
ENSG00000103160,0.34616658,7.6818476,small,large
ENSG00000139193,0.22190714,6.309795,small,mid
ENSG00000175567,0.33558056,3.5146227,small,mid
ENSG00000205683,0.7082503,1.4697932,small,mid
ENSG00000121769,3.1333005,4.215106,small,mid
ENSG00000198399,0.4201858,9.958363,small,mid
ENSG00000163947,3.264489,5.5024877,small,mid
ENSG00000127124,0.28159758,18.14844,small,mid
ENSG00000258561,0.386119,3.785951,small,mid
ENSG00000136048,0.29725793,11.562255,small,mid
ENSG00000124151,0.2880435,8.09676,small,large
ENSG00000146122,0.3787189,13.035137,small,mid
ENSG00000100911,0.3716451,2.9401376,small,mid
ENSG00000104894,0.43976924,1.8857433,small,mid
ENSG00000132274,0.5986496,4.774834,small,mid
ENSG00000167323,0.1867788,4.709246,small,mid
ENSG00000165617,0.23662493,13.206402,small,large
ENSG00000264739,0.50100255,1.505533,small,mid
ENSG00000151468,0.35577813,3.7001946,small,mid
ENSG00000259003,0.1506814,2.1286554,small,mid
ENSG00000112902,0.47453883,18.868752,small,mid
ENSG00000259772,0.42128497,2.8356278,small,mid
ENSG00000105810,0.24017851,4.307659,small,mid
ENSG00000115317,1.004881,6.3655615,small,mid
ENSG00000183317,0.2039707,11.570242,small,mid
ENSG00000105122,0.23190527,8.717847,small,large
ENSG00000240527,0.2499688,1.9015845,small,mid
ENSG00000226791,1.4119191,20.280437,small,mid
ENSG00000126458,0.41129375,5.9355927,small,large
ENSG00000175832,0.23490278,2.6935587,small,mid
ENSG00000122012,3.5596383,18.907177,small,mid
ENSG00000275410,0.90099627,6.9579754,small,large
ENSG00000103067,0.18387489,3.5223596,small,large
ENSG00000139880,0.1867654,3.603133,small,mid
ENSG00000100299,0.31320974,4.22489,small,large
ENSG00000104870,0.25395185,2.473227,small,mid
ENSG00000170421,0.68008846,7.1150465,small,mid
ENSG00000162542,0.5036255,14.331979,small,mid
ENSG00000148935,1.1519662,16.447664,small,large
ENSG00000164307,3.581419,14.559705,small,mid
ENSG00000164776,0.09527451,3.5716524,small,mid
ENSG00000126353,0.7697147,2.2541647,small,mid
ENSG00000140511,0.62493527,3.749114,small,mid
ENSG00000068724,1.665051,7.5312586,small,mid
ENSG00000076662,0.36153638,2.2323356,small,mid
ENSG00000230155,0.4957143,8.059441,small,large
ENSG00000142227,0.3827068,4.0509257,small,large
ENSG00000153898,0.712531,13.106581,small,mid
ENSG00000148426,0.6909777,2.2231822,small,mid
ENSG00000106624,2.0763967,9.420826,small,mid
ENSG00000123146,0.63804686,2.1580446,small,mid
ENSG00000088970,0.27878684,4.5627904,small,large
ENSG00000198833,0.43990996,5.0715795,small,mid
ENSG00000141441,0.44271854,9.904409,small,large
ENSG00000264278,0.71584666,8.066381,small,large
ENSG00000071054,2.3896008,6.2256923,small,mid
ENSG00000081189,0.3722724,10.576551,small,mid
ENSG00000105928,0.7194208,9.025744,small,mid
