,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878
ENSG00000154229,0.8382095,9.727615,small,large
ENSG00000141068,0.5346338,2.0584831,small,mid
ENSG00000262801,1.8190383,7.077721,small,large
ENSG00000180233,2.3911939,2.9593298,small,mid
ENSG00000077150,1.28928,1.6905153,small,mid
ENSG00000069424,3.4205723,6.321858,small,mid
ENSG00000145623,2.3873236,10.431458,small,mid
ENSG00000198795,1.7024692,6.0642424,small,large
ENSG00000109501,3.1215987,2.7069657,small,mid
ENSG00000186088,1.4304793,5.306723,small,mid
ENSG00000266088,2.2319508,5.5296116,small,large
ENSG00000166813,0.39743215,5.6084723,small,large
ENSG00000138131,1.7796973,2.516578,small,mid
ENSG00000142798,0.47186306,7.1811066,small,mid
ENSG00000075426,0.8274162,9.266803,small,mid
ENSG00000265625,1.5369239,1.536917,small,mid
ENSG00000182054,1.3367372,1.1314682,small,mid
ENSG00000267257,1.0128298,4.893178,small,large
ENSG00000241749,1.659238,12.611887,small,large
ENSG00000078177,0.43576756,6.259061,small,mid
ENSG00000143869,1.6490551,5.3758183,small,mid
ENSG00000011028,0.23980097,4.838825,small,large
ENSG00000164291,5.3816433,11.153849,small,mid
ENSG00000133687,0.14653923,19.389957,small,large
ENSG00000271978,1.3339962,3.5883913,small,mid
ENSG00000039560,0.8080796,13.042002,small,mid
ENSG00000185561,1.5179127,3.1752381,small,mid
ENSG00000140009,1.533638,2.8431535,small,mid
ENSG00000100852,0.72872615,5.0920086,small,large
ENSG00000103196,0.84372693,13.039826,small,large
ENSG00000142089,2.3970628,1.5793492,small,mid
ENSG00000177699,0.6554493,2.365023,small,mid
ENSG00000167676,1.4165981,1.1273124,small,mid
ENSG00000104951,1.0806044,2.9384832,small,mid
ENSG00000264456,0.6497506,2.557895,small,mid
ENSG00000169814,6.571726,8.611703,small,mid
ENSG00000196639,5.97945,14.818683,small,mid
ENSG00000185262,1.0197225,1.677894,small,mid
ENSG00000008441,1.1654608,4.118479,small,large
ENSG00000145244,2.699758,2.9126682,small,mid
ENSG00000184588,4.7428126,18.256721,small,mid
ENSG00000157890,1.4052081,9.097649,small,large
ENSG00000232445,0.79435927,4.4093432,small,mid
ENSG00000119866,5.6612687,5.480853,small,mid
ENSG00000256229,0.62756413,2.0879107,small,mid
ENSG00000067208,4.623944,8.437432,small,mid
ENSG00000185507,0.61516315,7.7785826,small,large
ENSG00000033122,1.8229254,15.327475,small,mid
ENSG00000259151,1.0487561,3.6224506,small,large
ENSG00000099625,1.7251649,2.0926125,small,mid
ENSG00000133216,1.3345397,4.255397,small,mid
ENSG00000126785,1.3397893,2.6993616,small,mid
ENSG00000181894,1.5503533,0.9798733,small,mid
ENSG00000171517,1.7070787,10.993893,small,mid
ENSG00000166313,2.1187093,6.842715,small,large
ENSG00000141198,2.164788,15.820173,small,large
ENSG00000187720,1.4512608,28.76417,small,large
ENSG00000104611,1.264821,7.0067177,small,mid
ENSG00000106125,3.062939,8.168048,small,mid
ENSG00000070371,2.0719852,13.913616,small,large
ENSG00000197256,1.9350166,1.022062,small,mid
ENSG00000168071,2.082104,2.7025354,small,mid
ENSG00000169490,0.33193743,2.1755517,small,mid
ENSG00000169902,4.2912784,16.209173,small,mid
ENSG00000166900,2.3726869,8.209002,small,large
