,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878
ENSG00000154229,0.8382095,9.727615,small,large
ENSG00000079435,4.766264,5.0124555,mid,large
ENSG00000148482,6.829392,10.179373,mid,large
ENSG00000262801,1.8190383,7.077721,small,large
ENSG00000171408,63.698032,107.642166,mid,large
ENSG00000050820,2.8684576,5.579579,mid,large
ENSG00000198795,1.7024692,6.0642424,small,large
ENSG00000141905,2.3913157,5.0461674,mid,large
ENSG00000123500,63.698032,107.642166,mid,large
ENSG00000137880,4.0602717,6.6176734,mid,large
ENSG00000266088,2.2319508,5.5296116,small,large
ENSG00000166813,0.39743215,5.6084723,small,large
ENSG00000164483,63.698032,107.642166,mid,large
ENSG00000111885,63.698032,107.642166,mid,large
ENSG00000151376,2.6376941,13.812139,mid,large
ENSG00000267257,1.0128298,4.893178,small,large
ENSG00000241749,1.659238,12.611887,small,large
ENSG00000011028,0.23980097,4.838825,small,large
ENSG00000133687,0.14653923,19.389957,small,large
ENSG00000125868,3.9696121,9.634134,mid,large
ENSG00000100852,0.72872615,5.0920086,small,large
ENSG00000112320,63.698032,107.642166,mid,large
ENSG00000103196,0.84372693,13.039826,small,large
ENSG00000223799,5.068521,7.2073402,mid,large
ENSG00000137177,5.3586254,17.034342,mid,large
ENSG00000175866,4.4090576,4.299208,mid,large
ENSG00000134463,7.628398,7.66202,mid,large
ENSG00000008441,1.1654608,4.118479,small,large
ENSG00000169926,3.091631,4.194656,mid,large
ENSG00000157890,1.4052081,9.097649,small,large
ENSG00000185507,0.61516315,7.7785826,small,large
ENSG00000065320,3.5929055,5.5870957,mid,large
ENSG00000259151,1.0487561,3.6224506,small,large
ENSG00000164484,63.698032,107.642166,mid,large
ENSG00000126351,3.3393464,4.59896,mid,large
ENSG00000166313,2.1187093,6.842715,small,large
ENSG00000141198,2.164788,15.820173,small,large
ENSG00000187720,1.4512608,28.76417,small,large
ENSG00000173546,3.540428,4.097029,mid,large
ENSG00000172348,14.446057,14.584038,mid,large
ENSG00000070404,4.5399384,3.1496382,mid,large
ENSG00000070371,2.0719852,13.913616,small,large
ENSG00000207561,5.5855126,4.269025,mid,large
ENSG00000275832,4.658377,4.5091853,mid,large
ENSG00000079931,63.698032,107.642166,mid,large
ENSG00000120278,63.698032,107.642166,mid,large
ENSG00000166900,2.3726869,8.209002,small,large
ENSG00000112394,63.698032,107.642166,mid,large
ENSG00000236591,63.698032,107.642166,mid,large
ENSG00000198792,1.9165589,4.9815974,small,large
ENSG00000140948,3.801665,9.049176,mid,large
ENSG00000284685,5.8005786,3.703151,mid,large
ENSG00000101188,1.6873394,7.8979664,small,large
ENSG00000146426,63.698032,107.642166,mid,large
ENSG00000125378,0.43004975,6.71351,small,large
ENSG00000285427,63.698032,107.642166,mid,large
ENSG00000006016,5.3022823,4.6269937,mid,large
ENSG00000071242,63.698032,107.642166,mid,large
ENSG00000141449,0.49927688,10.8245945,small,large
ENSG00000198208,1.9315311,6.26988,mid,large
ENSG00000185869,2.66333,3.788271,mid,large
ENSG00000104219,0.82060134,50.451317,small,large
ENSG00000104903,1.109264,3.7455688,small,large
ENSG00000276023,2.988609,9.153658,mid,large
ENSG00000242931,5.8641157,4.366682,mid,large
ENSG00000275638,0.8659075,4.0791893,small,large
ENSG00000100504,0.3909606,15.632946,small,large
ENSG00000182621,3.0413032,9.889103,mid,large
ENSG00000088256,3.1177514,5.283183,mid,large
ENSG00000112137,9.4725,15.301797,mid,large
ENSG00000132824,5.0076666,10.24046,mid,large
ENSG00000234956,63.698032,107.642166,mid,large
ENSG00000130340,63.698032,107.642166,mid,large
ENSG00000133026,3.6310978,10.132678,mid,large
ENSG00000101333,2.5772061,29.734482,mid,large
ENSG00000182612,2.8847122,8.863277,mid,large
ENSG00000165548,3.801073,5.376458,mid,large
ENSG00000054793,4.902762,8.728855,mid,large
ENSG00000151150,9.536592,44.163788,mid,large
ENSG00000230417,8.502239,18.659616,mid,large
ENSG00000105520,5.18035,4.6068516,mid,large
ENSG00000131016,63.698032,107.642166,mid,large
ENSG00000125170,3.0160525,4.943997,mid,large
ENSG00000167261,3.3799484,3.1908529,mid,large
ENSG00000188554,0.38701782,9.085511,small,large
ENSG00000170190,2.2622733,3.7417054,mid,large
ENSG00000182963,0.8265593,8.656432,small,large
ENSG00000162068,4.0551057,4.5558753,mid,large
ENSG00000205730,3.5268698,5.0990443,mid,large
ENSG00000131018,63.698032,107.642166,mid,large
ENSG00000103227,2.7788231,15.229816,mid,large
ENSG00000140859,1.4971117,9.469169,small,large
ENSG00000185527,2.5740445,4.3197865,mid,large
ENSG00000248334,2.5111086,43.50044,mid,large
ENSG00000102934,4.179549,4.145553,mid,large
ENSG00000074527,1.3130323,20.106594,small,large
ENSG00000149256,0.9238671,8.682771,small,large
ENSG00000146411,63.698032,107.642166,mid,large
ENSG00000048740,0.059210125,20.794418,small,large
ENSG00000183963,2.2005122,5.5171175,small,large
ENSG00000072134,1.8988141,12.515721,small,large
ENSG00000091844,63.698032,107.642166,mid,large
ENSG00000279453,63.698032,107.642166,mid,large
ENSG00000178404,4.1915894,9.3221035,mid,large
ENSG00000004660,3.065203,4.770426,mid,large
ENSG00000111816,63.698032,107.642166,mid,large
ENSG00000175662,4.305028,4.9222746,mid,large
ENSG00000166147,4.0916176,9.945346,mid,large
ENSG00000198453,2.66333,3.788271,mid,large
ENSG00000237356,0.47245416,4.451399,small,large
ENSG00000111961,63.698032,107.642166,mid,large
ENSG00000261884,4.993195,5.0296464,mid,large
ENSG00000165929,1.1215949,5.018494,small,large
ENSG00000168952,0.45441115,5.8336596,small,large
ENSG00000124104,1.1370658,3.7192965,small,large
ENSG00000280239,1.6308494,4.3404255,small,large
ENSG00000035862,2.6171296,10.020646,mid,large
ENSG00000276075,4.978758,4.922055,mid,large
ENSG00000072952,4.2328715,8.622996,mid,large
ENSG00000050165,3.084487,8.858669,mid,large
ENSG00000186469,1.1067477,7.213405,small,large
ENSG00000124145,2.8651664,5.74757,mid,large
ENSG00000235272,63.698032,107.642166,mid,large
ENSG00000087303,0.57585835,8.094201,small,large
ENSG00000157578,1.5948219,40.09488,small,large
ENSG00000262246,5.6884594,3.9459906,mid,large
ENSG00000171962,4.5710845,4.6283817,mid,large
ENSG00000260552,6.994232,8.832477,mid,large
ENSG00000101096,5.7286296,7.467658,mid,large
ENSG00000167291,2.3860152,7.9355574,mid,large
ENSG00000176909,2.1791708,6.38731,mid,large
ENSG00000285730,63.698032,107.642166,mid,large
ENSG00000105711,0.657614,6.149604,small,large
ENSG00000111962,63.698032,107.642166,mid,large
ENSG00000105270,2.858756,5.9823995,mid,large
ENSG00000146433,63.698032,107.642166,mid,large
ENSG00000162105,8.648562,19.140303,mid,large
ENSG00000111897,63.698032,107.642166,mid,large
ENSG00000259207,4.361775,6.5855675,mid,large
ENSG00000067715,3.3603468,55.07508,mid,large
ENSG00000260417,2.4364092,4.0833473,mid,large
ENSG00000111052,9.565027,21.036512,mid,large
ENSG00000142552,2.4501207,3.5853522,mid,large
ENSG00000112419,63.698032,107.642166,mid,large
ENSG00000185532,0.488198,9.825694,small,large
ENSG00000197077,4.689404,4.3390703,mid,large
ENSG00000100024,2.722901,5.461293,mid,large
ENSG00000164465,63.698032,107.642166,mid,large
ENSG00000074657,1.5009154,5.0281887,small,large
ENSG00000274925,0.9948264,4.430938,small,large
ENSG00000177688,63.698032,107.642166,mid,large
ENSG00000008517,4.358375,5.0126433,mid,large
ENSG00000139209,9.3334465,20.479343,mid,large
ENSG00000165410,3.6285813,3.6912198,mid,large
ENSG00000175746,2.5566585,20.925875,mid,large
ENSG00000125965,5.8797894,5.5443525,mid,large
ENSG00000253320,6.5126314,89.07078,mid,large
ENSG00000131899,4.1620007,4.8916054,mid,large
ENSG00000166482,0.37831032,6.3236017,small,large
ENSG00000197182,4.529449,5.6453967,mid,large
ENSG00000181588,0.7882891,6.5341644,small,large
ENSG00000260495,2.5091105,10.743551,mid,large
ENSG00000230533,63.698032,107.642166,mid,large
ENSG00000100027,4.4733534,4.643942,mid,large
ENSG00000231466,3.2051928,6.068425,mid,large
ENSG00000221102,1.544717,5.9023685,small,large
ENSG00000069869,0.30138388,15.377783,small,large
ENSG00000146386,63.698032,107.642166,mid,large
ENSG00000227598,63.698032,107.642166,mid,large
ENSG00000184304,0.585391,4.1067524,small,large
ENSG00000133816,1.5204837,10.234011,small,large
ENSG00000268573,1.9694111,11.750348,small,large
ENSG00000174306,0.3686668,3.6209288,small,large
ENSG00000084444,6.9296465,13.288068,mid,large
ENSG00000165521,0.42650485,7.9967666,small,large
ENSG00000075399,2.880319,4.885445,mid,large
ENSG00000124134,5.2275376,3.601919,mid,large
ENSG00000119946,4.329408,10.169513,mid,large
ENSG00000261371,2.4408414,4.0885944,mid,large
ENSG00000179242,4.860983,20.208458,mid,large
ENSG00000118513,63.698032,107.642166,mid,large
ENSG00000182871,6.437468,9.31963,mid,large
ENSG00000135541,63.698032,107.642166,mid,large
ENSG00000105245,0.84835696,8.044338,small,large
ENSG00000185022,0.71898866,4.24126,small,large
ENSG00000227051,0.44428283,4.451535,small,large
ENSG00000259172,1.7513717,4.6008654,mid,large
ENSG00000140092,3.1147776,8.210904,mid,large
ENSG00000132386,0.7911454,6.5802293,small,large
ENSG00000139946,4.4042387,13.712061,mid,large
ENSG00000002834,0.54369676,4.080208,small,large
ENSG00000272168,16.295517,14.049552,mid,large
ENSG00000223802,0.839073,6.699916,small,large
ENSG00000178386,3.5509207,6.9632664,mid,large
ENSG00000100320,4.997632,8.838108,mid,large
ENSG00000103528,5.689831,3.1544263,mid,large
ENSG00000154240,4.5534716,7.648433,mid,large
ENSG00000080546,63.698032,107.642166,mid,large
ENSG00000100918,3.2923975,4.7507057,mid,large
ENSG00000224738,3.6752868,3.850796,mid,large
ENSG00000167772,1.6755458,3.773369,small,large
ENSG00000182240,1.618556,31.746092,mid,large
ENSG00000151208,1.8005724,11.028871,small,large
ENSG00000125864,3.641271,9.494063,mid,large
ENSG00000244588,2.54665,3.9449725,mid,large
ENSG00000226571,63.698032,107.642166,mid,large
ENSG00000074219,1.3220415,7.071162,small,large
ENSG00000078269,63.698032,107.642166,mid,large
ENSG00000108861,4.5288167,4.0442114,mid,large
ENSG00000178980,4.4383736,5.091972,mid,large
ENSG00000118689,63.698032,107.642166,mid,large
ENSG00000265206,5.028522,5.351142,mid,large
ENSG00000184792,4.0730543,3.4614403,mid,large
ENSG00000149201,5.057666,14.667244,mid,large
ENSG00000140104,4.334284,4.3268967,mid,large
ENSG00000137831,3.8175166,9.406624,mid,large
ENSG00000226149,63.698032,107.642166,mid,large
ENSG00000081087,63.698032,107.642166,mid,large
ENSG00000122367,7.457446,7.6718316,mid,large
ENSG00000196569,63.698032,107.642166,mid,large
ENSG00000034152,1.5607538,3.9995685,small,large
ENSG00000167100,5.739934,5.0007668,mid,large
ENSG00000139926,0.21273012,19.62152,small,large
