,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6
ENSG00000285644,0.52762103,3.9875288,small,mid
ENSG00000114854,0.62202394,3.7248852,small,mid
ENSG00000067221,0.74875677,2.7417123,small,mid
ENSG00000268658,0.2604467,5.6472816,small,large
ENSG00000189180,1.0796123,33.254753,small,large
ENSG00000048545,0.6449951,4.872279,small,mid
ENSG00000173898,0.27294815,11.34848,small,large
ENSG00000196081,0.025742672,11.486289,small,large
ENSG00000221066,0.7967295,3.2152483,small,mid
ENSG00000110721,0.26654702,16.02047,small,large
ENSG00000136240,0.3981279,8.325883,small,mid
ENSG00000168071,1.212972,2.082104,small,mid
ENSG00000165795,1.0274122,2.4348316,small,mid
ENSG00000183049,0.21415024,15.97441,small,large
ENSG00000228613,0.49138314,4.8243136,small,mid
ENSG00000186603,1.0124927,7.397175,small,large
ENSG00000197077,0.7042831,11.438895,small,large
ENSG00000139287,0.1378154,14.170397,small,large
ENSG00000175322,0.7488724,37.452866,small,large
ENSG00000258727,1.2592298,6.1583424,small,large
ENSG00000197008,0.37931842,60.072453,small,large
ENSG00000184669,0.3194049,12.79288,small,large
ENSG00000171877,0.5299518,3.654888,small,mid
ENSG00000280211,0.5929369,9.814593,small,large
ENSG00000117298,0.5178617,2.640321,small,mid
ENSG00000254934,0.5407496,15.534925,small,large
ENSG00000101680,0.30986348,8.3052635,small,large
ENSG00000198682,0.06297222,5.5287004,small,mid
ENSG00000168389,0.35025388,5.6746254,small,large
ENSG00000006625,0.24296778,3.4260366,small,mid
ENSG00000164692,0.2733565,5.685443,small,mid
ENSG00000269416,0.5559028,8.820405,small,large
ENSG00000086062,0.49841434,2.3537319,small,mid
ENSG00000150907,0.2133614,2.1116073,small,mid
ENSG00000174721,0.66344637,3.3566217,small,mid
ENSG00000177853,0.24414109,11.52216,small,large
ENSG00000226742,0.044506624,4.3000493,small,mid
ENSG00000271643,0.38258958,31.360462,small,large
ENSG00000197329,0.19337368,6.3561897,small,mid
ENSG00000072071,0.6082976,4.9438815,small,mid
ENSG00000198521,0.24675995,10.585796,small,large
ENSG00000197822,0.056266937,2.960943,small,mid
ENSG00000112159,0.20164742,23.655605,small,large
ENSG00000128285,0.7336826,3.1117165,small,mid
ENSG00000163694,0.16545303,16.399925,small,large
ENSG00000050165,0.72400093,3.084487,small,mid
ENSG00000227014,0.40921822,14.467891,small,large
ENSG00000235790,0.53126895,2.6492574,small,mid
ENSG00000129159,0.2822719,5.525541,small,mid
